problem,arm,m,D,status_ours,max_abs_w_diff,sse_ours,sse_R,sse_gap_ours_minus_R
planted_exact,synth() default,10,11,0,0.001574039394854676,3.7488357157889745e-16,5.4845244287305974e-05,-5.484524428693109e-05
planted_exact,synth() tight,10,11,0,1.1529176879687686e-05,3.7488357157889745e-16,2.9520625721911323e-09,-2.9520621973075607e-09
planted_exact,raw ipop default,10,11,0,0.0011570197614392819,4.1551291174249737e-13,1.4553961187666592e-05,-1.455396077215368e-05
planted_exact,raw ipop tight,10,11,0,8.181662863315786e-06,4.1551291174249737e-13,7.780093358697964e-10,-7.775938229580539e-10
planted_noisy,synth() default,10,11,0,4.7444377234921e-06,1.350875896716884,1.3508782840749791,-2.3873580952127327e-06
planted_noisy,synth() tight,10,11,0,1.6919538940875899e-13,1.350875896716884,1.3508758967169268,-4.285460875053104e-14
planted_noisy,raw ipop default,10,11,0,0.0002758290174076448,0.6931986818128643,0.6932010000313839,-2.318218519592463e-06
s1emb_0001,synth() default,10,768,0,0.00048649498655441246,559.2992442797301,559.3070021111312,-0.007757831401022486
s1emb_0001,synth() tight,10,768,0,2.9999759824095307e-06,559.2992442797301,559.2992434359846,8.437455107923597e-07
s1emb_0001,raw ipop default,10,768,0,0.0019715010698820603,15.94496554454203,15.945053705557143,-8.81610151122203e-05
s1emb_0002,synth() default,10,768,8,5.012442312350282e-05,428.36596449894375,428.37347708300797,-0.007512584064215844
s1emb_0002,synth() tight,10,768,8,2.977974922213633e-08,428.36596449894375,428.3659625394017,1.9595420326368185e-06
s1emb_0002,raw ipop default,10,768,0,0.001072374143392221,8.750922701014854,8.750947625986724,-2.4924971869566548e-05
s1emb_0003,synth() default,10,768,8,0.0011344634201091303,607.8783547028364,607.9071594604424,-0.028804757605939812
s1emb_0003,synth() tight,10,768,8,1.81272244881292e-07,607.8783547028364,607.8783553934697,-6.906333283041022e-07
s1emb_0003,raw ipop default,10,768,0,5.58091753595784e-06,21.61743468217202,21.617441221236255,-6.5390642340901195e-06
s1emb_0003,raw ipop tight,10,768,0,2.740537304035673e-09,21.61743468217202,21.617434682161253,1.0768275160444318e-11
band_0001,synth() default,10,11,0,0.0004101827700632721,0.5559205540024583,0.5572688413509818,-0.001348287348523436
band_0001,synth() tight,10,11,0,1.727429632669697e-08,0.5559205540024583,0.5559206122926543,-5.8290196003341066e-08
band_0001,raw ipop default,10,11,0,0.1005499349588162,0.0003330054746709909,0.000524733967901466,-0.00019172849323047508
band_0001,raw ipop tight,10,11,0,3.119339885113148e-05,0.0003330054746709909,0.0003330734191912266,-6.794452023570338e-08
band_0002,synth() default,10,11,0,0.003708746398480307,1.590573907660799,1.6020035765365903,-0.011429668875791332
