site,sensor,effect_norm,pre_imbalance_norm
treatment_0001,sentinel1,8.872851371765137,9.263789176940918
treatment_0002,sentinel1,9.215348243713379,9.254244804382324
treatment_0003,sentinel1,8.349550247192383,8.740853309631348
treatment_0004,sentinel1,7.884740352630615,9.235077857971191
treatment_0005,sentinel1,8.216166496276855,9.02392578125
treatment_0006,sentinel1,9.567473411560059,9.348060607910156
treatment_0007,sentinel1,6.49755859375,8.963715553283691
treatment_0008,sentinel1,8.483930587768555,9.029786109924316
treatment_0009,sentinel1,8.191444396972656,9.251523971557617
treatment_0010,sentinel1,7.8320770263671875,9.314165115356445
treatment_0011,sentinel1,7.191084861755371,9.220488548278809
treatment_0012,sentinel1,7.479201793670654,9.003201484680176
treatment_0013,sentinel1,7.296423435211182,9.257549285888672
treatment_0014,sentinel1,7.251165866851807,9.276877403259277
treatment_0015,sentinel1,10.198541641235352,9.108197212219238
treatment_0016,sentinel1,10.045534133911133,9.27367877960205
treatment_0017,sentinel1,9.30217456817627,9.17426872253418
treatment_0018,sentinel1,9.725499153137207,9.473936080932617
treatment_0019,sentinel1,9.929195404052734,9.240496635437012
treatment_0020,sentinel1,9.790397644042969,9.148204803466797
treatment_0021,sentinel1,9.713985443115234,9.116968154907227
treatment_0022,sentinel1,9.507558822631836,9.079205513000488
treatment_0023,sentinel1,7.9812164306640625,9.02655029296875
treatment_0024,sentinel1,9.827322959899902,9.182184219360352
treatment_0025,sentinel1,9.943171501159668,9.049177169799805
treatment_0027,sentinel1,8.881073951721191,9.616012573242188
treatment_0001,sentinel2,7.494993209838867,8.477986335754395
treatment_0002,sentinel2,6.942976474761963,7.134576320648193
treatment_0003,sentinel2,6.418585777282715,5.670586109161377
treatment_0004,sentinel2,6.154552459716797,8.348682403564453
treatment_0005,sentinel2,6.895280838012695,7.60386848449707
treatment_0006,sentinel2,6.969964504241943,7.4128737449646
treatment_0007,sentinel2,6.856790065765381,5.74259614944458
treatment_0008,sentinel2,7.243435859680176,7.053158760070801
treatment_0009,sentinel2,6.978254795074463,7.220600605010986
treatment_0010,sentinel2,6.533661365509033,8.18438720703125
treatment_0011,sentinel2,6.364482879638672,7.05237340927124
treatment_0012,sentinel2,6.252131462097168,6.121551990509033
treatment_0013,sentinel2,6.67184591293335,6.404561519622803
treatment_0014,sentinel2,6.788949012756348,6.443611145019531
treatment_0015,sentinel2,7.5144829750061035,7.862779140472412
treatment_0016,sentinel2,7.221542835235596,7.195492744445801
treatment_0017,sentinel2,7.286961078643799,6.714568138122559
treatment_0018,sentinel2,7.278608322143555,7.360658645629883
treatment_0019,sentinel2,7.5926923751831055,5.846316337585449
treatment_0020,sentinel2,7.809096336364746,6.920498847961426
treatment_0021,sentinel2,5.5181565284729,7.439388751983643
treatment_0022,sentinel2,5.585372447967529,7.968490123748779
treatment_0023,sentinel2,6.890201568603516,7.379246711730957
treatment_0024,sentinel2,7.856123447418213,6.381002426147461
treatment_0025,sentinel2,7.304749011993408,6.171019077301025
treatment_0027,sentinel2,6.8141255378723145,8.470072746276855
