sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel1,treatment_0001,counterfactual_0003_03,1,tokenizer_latent_knn,12.52619457244873
sentinel1,treatment_0001,counterfactual_0020_06,2,tokenizer_latent_knn,12.566425323486328
sentinel1,treatment_0001,counterfactual_0003_06,3,tokenizer_latent_knn,12.662139892578125
sentinel1,treatment_0001,counterfactual_0014_06,4,tokenizer_latent_knn,12.675466537475586
sentinel1,treatment_0001,counterfactual_0025_03,5,tokenizer_latent_knn,12.684409141540527
sentinel1,treatment_0001,counterfactual_0021_10,6,tokenizer_latent_knn,12.704269409179688
sentinel1,treatment_0001,counterfactual_0027_07,7,tokenizer_latent_knn,12.766511917114258
sentinel1,treatment_0001,counterfactual_0024_06,8,tokenizer_latent_knn,12.777437210083008
sentinel1,treatment_0001,counterfactual_0016_07,9,tokenizer_latent_knn,12.791213035583496
sentinel1,treatment_0001,counterfactual_0001_07,10,tokenizer_latent_knn,12.81528091430664
sentinel1,treatment_0002,counterfactual_0016_02,1,tokenizer_latent_knn,12.446745872497559
sentinel1,treatment_0002,counterfactual_0022_10,2,tokenizer_latent_knn,12.505780220031738
sentinel1,treatment_0002,counterfactual_0001_09,3,tokenizer_latent_knn,12.50877857208252
sentinel1,treatment_0002,counterfactual_0012_03,4,tokenizer_latent_knn,12.653532028198242
sentinel1,treatment_0002,counterfactual_0007_06,5,tokenizer_latent_knn,12.658180236816406
sentinel1,treatment_0002,counterfactual_0025_09,6,tokenizer_latent_knn,12.666062355041504
sentinel1,treatment_0002,counterfactual_0015_09,7,tokenizer_latent_knn,12.68270492553711
sentinel1,treatment_0002,counterfactual_0009_09,8,tokenizer_latent_knn,12.68934154510498
sentinel1,treatment_0002,counterfactual_0021_06,9,tokenizer_latent_knn,12.702503204345703
sentinel1,treatment_0002,counterfactual_0025_10,10,tokenizer_latent_knn,12.716389656066895
sentinel1,treatment_0003,counterfactual_0019_03,1,tokenizer_latent_knn,11.990163803100586
sentinel1,treatment_0003,counterfactual_0006_06,2,tokenizer_latent_knn,12.034514427185059
sentinel1,treatment_0003,counterfactual_0017_07,3,tokenizer_latent_knn,12.159767150878906
sentinel1,treatment_0003,counterfactual_0019_02,4,tokenizer_latent_knn,12.222338676452637
sentinel1,treatment_0003,counterfactual_0011_07,5,tokenizer_latent_knn,12.235145568847656
sentinel1,treatment_0003,counterfactual_0019_09,6,tokenizer_latent_knn,12.26384449005127
sentinel1,treatment_0003,counterfactual_0019_01,7,tokenizer_latent_knn,12.268228530883789
sentinel1,treatment_0003,counterfactual_0010_10,8,tokenizer_latent_knn,12.270318031311035
sentinel1,treatment_0003,counterfactual_0006_05,9,tokenizer_latent_knn,12.284345626831055
sentinel1,treatment_0003,counterfactual_0012_08,10,tokenizer_latent_knn,12.309246063232422
sentinel1,treatment_0004,counterfactual_0001_08,1,tokenizer_latent_knn,12.536438941955566
sentinel1,treatment_0004,counterfactual_0014_02,2,tokenizer_latent_knn,12.555676460266113
sentinel1,treatment_0004,counterfactual_0006_09,3,tokenizer_latent_knn,12.565686225891113
sentinel1,treatment_0004,counterfactual_0024_01,4,tokenizer_latent_knn,12.613994598388672
sentinel1,treatment_0004,counterfactual_0017_07,5,tokenizer_latent_knn,12.646732330322266
sentinel1,treatment_0004,counterfactual_0006_02,6,tokenizer_latent_knn,12.64756965637207
sentinel1,treatment_0004,counterfactual_0017_01,7,tokenizer_latent_knn,12.650171279907227
sentinel1,treatment_0004,counterfactual_0025_08,8,tokenizer_latent_knn,12.651169776916504
