treatment_site_id,VV,VH,VV_minus_VH,B2,B3,B4,B8,B11,B12,NDVI,NDWI
treatment_0001,1.3881829951158335,1.5357387538836864,0.24151159295480068,0.04265741815650512,0.04165085145786192,0.0414669359679244,0.02277812776648239,0.048960472542548365,0.023065678153287434,0.15250082106482837,0.15029946947748893
treatment_0002,0.38848776185091555,0.25631904863914695,0.17476635740240437,0.04967706593758257,0.052837112980001974,0.057222506637554446,0.007449744672730909,0.033028880813054017,0.03977964737522733,0.2158065229092857,0.19083606912131718
treatment_0003,0.23924419092373378,0.18805867022036885,0.06356998849037226,0.0554967164411857,0.0605922081724296,0.06169727608830192,0.009873302036766859,0.01664358657857002,0.050086518376116565,0.2468284452348677,0.2330902290528962
treatment_0004,0.10534283344498672,0.141834830580014,0.04076085464270275,0.046380572930464124,0.05384658399019936,0.0600686560393371,0.018277027145585868,0.018660379012065336,0.044430574326453434,0.21326608966127195,0.17337315133300027
treatment_0005,0.12534727460944023,0.24649035244700926,0.12168475653176415,0.051967559561174985,0.052962978932194864,0.055884637954796264,0.012380121500497273,0.02572458404447564,0.03748072229691355,0.2102057058847702,0.18777392632976608
treatment_0006,0.5924612977977493,0.6097123594100701,0.16865274411633643,0.05861131000110936,0.06466631666991725,0.06535280513629944,0.028448654448122467,0.02429006429410921,0.050201476148406914,0.2463570370414344,0.23139179677152225
treatment_0007,0.11523994029935779,0.26367730543082213,0.14846723947091098,0.057256393205411496,0.06194224960081698,0.06842067628550652,0.00862032939656882,0.02240973622193422,0.0451683642053078,0.26005239543902736,0.22321352655178092
treatment_0008,0.6701115520376095,0.5080969299002627,0.18561906159904265,0.05215509250581767,0.05648490121937433,0.05619370857106673,0.017921433361666027,0.03286865619199552,0.030874181891830426,0.20168774698338005,0.1924093183448893
treatment_0009,0.16118232482276662,0.3774937782343023,0.23697482955276236,0.048535277539743404,0.05505819608074953,0.06106873716319755,0.015597876848985483,0.02207887660872538,0.03937764832875281,0.22533539713327416,0.1921443783747981
treatment_0010,0.346152307925685,0.1805918453203209,0.2349969074936496,0.05428600802823046,0.0563249734102665,0.06163274573424348,0.0274808611900665,0.02206669292091609,0.03801171874004382,0.21536827408490677,0.18401887013503893
treatment_0011,0.043360417409485895,0.11257549814867043,0.11963478502418654,0.04807340261935319,0.05364912243205143,0.05597000255008415,0.016547138917528816,0.03167192183925113,0.03957826861649015,0.20420345831798287,0.18444936175758114
treatment_0012,0.23483516092921108,0.20823307693981266,0.07356772724627055,0.049439693446469986,0.05672961368067649,0.06039835456941899,0.018331645367003737,0.01804075268702445,0.047110530101549704,0.23555305543022556,0.20804844952665152
treatment_0013,0.8940575880025003,0.9500714349619236,0.056593981194980464,0.052324502741853754,0.057462612565611144,0.06216045561472737,0.01999885392806492,0.029339382400161564,0.042434514235929116,0.2510604394779956,0.22600027206104586
treatment_0014,0.43405857458776903,0.0550863270627318,0.38754696545221756,0.05474811178524101,0.057989471049709154,0.06066027062226053,0.028315034429164256,0.023025608128624024,0.043483502737011785,0.21582876469336706,0.1892746046679209
treatment_0015,0.38272106787696636,0.2669648529378671,0.11764528583710859,0.05485693347940212,0.06066576305860489,0.06303984634870699,0.03841856584464915,0.022987100163866094,0.05315670591650214,0.21550887801246266,0.18861463339610465
treatment_0016,0.10385868136944772,0.16489134295067906,0.09843953056940717,0.05468154613209635,0.05856273614422149,0.06386091850418343,0.026988772361385818,0.018720223753341425,0.04731921089294269,0.23039475401852655,0.19904420102241316
treatment_0017,0.720009399689497,0.6196352035574116,0.11996952112438458,0.05477281863876346,0.05994758826891002,0.06062841834760338,0.019911996762001453,0.026940917696064944,0.0514835083881373,0.2363748990619977,0.22085190372652053
treatment_0018,0.4093671007463687,0.13907358150653285,0.3379982625928964,0.05291743115285068,0.0571808893636248,0.060014878381324355,0.03162680157031066,0.023588403836357363,0.043741172394671395,0.21747059497970012,0.19170510793739257
treatment_0019,0.2772376079478808,0.4842995420424897,0.20734326066196654,0.05675641142739851,0.06404798133176891,0.06407438494981277,0.017126065341813466,0.023284867608555356,0.052547948643162125,0.24911714088011053,0.23561917819260986
treatment_0020,0.44615904433522363,0.18790899543867232,0.2968159020399002,0.04343488809323487,0.05010817492321666,0.05850221217518401,0.030189832461592465,0.016200584245310682,0.046373542016757696,0.2171398152100526,0.1732008510279058
treatment_0021,0.30062487984156633,0.07897453131537499,0.274083119940889,0.051522071982219184,0.055033942611136484,0.05882311677327577,0.03543778797628913,0.015162587625226064,0.04156821948057388,0.21279264532461914,0.1810704135229896
treatment_0022,0.14906121397492478,0.17945696414908668,0.32534005146990314,0.049165442421179956,0.05578140218385937,0.059621301899372876,0.038423642465568314,0.016145542307388162,0.03968840196012384,0.2146458997965604,0.17840079917805238
treatment_0023,0.6809824119105625,0.6468950843669067,0.10364486695956963,0.05179086846300093,0.054521505145007094,0.0600666778690614,0.012140289472314063,0.03314494053602439,0.03425505029814144,0.21977668061863784,0.18871284863390878
treatment_0024,0.14936892227510523,0.32141562294441683,0.23590033150721748,0.05728579847363649,0.06277267455633047,0.06506384049915821,0.0263504556669103,0.02077182858712603,0.051098045927752384,0.25333811558919495,0.2376882562457125
treatment_0025,0.47560540704149923,0.4962262650129726,0.03874192743964184,0.05475606474732661,0.061891591700756435,0.06671776869468243,0.03354029786961712,0.024816071004238643,0.05701958948614347,0.24027159885918345,0.20702407532733075
treatment_0027,0.46712854230176676,0.3466485625911257,0.16836926716548192,0.050338485926990806,0.056139225045032416,0.058780298190351264,0.062927026241853,0.02178003230428608,0.04558157653820745,0.1830936437645568,0.1406027068528832
