site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
treatment_0001,sentinel2,NDVI,1.0,1.0,1.0,-0.2761622667312622,-0.13748925924301147,-0.01407158374786377,0.16611820459365845,0.28041064739227295,0.10106852269385354,0.021762572296833645
treatment_0001,sentinel1,VV,1.0,0.9992157631604744,0.9992157631604744,-5.858386116027832,-3.994235324859619,-0.039084434509277344,3.7937681198120106,5.263117294311523,0.2059256352398705,0.04974001765917787
treatment_0002,sentinel2,NDVI,1.0,1.0,1.0,-0.24985337257385254,-0.17943453788757324,-0.07389497756958008,0.04774755239486694,0.21032845973968506,0.3167336535633761,0.028722674247622784
treatment_0002,sentinel1,VV,1.0,0.9997059111851779,0.9997059111851779,-5.391782312393189,-3.652452802658081,0.16135168075561523,3.7706840038299556,5.318921442031861,0.1754265542263189,0.038340851147283785
treatment_0003,sentinel2,NDVI,1.0,1.0,1.0,-0.16656970977783203,-0.08788871765136719,-0.01169288158416748,0.03369176387786865,0.07305687665939331,0.036761101852759534,0.00656798353102637
treatment_0003,sentinel1,VV,1.0,1.0,1.0,-3.8370141983032227,-2.7348976135253906,-0.40788841247558594,1.8780384063720703,2.8059587478637695,0.1264581903734928,0.008234486815018136
treatment_0004,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.12766686096787452,-0.05953976809978485,0.03344148397445679,0.17611626982688877,0.2948898839950562,0.018712871287128712,0.0031683168316831685
treatment_0004,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-3.4739268112182615,-2.5383162975311278,-0.22159337997436523,2.1486492156982413,3.191945705413819,0.10306930693069306,0.0033663366336633663
treatment_0005,sentinel2,NDVI,1.0,1.0,1.0,-0.43200522661209106,-0.11752405017614365,-0.01350337266921997,0.08201158046722412,0.18301713466644287,0.06822860503872169,0.022154690716596412
treatment_0005,sentinel1,VV,1.0,1.0,1.0,-3.899275779724121,-2.644965171813965,-0.24567317962646484,2.115809440612793,3.2060928344726562,0.11087148318792275,0.00892069404960298
treatment_0006,sentinel2,NDVI,1.0,1.0,1.0,-0.2700454592704773,-0.1880117654800415,-0.07378780841827393,0.05602622032165527,0.1122625470161438,0.34133908440348987,0.03930987158121753
treatment_0006,sentinel1,VV,1.0,1.0,1.0,-5.694141387939453,-3.8019208908081055,0.08408784866333008,3.713296413421631,5.175131320953369,0.18184491716498383,0.04323105577884521
treatment_0007,sentinel2,NDVI,1.0,1.0,1.0,-0.1400129795074463,-0.10142552852630615,-0.0241582989692688,0.049220263957977295,0.1263272762298584,0.05215174982844819,0.0006862072345848446
treatment_0007,sentinel1,VV,1.0,1.0,1.0,-3.8479127883911133,-2.733154296875,-0.3072233200073242,1.9876089096069336,2.8910179138183594,0.1213606509165768,0.007058131555729831
treatment_0008,sentinel2,NDVI,1.0,1.0,1.0,-0.27907395362854004,-0.15227586030960083,-0.038319408893585205,0.039876341819763184,0.09902042150497437,0.13930006862072347,0.025291638074698558
treatment_0008,sentinel1,VV,1.0,1.0,1.0,-3.7335829734802246,-2.6636548042297363,-0.12173080444335938,2.389340877532959,3.602625846862793,0.10685226938535437,0.006273894716204293
