sensor,treatment_site_id,period,latent_gap_norm,latent_frac_outside_01,treated_latent_present,donors_present
sentinel1,treatment_0001,P11,1.092174732060214,0.0,True,True
sentinel1,treatment_0001,P12,1.0348257147236455,0.0,True,True
sentinel1,treatment_0001,P13,1.094316548846974,0.0,True,True
sentinel1,treatment_0001,P14,1.0894488977788734,0.0,True,True
sentinel1,treatment_0001,P15,,,False,False
sentinel1,treatment_0001,P16,1.0425216931438088,0.0,True,True
sentinel1,treatment_0001,P17,1.0858766076459976,0.0,True,True
sentinel1,treatment_0001,P18,1.0857245368468569,0.0,True,True
sentinel1,treatment_0001,P19,1.0932907679837685,0.0,True,True
sentinel1,treatment_0001,P20,1.0822710185222315,0.0,True,True
sentinel1,treatment_0002,P11,1.0347331210899036,0.0,True,True
sentinel1,treatment_0002,P12,0.9882721707333263,0.0,True,True
sentinel1,treatment_0002,P13,1.0464341531919181,0.0,True,True
sentinel1,treatment_0002,P14,1.0717885404378313,0.0,True,True
sentinel1,treatment_0002,P15,,,False,False
sentinel1,treatment_0002,P16,1.0586975161430776,0.0,True,True
sentinel1,treatment_0002,P17,1.0697147533600817,0.0,True,True
sentinel1,treatment_0002,P18,1.0398035911559622,0.0,True,True
sentinel1,treatment_0002,P19,1.07499010021097,0.0,True,True
sentinel1,treatment_0002,P20,1.0588613506333584,0.0,True,True
sentinel1,treatment_0003,P11,1.0131259347980914,0.0,True,True
sentinel1,treatment_0003,P12,1.0478537155529373,0.0,True,True
sentinel1,treatment_0003,P13,1.046148063241926,0.0,True,True
sentinel1,treatment_0003,P14,0.9927425606485581,0.0,True,True
sentinel1,treatment_0003,P15,,,True,False
sentinel1,treatment_0003,P16,1.0074424436690468,0.0,True,True
sentinel1,treatment_0003,P17,1.007850660273394,0.0,True,True
sentinel1,treatment_0003,P18,1.0468723534343987,0.0,True,True
sentinel1,treatment_0003,P19,1.0016836761816876,0.0,True,True
sentinel1,treatment_0003,P20,1.0089320297236428,0.0,True,True
sentinel1,treatment_0004,P11,1.0511409175112911,0.0,True,True
sentinel1,treatment_0004,P12,1.0648317362914348,0.0,True,True
sentinel1,treatment_0004,P13,1.0490937134967204,0.0,True,True
sentinel1,treatment_0004,P14,1.0619309173025857,0.0,True,True
sentinel1,treatment_0004,P15,,,True,False
sentinel1,treatment_0004,P16,1.0658268128787778,0.0,True,True
sentinel1,treatment_0004,P17,1.0529238101172504,0.0,True,True
sentinel1,treatment_0004,P18,1.0735759797777138,0.0,True,True
sentinel1,treatment_0004,P19,1.068964765386231,0.0,True,True
sentinel1,treatment_0004,P20,1.0739357324214718,0.0,True,True
sentinel1,treatment_0005,P11,1.0372458641870093,0.0,True,True
sentinel1,treatment_0005,P12,1.0448964920807944,0.0,True,True
sentinel1,treatment_0005,P13,1.0735035235647021,0.0,True,True
sentinel1,treatment_0005,P14,1.0480775753497373,0.0,True,True
sentinel1,treatment_0005,P15,,,True,False
sentinel1,treatment_0005,P16,1.0432551898402307,0.0,True,True
sentinel1,treatment_0005,P17,1.0161850003386352,0.0,True,True
sentinel1,treatment_0005,P18,1.0380104895238242,0.0,True,True
sentinel1,treatment_0005,P19,1.031804397281695,0.0,True,True
sentinel1,treatment_0005,P20,1.0085362948973302,0.0,True,True
sentinel1,treatment_0006,P11,1.0887365161033855,0.0,True,True
sentinel1,treatment_0006,P12,1.0456020011406204,0.0,True,True
sentinel1,treatment_0006,P13,1.0775733874778644,0.0,True,True
sentinel1,treatment_0006,P14,1.0644934340932877,0.0,True,True
sentinel1,treatment_0006,P15,,,False,False
sentinel1,treatment_0006,P16,1.0623138900320919,0.0,True,True
sentinel1,treatment_0006,P17,1.0995407893639348,0.0,True,True
sentinel1,treatment_0006,P18,1.085876101629675,0.0,True,True
sentinel1,treatment_0006,P19,1.0906907045466891,0.0,True,True
sentinel1,treatment_0006,P20,1.0959348835686225,0.0,True,True
sentinel1,treatment_0007,P11,1.0517253178351902,0.0,True,True
sentinel1,treatment_0007,P12,1.0881564401641706,0.0,True,True
sentinel1,treatment_0007,P13,1.017704841093684,0.0,True,True
sentinel1,treatment_0007,P14,1.032185421346436,0.0,True,True
sentinel1,treatment_0007,P15,,,True,False
sentinel1,treatment_0007,P16,1.0837694000279372,0.0,True,True
sentinel1,treatment_0007,P17,1.06067330753616,0.0,True,True
sentinel1,treatment_0007,P18,1.0592178879612535,0.0,True,True
sentinel1,treatment_0007,P19,1.0732053759473912,0.0,True,True
sentinel1,treatment_0007,P20,1.0229941860818346,0.0,True,True
sentinel1,treatment_0008,P11,1.0426395073883516,0.0,True,True
sentinel1,treatment_0008,P12,1.096314534849757,0.0,True,True
sentinel1,treatment_0008,P13,1.1046905444785504,0.0,True,True
sentinel1,treatment_0008,P14,1.0551245334078794,0.0,True,True
sentinel1,treatment_0008,P15,,,True,False
sentinel1,treatment_0008,P16,1.126580352780142,0.0,True,True
sentinel1,treatment_0008,P17,1.0844804169381663,0.0,True,True
sentinel1,treatment_0008,P18,1.138855079835631,0.0,True,True
sentinel1,treatment_0008,P19,1.0919829699171082,0.0,True,True
sentinel1,treatment_0008,P20,1.0555428996149552,0.0,True,True
sentinel1,treatment_0009,P11,1.0317795602490745,0.0,True,True
sentinel1,treatment_0009,P12,1.0996602671374651,0.0,True,True
sentinel1,treatment_0009,P13,1.0777947439859459,0.0,True,True
sentinel1,treatment_0009,P14,1.0413424388362509,0.0,True,True
sentinel1,treatment_0009,P15,,,True,False
sentinel1,treatment_0009,P16,1.0583343343102651,0.0,True,True
sentinel1,treatment_0009,P17,1.048496427123688,0.0,True,True
sentinel1,treatment_0009,P18,1.070634378280446,0.0,True,True
sentinel1,treatment_0009,P19,1.036618083608962,0.0,True,True
sentinel1,treatment_0009,P20,1.054491375833368,0.0,True,True
sentinel1,treatment_0010,P11,1.0721976101491302,0.0,True,True
sentinel1,treatment_0010,P12,1.0703009988452923,0.0,True,True
sentinel1,treatment_0010,P13,1.068234510418883,0.0,True,True
sentinel1,treatment_0010,P14,1.0671873154993088,0.0,True,True
