arm,sensor,treatment_site_id,fit_window,lambda,cv_sse,chosen
main,sentinel1,treatment_0001,P01-08,0.0001,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.00012589254117941674,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.00015848931924611142,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.00019952623149688788,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.00025118864315095795,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.00031622776601683794,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.00039810717055349735,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.0005011872336272725,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.000630957344480193,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.0007943282347242813,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.001,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.0012589254117941675,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.001584893192461114,9271.870802934143,False
main,sentinel1,treatment_0001,P01-08,0.001995262314968879,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.002511886431509582,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.0031622776601683794,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.003981071705534973,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.005011872336272725,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.00630957344480193,9271.870802934141,False
main,sentinel1,treatment_0001,P01-08,0.00794328234724282,9271.87080293414,False
main,sentinel1,treatment_0001,P01-08,0.01,9271.870802934138,False
main,sentinel1,treatment_0001,P01-08,0.012589254117941675,9271.87080293414,False
main,sentinel1,treatment_0001,P01-08,0.01584893192461114,9271.87080293414,False
main,sentinel1,treatment_0001,P01-08,0.01995262314968881,9271.87080293414,False
main,sentinel1,treatment_0001,P01-08,0.025118864315095822,9271.870802934138,False
main,sentinel1,treatment_0001,P01-08,0.03162277660168379,9271.870802934138,False
main,sentinel1,treatment_0001,P01-08,0.039810717055349734,9271.870802934134,False
main,sentinel1,treatment_0001,P01-08,0.05011872336272725,9271.870802934136,False
main,sentinel1,treatment_0001,P01-08,0.06309573444801936,9271.870802934132,False
main,sentinel1,treatment_0001,P01-08,0.07943282347242822,9271.870802934129,False
main,sentinel1,treatment_0001,P01-08,0.1,9271.870802934123,False
main,sentinel1,treatment_0001,P01-08,0.12589254117941676,9271.870802934118,False
main,sentinel1,treatment_0001,P01-08,0.15848931924611143,9271.870802934116,False
main,sentinel1,treatment_0001,P01-08,0.19952623149688808,9271.870802934109,False
main,sentinel1,treatment_0001,P01-08,0.25118864315095824,9271.870802934098,False
main,sentinel1,treatment_0001,P01-08,0.31622776601683794,9271.870802934087,False
main,sentinel1,treatment_0001,P01-08,0.3981071705534973,9271.870802934074,False
main,sentinel1,treatment_0001,P01-08,0.5011872336272725,9271.870802934056,False
main,sentinel1,treatment_0001,P01-08,0.6309573444801936,9271.870802934032,False
main,sentinel1,treatment_0001,P01-08,0.7943282347242822,9271.870802934007,False
main,sentinel1,treatment_0001,P01-08,1.0,9271.870802933969,False
main,sentinel1,treatment_0001,P01-08,1.2589254117941688,9271.870802933923,False
main,sentinel1,treatment_0001,P01-08,1.584893192461114,9271.87080293387,False
main,sentinel1,treatment_0001,P01-08,1.9952623149688788,9271.870802933798,False
main,sentinel1,treatment_0001,P01-08,2.5118864315095824,9271.87080293371,False
main,sentinel1,treatment_0001,P01-08,3.1622776601683795,9271.870802933598,False
main,sentinel1,treatment_0001,P01-08,3.9810717055349776,9271.870802933458,False
main,sentinel1,treatment_0001,P01-08,5.011872336272725,9271.87080293328,False
main,sentinel1,treatment_0001,P01-08,6.309573444801943,9271.87080293306,False
main,sentinel1,treatment_0001,P01-08,7.943282347242821,9271.870802932779,False
main,sentinel1,treatment_0001,P01-08,10.0,9271.870802932426,False
main,sentinel1,treatment_0001,P01-08,12.589254117941687,9271.870802931984,False
main,sentinel1,treatment_0001,P01-08,15.848931924611142,9271.87080293143,False
main,sentinel1,treatment_0001,P01-08,19.95262314968883,9271.870802930733,False
main,sentinel1,treatment_0001,P01-08,25.11886431509582,9271.870802929858,False
main,sentinel1,treatment_0001,P01-08,31.622776601683793,9271.870802928765,False
main,sentinel1,treatment_0001,P01-08,39.81071705534978,9271.870802927393,False
main,sentinel1,treatment_0001,P01-08,50.11872336272725,9271.87080292568,False
main,sentinel1,treatment_0001,P01-08,63.09573444801943,9271.870802923544,False
main,sentinel1,treatment_0001,P01-08,79.43282347242821,9271.870802920885,False
main,sentinel1,treatment_0001,P01-08,100.0,9271.870802917583,False
main,sentinel1,treatment_0001,P01-08,125.89254117941688,9271.870802913505,False
main,sentinel1,treatment_0001,P01-08,158.48931924611142,9271.870802908486,False
main,sentinel1,treatment_0001,P01-08,199.5262314968883,9271.870802902353,False
main,sentinel1,treatment_0001,P01-08,251.18864315095823,9271.870802894906,False
main,sentinel1,treatment_0001,P01-08,316.22776601683796,9271.87080288596,False
main,sentinel1,treatment_0001,P01-08,398.1071705534977,9271.870802875344,False
main,sentinel1,treatment_0001,P01-08,501.18723362727246,9271.870802862943,False
main,sentinel1,treatment_0001,P01-08,630.9573444801943,9271.870802848749,False
main,sentinel1,treatment_0001,P01-08,794.3282347242822,9271.870802832931,False
main,sentinel1,treatment_0001,P01-08,1000.0,9271.870802815925,False
main,sentinel1,treatment_0001,P01-08,1258.9254117941687,9271.870802798523,False
main,sentinel1,treatment_0001,P01-08,1584.893192461114,9271.870802781941,False
main,sentinel1,treatment_0001,P01-08,1995.262314968883,9271.87080276789,False
main,sentinel1,treatment_0001,P01-08,2511.886431509582,9271.870802758498,False
main,sentinel1,treatment_0001,P01-08,3162.2776601683795,9271.870802756157,True
main,sentinel1,treatment_0001,P01-08,3981.0717055349774,9271.870802763226,False
