arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_03,0.23857912953684302,3162.2776601683795,False,5.009734788148388e-07,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0007_04,0.1932214616202573,3162.2776601683795,False,5.009734788148388e-07,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_04,0.18409756312692582,3162.2776601683795,False,5.009734788148388e-07,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0010_03,0.18613557540135076,3162.2776601683795,False,5.009734788148388e-07,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_02,0.1979662703146229,3162.2776601683795,False,5.009734788148388e-07,0,-0.0,8
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_03,0.23837190078528342,10000.0,True,1.0119315262948453e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0007_04,0.1941324937944517,10000.0,True,1.0119315262948453e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_04,0.1821943864025702,10000.0,True,1.0119315262948453e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0010_03,0.18907411365881954,10000.0,True,1.0119315262948453e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_02,0.19622710535887508,10000.0,True,1.0119315262948453e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-08,counterfactual_0002_01,0.2043280421948647,0.0001,True,2.583428915702281e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0006_03,0.1916248401625368,0.0001,True,2.583428915702281e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0001_05,0.20274153809546885,0.0001,True,2.583428915702281e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0007_01,0.20404814591600762,0.0001,True,2.583428915702281e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0010_04,0.19725743363112208,0.0001,True,2.583428915702281e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-09,counterfactual_0002_01,0.20712483749705116,10000.0,True,1.4136500507053969e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0006_03,0.19000840075967468,10000.0,True,1.4136500507053969e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0001_05,0.1973292158072968,10000.0,True,1.4136500507053969e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0007_01,0.20712606920418733,10000.0,True,1.4136500507053969e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0010_04,0.19841147673179016,10000.0,True,1.4136500507053969e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_01,0.2385975660716347,0.0001,True,3.053386642447538e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0008_03,0.19629384163711117,0.0001,True,3.053386642447538e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_05,0.17855073533371116,0.0001,True,3.053386642447538e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0004_01,0.20030245530622867,0.0001,True,3.053386642447538e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0003_05,0.1862554016513142,0.0001,True,3.053386642447538e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_01,0.23740158091014094,0.0001,True,1.7346626271207237e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0008_03,0.19323499135115932,0.0001,True,1.7346626271207237e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_05,0.18210194488860706,0.0001,True,1.7346626271207237e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0004_01,0.20259462568782016,0.0001,True,1.7346626271207237e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0003_05,0.18466685716227235,0.0001,True,1.7346626271207237e-09,0,-0.0,9
main,sentinel1,treatment_0004,P01-08,counterfactual_0005_05,0.21859754437950443,10000.0,True,1.0308168142389658e-07,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0001_01,0.19003646811996314,10000.0,True,1.0308168142389658e-07,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0002_03,0.20670164106230873,10000.0,True,1.0308168142389658e-07,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0006_02,0.18783457892294908,10000.0,True,1.0308168142389658e-07,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0010_03,0.19682976751527448,10000.0,True,1.0308168142389658e-07,0,-0.0,8
main,sentinel1,treatment_0004,P01-09,counterfactual_0005_05,0.21966778744515733,0.00031622776601683794,False,1.583274719623274e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0001_01,0.19022752359930434,0.00031622776601683794,False,1.583274719623274e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0002_03,0.20528379749991005,0.00031622776601683794,False,1.583274719623274e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0006_02,0.1869061584279015,0.00031622776601683794,False,1.583274719623274e-07,0,-0.0,9
