sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
sentinel1,treatment_0001,P11,1.0921747282183698,True,True
sentinel1,treatment_0001,P12,1.0348257341750082,True,True
sentinel1,treatment_0001,P13,1.0943165573208407,True,True
sentinel1,treatment_0001,P14,1.0894489130516418,True,True
sentinel1,treatment_0001,P15,,False,False
sentinel1,treatment_0001,P16,1.0425217000430484,True,True
sentinel1,treatment_0001,P17,1.0858766293201758,True,True
sentinel1,treatment_0001,P18,1.085724550529515,True,True
sentinel1,treatment_0001,P19,1.0932907807879877,True,True
sentinel1,treatment_0001,P20,1.082271014193539,True,True
sentinel1,treatment_0002,P11,1.0347331158451525,True,True
sentinel1,treatment_0002,P12,0.9882721706563474,True,True
sentinel1,treatment_0002,P13,1.046434153733715,True,True
sentinel1,treatment_0002,P14,1.0717885375741414,True,True
sentinel1,treatment_0002,P15,,False,False
sentinel1,treatment_0002,P16,1.058697529016758,True,True
sentinel1,treatment_0002,P17,1.0697147618144145,True,True
sentinel1,treatment_0002,P18,1.0398035868403055,True,True
sentinel1,treatment_0002,P19,1.074990116680293,True,True
sentinel1,treatment_0002,P20,1.058861344889963,True,True
sentinel1,treatment_0003,P11,1.013125934630468,True,True
sentinel1,treatment_0003,P12,1.0478537156108947,True,True
sentinel1,treatment_0003,P13,1.0461480631766853,True,True
sentinel1,treatment_0003,P14,0.9927425604983855,True,True
sentinel1,treatment_0003,P15,,True,False
sentinel1,treatment_0003,P16,1.0074424436103122,True,True
sentinel1,treatment_0003,P17,1.0078506602106985,True,True
sentinel1,treatment_0003,P18,1.0468723533271231,True,True
sentinel1,treatment_0003,P19,1.0016836760885832,True,True
sentinel1,treatment_0003,P20,1.0089320296238362,True,True
sentinel1,treatment_0004,P11,1.0511409189255814,True,True
sentinel1,treatment_0004,P12,1.0648317342433018,True,True
sentinel1,treatment_0004,P13,1.0490937083669005,True,True
sentinel1,treatment_0004,P14,1.0619309141638604,True,True
sentinel1,treatment_0004,P15,,True,False
sentinel1,treatment_0004,P16,1.0658268108544398,True,True
sentinel1,treatment_0004,P17,1.0529238069725502,True,True
sentinel1,treatment_0004,P18,1.0735759716685849,True,True
sentinel1,treatment_0004,P19,1.0689647621081146,True,True
sentinel1,treatment_0004,P20,1.0739357269110525,True,True
sentinel1,treatment_0005,P11,1.03724586419507,True,True
sentinel1,treatment_0005,P12,1.044896492055348,True,True
sentinel1,treatment_0005,P13,1.0735035235383295,True,True
sentinel1,treatment_0005,P14,1.048077575369859,True,True
sentinel1,treatment_0005,P15,,True,False
sentinel1,treatment_0005,P16,1.0432551897902813,True,True
sentinel1,treatment_0005,P17,1.0161850003110162,True,True
sentinel1,treatment_0005,P18,1.0380104894839746,True,True
sentinel1,treatment_0005,P19,1.0318043973149142,True,True
sentinel1,treatment_0005,P20,1.0085362949090204,True,True
sentinel1,treatment_0006,P11,1.0887365095783788,True,True
sentinel1,treatment_0006,P12,1.0456019991784016,True,True
sentinel1,treatment_0006,P13,1.0775733790756428,True,True
sentinel1,treatment_0006,P14,1.0644934187445099,True,True
sentinel1,treatment_0006,P15,,False,False
sentinel1,treatment_0006,P16,1.0623138837283352,True,True
sentinel1,treatment_0006,P17,1.0995407757121098,True,True
sentinel1,treatment_0006,P18,1.0858760847989293,True,True
sentinel1,treatment_0006,P19,1.09069068967214,True,True
sentinel1,treatment_0006,P20,1.0959348761108634,True,True
sentinel1,treatment_0007,P11,1.05172531878538,True,True
