site,sensor,effect_norm,pre_imbalance_norm
treatment_0001,sentinel1,2.6837988981540475,3.393658135527699
treatment_0002,sentinel1,2.570640964662266,2.423369739186603
treatment_0003,sentinel1,4.333451152785573,5.172621068657279
treatment_0004,sentinel1,2.886872539910212,4.1539920311743845
treatment_0005,sentinel1,4.353354953375023,4.970239388585314
treatment_0006,sentinel1,2.895159526340937,2.82047488941627
treatment_0007,sentinel1,2.610605983896795,3.360417407914667
treatment_0008,sentinel1,4.291348357157573,2.8075789075895665
treatment_0009,sentinel1,3.9234580168320945,2.7963199241800094
treatment_0010,sentinel1,3.6560102492049147,2.988208604234909
treatment_0011,sentinel1,2.1745876102415407,2.533546864542319
treatment_0012,sentinel1,2.7331857094968144,2.084568987643396
treatment_0013,sentinel1,2.896203295944356,2.9570630655369605
treatment_0014,sentinel1,2.516723258803708,2.2185733100624674
treatment_0015,sentinel1,3.432848090875326,3.6074651557526605
treatment_0016,sentinel1,3.997743666637352,4.461515672213973
treatment_0017,sentinel1,2.645067656135337,2.7321229648493883
treatment_0018,sentinel1,2.8364547556171247,3.4028995134294227
treatment_0019,sentinel1,3.4733080243490515,3.623751826867381
treatment_0020,sentinel1,3.5325356584156538,4.270229587090892
treatment_0021,sentinel1,4.58539446155401,4.050033468954339
treatment_0022,sentinel1,3.9002096159557773,3.5657241418969536
treatment_0023,sentinel1,5.622080626176383,5.509515752937278
treatment_0024,sentinel1,2.726482234933648,2.494799720487325
treatment_0025,sentinel1,2.701327971805121,2.6946545306450425
treatment_0027,sentinel1,2.6635315932879613,3.266410236137687
treatment_0001,sentinel2,1.4607717551343051,1.494645721740097
treatment_0002,sentinel2,1.762023958987757,1.6010013943864951
treatment_0003,sentinel2,2.6330997629900135,1.6322972446903838
treatment_0004,sentinel2,2.1467789611880823,1.75978140560578
treatment_0005,sentinel2,2.4347202601920106,1.7608892213411012
treatment_0006,sentinel2,1.5702446152573872,1.6326617218288804
treatment_0007,sentinel2,3.090950667221346,1.7308629691489614
treatment_0008,sentinel2,1.6704971660093828,1.2059089024671714
treatment_0009,sentinel2,1.7054243604558983,1.2903713601201388
treatment_0010,sentinel2,1.6192153776223206,1.5533331702749726
treatment_0011,sentinel2,1.6960742401468445,1.3262632370105603
treatment_0012,sentinel2,1.4333278402806702,1.2294491877534108
treatment_0013,sentinel2,2.789428991456591,2.5391710686701026
treatment_0014,sentinel2,2.114633929438843,1.6662219022840505
treatment_0015,sentinel2,1.941283073557251,2.0148004305763454
treatment_0016,sentinel2,3.064869231112206,2.4348371199475136
treatment_0017,sentinel2,2.2950245538272305,1.5386814716245758
treatment_0018,sentinel2,1.8672661568556046,1.6451168201519397
treatment_0019,sentinel2,1.618157735820059,1.6413601718670636
treatment_0020,sentinel2,3.096773384915533,2.029517724515971
treatment_0021,sentinel2,1.99917517693838,2.4280596228665154
treatment_0022,sentinel2,2.03978077529076,2.4166335837109094
treatment_0023,sentinel2,1.8710617357205277,1.386298366654807
treatment_0024,sentinel2,1.88452513453348,1.3280498965315886
treatment_0025,sentinel2,1.9602103731150502,1.5267463064631113
treatment_0027,sentinel2,1.9387355034836307,2.136140672066831
