treatment_site_id,sensor,band,band_label,band_description,number_of_controls,treatment_before_mean,treatment_after_mean,treatment_change_mean,mean_control_before_mean,mean_control_after_mean,mean_control_change_mean,mean_adjusted_effect,median_control_before_mean,median_control_after_mean,median_control_change_mean,median_adjusted_effect,treatment_before_valid_fraction,treatment_after_valid_fraction,mean_control_before_valid_fraction,mean_control_after_valid_fraction
treatment_0001,sentinel2,emb_000,Embedding dimension 0,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-1.104016661643982,-1.0746527910232544,0.0293638706207275,-1.0817930698394775,-1.0939489603042605,-0.0121558904647827,0.0415197610855102,-1.1035289764404297,-1.0971975326538086,0.006331443786621,0.0230324268341064,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_001,Embedding dimension 1,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1514596939086914,-0.2379476875066757,-0.0864879935979843,-0.1334022134542465,-0.2424966096878051,-0.1090943962335586,0.0226064026355743,-0.1172339171171188,-0.2474690675735473,-0.1302351504564285,0.0437471568584442,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_002,Embedding dimension 2,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3474817276000976,0.3852208256721496,0.037739098072052,0.262789785861969,0.3113783001899719,0.0485885143280029,-0.0108494162559509,0.269733726978302,0.3159438371658325,0.0462101101875305,-0.0084710121154785,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_003,Embedding dimension 3,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.1122618541121482,0.0319817773997783,-0.0802800804376602,-0.0114144198596477,-0.0234637521207332,-0.0120493322610855,-0.0682307481765747,-0.0679959207773208,-0.018698452040553,0.0492974668741226,-0.1295775473117828,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_004,Embedding dimension 4,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.6185463070869446,0.6368594765663147,0.0183131694793701,0.4622591435909271,0.5529676675796509,0.0907085239887237,-0.0723953545093536,0.4351078867912292,0.5327193737030029,0.0976114869117736,-0.0792983174324035,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_005,Embedding dimension 5,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-1.4677566289901731,-1.1539970636367798,0.3137595653533935,-1.374597430229187,-1.1922481060028076,0.1823493242263794,0.1314102411270141,-1.4168639183044434,-1.2378153800964355,0.1790485382080078,0.1347110271453857,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_006,Embedding dimension 6,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.2132346779108047,-0.1483174711465835,0.0649172067642211,-0.3981120586395263,-0.3088653683662414,0.0892466902732849,-0.0243294835090637,-0.3488088846206665,-0.3156580328941345,0.0331508517265319,0.0317663550376892,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_007,Embedding dimension 7,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.2337300181388855,-0.2542636096477508,-0.0205335915088653,-0.1876232624053955,-0.210870623588562,-0.0232473611831665,0.0027137696743011,-0.1987400949001312,-0.19862662255764,0.0001134723424911,-0.0206470638513565,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_008,Embedding dimension 8,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.074979044497013,-0.0068516265600919,0.0681274160742759,-0.0239885337650775,0.0260518006980419,0.0500403344631195,0.0180870816111564,-0.0368788428604602,0.0151836005970835,0.0520624443888664,0.0160649716854095,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_009,Embedding dimension 9,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,1.556154489517212,1.5134470462799072,-0.0427074432373046,0.9643314480781556,1.2027428150177002,0.2384113669395446,-0.2811188101768493,0.9864708185195924,1.1818733215332031,0.1954025030136108,-0.2381099462509155,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_010,Embedding dimension 10,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3007189929485321,0.1660893261432647,-0.1346296668052673,0.4025596082210541,0.2638675570487976,-0.1386920511722564,0.0040623843669891,0.4165234863758087,0.2995866537094116,-0.1169368326663971,-0.0176928341388702,1.0,1.0,1.0,1.0
