site,sensor,effect_norm,treated_change_norm,pre_imbalance_norm
treatment_0001,sentinel1,3.9392747046947947,6.809620094549136,5.6075796283094475
treatment_0001,sentinel2,2.0338447170628,3.32307908427708,2.734219580072695
treatment_0002,sentinel1,3.805631131712346,6.326147598599138,5.168518361774835
treatment_0002,sentinel2,1.9288687481992923,4.953368740491133,2.8236487735728546
treatment_0003,sentinel1,5.523374286690644,7.66568415143314,5.953171666045327
treatment_0003,sentinel2,2.2199148680760428,5.721337400016843,2.2514698887043454
treatment_0004,sentinel1,4.587933088623586,5.137271014545038,8.452405130585051
treatment_0004,sentinel2,3.7475959826431615,3.6322093613717663,4.436647126195232
treatment_0005,sentinel1,4.8537956070719686,6.830184413981442,5.411974937020421
treatment_0005,sentinel2,2.50869858879822,4.2759319789612835,2.653167693493302
treatment_0006,sentinel1,4.314911121407325,6.557659907666223,5.218641678330053
treatment_0006,sentinel2,3.004378271862217,5.718930208709346,3.807912477249399
treatment_0007,sentinel1,4.228504952095789,3.8404337663454635,5.355515884653286
treatment_0007,sentinel2,3.4978212095681034,7.7480696908045905,2.420507037001184
treatment_0008,sentinel1,4.277204979721189,6.121049190401208,3.7794242773240425
treatment_0008,sentinel2,3.0408399558859966,5.567146363558835,2.9574286178243394
treatment_0009,sentinel1,4.307958113995057,6.4876781822084775,4.247961110725896
treatment_0009,sentinel2,2.1728323818219337,5.409112142013902,2.1324705688098007
treatment_0010,sentinel1,3.8153319573251725,6.602558642259368,4.156952265759367
treatment_0010,sentinel2,1.8050875086973739,3.306510552856551,2.569511251403297
treatment_0011,sentinel1,5.325156839138219,5.969541849498592,5.6294220057372915
treatment_0011,sentinel2,2.2133413394797117,5.153910706011955,3.2551660693523417
treatment_0012,sentinel1,3.679854272924794,6.047453074340013,4.62747137349874
treatment_0012,sentinel2,1.9987224052277004,5.46238638193144,2.571410042607767
treatment_0013,sentinel1,3.892498755881137,4.560171215099338,3.8383136644610003
treatment_0013,sentinel2,4.312481663707112,6.850329874899013,3.9998851564916706
treatment_0014,sentinel1,4.212578571079258,5.373742811082252,5.065287892391149
treatment_0014,sentinel2,2.982717941444627,5.709951519340946,3.821937124681109
treatment_0015,sentinel1,4.787496097700109,7.564587193033767,5.209315807453561
treatment_0015,sentinel2,2.2850990990087117,5.496174220510445,3.163028782382462
treatment_0016,sentinel1,4.383023070465923,7.484315297850066,5.091904632933842
treatment_0016,sentinel2,2.6707964763419314,6.453883600794207,3.29476358661349
treatment_0017,sentinel1,4.024271860837214,7.1774876075123135,4.650802758075326
treatment_0017,sentinel2,2.629400942892324,6.599686258151153,2.687164804732532
treatment_0018,sentinel1,4.067635021108752,7.721938799982896,5.070840633900044
treatment_0018,sentinel2,1.997865227026167,5.230713831886997,2.3661004341287257
treatment_0019,sentinel1,4.888199080553523,8.044015107244858,5.397780789718455
treatment_0019,sentinel2,2.202694534983343,7.028903845330058,2.274912939213224
treatment_0020,sentinel1,4.583080283230798,7.307780645393949,5.564406296046714
treatment_0020,sentinel2,3.140296853512537,8.081468831116522,2.9344991478009006
treatment_0021,sentinel1,5.924720695433624,9.162626397457055,5.34722428966773
treatment_0021,sentinel2,2.59146726264532,4.064353548113137,3.4645301927143923
treatment_0022,sentinel1,4.513586685804339,8.488160629321182,4.335688981150974
treatment_0022,sentinel2,2.3867868038371327,4.446466981621663,2.9885312975940552
treatment_0023,sentinel1,6.221725447434456,7.574541915777352,6.670855468229334
treatment_0023,sentinel2,1.956981670120575,4.603944344839425,2.5305130948377412
treatment_0024,sentinel1,5.193465639036936,8.351732913934436,4.629083152395099
treatment_0024,sentinel2,2.6814551175837353,7.953039917416638,2.6666846529461656
treatment_0025,sentinel1,3.7073891620953465,7.32195283885694,4.274388683355484
treatment_0025,sentinel2,2.9747324112093243,7.066370676008287,2.3975166852305843
treatment_0027,sentinel1,3.1026954378451252,6.141863742293009,4.243953505301177
treatment_0027,sentinel2,2.1416121159845347,4.8848678748327,2.541091230375507
