site,emb_effect_sentinel1,emb_effect_sentinel2,bandDiD_NDVI,bandDiD_B11,bandDiD_VV_minus_VH,bandDiD_VH
treatment_0001,3.9393,2.0338,-0.0272,0.0161,-0.3558,0.1443
treatment_0002,3.8056,1.9289,-0.019,0.0072,-0.112,0.2672
treatment_0003,5.5234,2.2199,0.0221,-0.0045,0.0862,-0.3371
treatment_0004,4.5879,3.7476,0.0676,-0.0056,0.1339,-0.0387
treatment_0005,4.8538,2.5087,-0.0015,0.0077,-0.0319,0.0456
treatment_0006,4.3149,3.0044,0.0421,0.0028,-0.0829,0.0095
treatment_0007,4.2285,3.4978,0.0057,-0.0047,-0.11,0.0412
treatment_0008,4.2772,3.0408,-0.0327,0.0125,-0.0903,-0.0319
treatment_0009,4.308,2.1728,-0.0217,0.0078,-0.0154,0.1257
treatment_0010,3.8153,1.8051,0.0025,0.0041,-0.012,-0.0148
treatment_0011,5.3252,2.2133,0.0074,-0.0076,-0.2254,-0.0208
treatment_0012,3.6799,1.9987,0.0162,-0.0051,0.0449,-0.0553
treatment_0013,3.8925,4.3125,0.0005,-0.0051,-0.0742,0.0516
treatment_0014,4.2126,2.9827,0.0016,-0.002,-0.114,-0.01
treatment_0015,4.7875,2.2851,-0.0447,0.0093,0.0429,0.2767
treatment_0016,4.383,2.6708,-0.0049,0.0049,-0.1875,-0.2544
treatment_0017,4.0243,2.6294,-0.0153,0.0024,-0.5424,0.4246
treatment_0018,4.0676,1.9979,-0.0307,0.0108,-0.1826,0.4601
treatment_0019,4.8882,2.2027,-0.0176,0.0012,-0.2829,0.1137
treatment_0020,4.5831,3.1403,-0.0183,0.0161,-0.2968,0.105
treatment_0021,5.9247,2.5915,0.0047,0.0149,0.0123,-0.1577
treatment_0022,4.5136,2.3868,0.0007,0.0165,-0.0502,-0.1212
treatment_0023,6.2217,1.957,-0.0148,0.0087,-0.1634,0.2964
treatment_0024,5.1935,2.6815,-0.0285,0.0118,-0.0366,0.0473
treatment_0025,3.7074,2.9747,-0.0326,0.0055,-0.3539,0.2109
treatment_0027,3.1027,2.1416,-0.0613,0.0113,-0.1806,0.4617
