treatment_site_id,sensor,period,band,decoded,collab09_cf,err
treatment_0001,sentinel1,before,VV,-9.76622200012207,-11.317301750183105,1.5510797500610352
treatment_0001,sentinel1,before,VH,-16.033449172973633,-17.560728073120117,1.5272789001464844
treatment_0001,sentinel1,before,VV_minus_VH,6.267226696014404,6.24342679977417,0.023799896240234375
treatment_0002,sentinel1,before,VV,-10.063674926757812,-10.56613540649414,0.5024604797363281
treatment_0002,sentinel1,before,VH,-16.427034378051758,-16.789033889770508,0.36199951171875
treatment_0002,sentinel1,before,VV_minus_VH,6.36336088180542,6.222898483276367,0.14046239852905273
treatment_0003,sentinel1,before,VV,-9.562417984008789,-9.306120872497559,-0.25629711151123047
treatment_0003,sentinel1,before,VH,-15.980709075927734,-15.751690864562988,-0.2290182113647461
treatment_0003,sentinel1,before,VV_minus_VH,6.41829252243042,6.4455718994140625,-0.027279376983642578
treatment_0004,sentinel1,before,VV,-10.121272087097168,-9.972945213317871,-0.14832687377929688
treatment_0004,sentinel1,before,VH,-16.498266220092773,-16.29798698425293,-0.20027923583984375
treatment_0004,sentinel1,before,VV_minus_VH,6.37699556350708,6.325040817260742,0.05195474624633789
treatment_0005,sentinel1,before,VV,-10.227343559265137,-10.061192512512207,-0.1661510467529297
treatment_0005,sentinel1,before,VH,-16.6252498626709,-16.30714225769043,-0.31810760498046875
treatment_0005,sentinel1,before,VV_minus_VH,6.3979058265686035,6.2459492683410645,0.15195655822753906
treatment_0006,sentinel1,before,VV,-9.839188575744629,-9.354120254516602,-0.48506832122802734
treatment_0006,sentinel1,before,VH,-16.1476993560791,-15.862288475036621,-0.28541088104248047
treatment_0006,sentinel1,before,VV_minus_VH,6.3085126876831055,6.508167743682861,-0.19965505599975586
treatment_0007,sentinel1,before,VV,-9.28739070892334,-9.133906364440918,-0.15348434448242188
treatment_0007,sentinel1,before,VH,-15.779650688171387,-15.426358222961426,-0.35329246520996094
treatment_0007,sentinel1,before,VV_minus_VH,6.492259979248047,6.292452812194824,0.19980716705322266
treatment_0008,sentinel1,before,VV,-9.635895729064941,-10.412174224853516,0.7762784957885742
treatment_0008,sentinel1,before,VH,-16.12488555908203,-16.642597198486328,0.5177116394042969
treatment_0008,sentinel1,before,VV_minus_VH,6.48898983001709,6.230421543121338,0.25856828689575195
treatment_0009,sentinel1,before,VV,-9.731083869934082,-9.9125394821167,0.1814556121826172
treatment_0009,sentinel1,before,VH,-16.031024932861328,-16.29898452758789,0.2679595947265625
treatment_0009,sentinel1,before,VV_minus_VH,6.299942493438721,6.38644552230835,-0.0865030288696289
treatment_0010,sentinel1,before,VV,-9.801209449768066,-10.140447616577148,0.33923816680908203
treatment_0010,sentinel1,before,VH,-16.213884353637695,-16.235708236694336,0.021823883056640625
treatment_0010,sentinel1,before,VV_minus_VH,6.412674903869629,6.09526252746582,0.3174123764038086
treatment_0011,sentinel1,before,VV,-9.953625679016113,-9.96377944946289,0.010153770446777344
treatment_0011,sentinel1,before,VH,-16.28347396850586,-16.127164840698242,-0.1563091278076172
treatment_0011,sentinel1,before,VV_minus_VH,6.329849720001221,6.16338586807251,0.16646385192871094
treatment_0012,sentinel1,before,VV,-9.73900318145752,-9.903581619262695,0.16457843780517578
treatment_0012,sentinel1,before,VH,-16.08757972717285,-16.148117065429688,0.06053733825683594
treatment_0012,sentinel1,before,VV_minus_VH,6.348575592041016,6.244535446166992,0.10404014587402344
treatment_0013,sentinel1,before,VV,-9.848116874694824,-8.87677001953125,-0.9713468551635742
treatment_0013,sentinel1,before,VH,-16.284074783325195,-15.24437141418457,-1.039703369140625
treatment_0013,sentinel1,before,VV_minus_VH,6.435957908630371,6.367600917816162,0.06835699081420898
treatment_0014,sentinel1,before,VV,-9.417890548706055,-9.834917068481445,0.4170265197753906
treatment_0014,sentinel1,before,VH,-15.906982421875,-15.92370891571045,0.01672649383544922
treatment_0014,sentinel1,before,VV_minus_VH,6.48909330368042,6.088791847229004,0.400301456451416
treatment_0015,sentinel1,before,VV,-9.896589279174805,-10.313602447509766,0.41701316833496094
treatment_0015,sentinel1,before,VH,-16.1342716217041,-16.408727645874023,0.2744560241699219
treatment_0015,sentinel1,before,VV_minus_VH,6.237682342529297,6.0951247215271,0.14255762100219727
treatment_0016,sentinel1,before,VV,-9.981287002563477,-10.054268836975098,0.0729818344116211
treatment_0016,sentinel1,before,VH,-16.351234436035156,-16.332801818847656,-0.0184326171875
treatment_0016,sentinel1,before,VV_minus_VH,6.3699445724487305,6.278532981872559,0.09141159057617188
treatment_0017,sentinel1,before,VV,-9.273193359375,-10.100608825683594,0.8274154663085938
treatment_0017,sentinel1,before,VH,-15.734260559082031,-16.493066787719727,0.7588062286376953
treatment_0017,sentinel1,before,VV_minus_VH,6.461067199707031,6.392457008361816,0.06861019134521484
treatment_0018,sentinel1,before,VV,-9.6680326461792,-10.159366607666016,0.4913339614868164
treatment_0018,sentinel1,before,VH,-16.04628562927246,-16.232906341552734,0.18662071228027344
treatment_0018,sentinel1,before,VV_minus_VH,6.37825345993042,6.073538303375244,0.3047151565551758
treatment_0019,sentinel1,before,VV,-9.332119941711426,-9.174836158752441,-0.15728378295898438
treatment_0019,sentinel1,before,VH,-15.799159049987793,-15.506013870239258,-0.29314517974853516
treatment_0019,sentinel1,before,VV_minus_VH,6.467039585113525,6.331178665161133,0.13586091995239258
treatment_0020,sentinel1,before,VV,-9.277420997619629,-9.752202987670898,0.47478199005126953
treatment_0020,sentinel1,before,VH,-15.688753128051758,-15.948760986328125,0.2600078582763672
treatment_0020,sentinel1,before,VV_minus_VH,6.411332130432129,6.196559906005859,0.21477222442626953
treatment_0021,sentinel1,before,VV,-9.697552680969238,-10.020979881286621,0.3234272003173828
treatment_0021,sentinel1,before,VH,-16.0417423248291,-16.144838333129883,0.10309600830078125
treatment_0021,sentinel1,before,VV_minus_VH,6.344189643859863,6.123858451843262,0.22033119201660156
treatment_0022,sentinel1,before,VV,-9.8319730758667,-10.004777908325195,0.1728048324584961
treatment_0022,sentinel1,before,VH,-16.07845115661621,-15.918599128723145,-0.1598520278930664
treatment_0022,sentinel1,before,VV_minus_VH,6.24647855758667,5.913822174072266,0.3326563835144043
treatment_0023,sentinel1,before,VV,-10.177519798278809,-10.655562400817871,0.4780426025390625
treatment_0023,sentinel1,before,VH,-16.490638732910156,-16.82301139831543,0.33237266540527344
treatment_0023,sentinel1,before,VV_minus_VH,6.313116550445557,6.167449951171875,0.14566659927368164
treatment_0024,sentinel1,before,VV,-9.335978507995605,-9.277081489562988,-0.05889701843261719
treatment_0024,sentinel1,before,VH,-15.841483116149902,-16.04806900024414,0.20658588409423828
