model,sensor,site_id,band,sd_train,p09,truth,model_value,model_move,truth_move,persistence_move,last3_mean_move,own_mean_move,linear9_move,linear4_move,holt_damped_move,nearest_rule,nearest_dist,direction_ok,direction_ok_persistence,direction_ok_last3_mean,direction_ok_own_mean,direction_ok_linear9,direction_ok_linear4,direction_ok_holt_damped
Kimi-K3-thinking-low,sentinel1,treatment_0015,VV,0.4314732582093057,-9.79810002419028,-10.449886326695433,-10.2,-0.9314597559943324,-1.5106064862749253,0.0,-0.9217851769964974,-1.0687485772465006,-0.7315135585542034,-0.547163907649308,-1.0331563365472338,last3_mean,0.00967457899783497,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0015,VV,0.4314732582093057,-9.79810002419028,-10.449886326695433,-10.15,-0.8155777191619497,-1.5106064862749253,0.0,-0.9217851769964974,-1.0687485772465006,-0.7315135585542034,-0.547163907649308,-1.0331563365472338,linear9,0.08406416060774624,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0015,VV,0.4314732582093057,-9.79810002419028,-10.449886326695433,-10.12,-0.746048497062516,-1.5106064862749253,0.0,-0.9217851769964974,-1.0687485772465006,-0.7315135585542034,-0.547163907649308,-1.0331563365472338,linear9,0.014534938508312556,1,0,1,1,1,1,1
ensemble,sentinel1,treatment_0015,VV,0.4314732582093057,-9.79810002419028,-10.449886326695433,-10.175,-0.8735187375781431,-1.5106064862749253,0.0,-0.9217851769964974,-1.0687485772465006,-0.7315135585542034,-0.547163907649308,-1.0331563365472338,last3_mean,0.04826643941835429,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0015,VH,0.7678024759115789,-15.915965432459766,-16.726890455094896,-16.34,-0.5522703831305,-1.056163594253006,0.0,-0.5494205776679735,-0.4029283174539988,-0.6018022180496159,-0.5780719049526453,-0.6105439307636972,last3_mean,0.0028498054625265556,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0015,VH,0.7678024759115789,-15.915965432459766,-16.726890455094896,-16.16,-0.31783508805504007,-1.056163594253006,0.0,-0.5494205776679735,-0.4029283174539988,-0.6018022180496159,-0.5780719049526453,-0.6105439307636972,own_mean,0.08509322939895875,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0015,VH,0.7678024759115789,-15.915965432459766,-16.726890455094896,-16.38,-0.6043671153694901,-1.056163594253006,0.0,-0.5494205776679735,-0.4029283174539988,-0.6018022180496159,-0.5780719049526453,-0.6105439307636972,linear9,0.002564897319874193,1,0,1,1,1,1,1
ensemble,sentinel1,treatment_0015,VH,0.7678024759115789,-15.915965432459766,-16.726890455094896,-16.25,-0.43505273559277,-1.056163594253006,0.0,-0.5494205776679735,-0.4029283174539988,-0.6018022180496159,-0.5780719049526453,-0.6105439307636972,own_mean,0.032124418138771205,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0015,VV-VH,0.38681579988480674,6.128428952551936,6.277004124240415,6.14,0.029913585358997997,0.38409799116976134,0.0,0.05318280404768672,-0.3996533232191784,0.36542727767606814,0.5191682901854889,0.3367483023554221,last3_mean,0.023269218688688725,1,0,1,0,1,1,1
gpt-oss-120b,sentinel1,treatment_0015,VV-VH,0.38681579988480674,6.128428952551936,6.277004124240415,6.02,-0.28031159167807224,0.38409799116976134,0.0,0.05318280404768672,-0.3996533232191784,0.36542727767606814,0.5191682901854889,0.3367483023554221,own_mean,0.11934173154110617,0,0,1,0,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0015,VV-VH,0.38681579988480674,6.128428952551936,6.277004124240415,6.27,0.3659908604824902,0.38409799116976134,0.0,0.05318280404768672,-0.3996533232191784,0.36542727767606814,0.5191682901854889,0.3367483023554221,linear9,0.0005635828064220472,1,0,1,0,1,1,1
ensemble,sentinel1,treatment_0015,VV-VH,0.38681579988480674,6.128428952551936,6.277004124240415,6.08,-0.12519900315953597,0.38409799116976134,0.0,0.05318280404768672,-0.3996533232191784,0.36542727767606814,0.5191682901854889,0.3367483023554221,persistence,0.12519900315953597,0,0,1,0,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0016,VV,0.6364443722375406,-10.027520946726684,-10.15660840968807,-9.9,0.20036463874817423,-0.20282599484312405,0.0,-0.3750132142702584,-1.2144995751877745,-0.28543016517737396,0.26784783352458796,-0.6649701173623224,linear4,0.06748319477641374,0,0,1,1,1,0,1
gpt-oss-120b,sentinel1,treatment_0016,VV,0.6364443722375406,-10.027520946726684,-10.15660840968807,-10.27,-0.38099017581196437,-0.20282599484312405,0.0,-0.3750132142702584,-1.2144995751877745,-0.28543016517737396,0.26784783352458796,-0.6649701173623224,last3_mean,0.005976961541705961,1,0,1,1,1,0,1
gpt-oss-120b (default effort),sentinel1,treatment_0016,VV,0.6364443722375406,-10.027520946726684,-10.15660840968807,-10.0,0.04324171589408295,-0.20282599484312405,0.0,-0.3750132142702584,-1.2144995751877745,-0.28543016517737396,0.26784783352458796,-0.6649701173623224,persistence,0.04324171589408295,0,0,1,1,1,0,1
ensemble,sentinel1,treatment_0016,VV,0.6364443722375406,-10.027520946726684,-10.15660840968807,-10.085,-0.09031276853189646,-0.20282599484312405,0.0,-0.3750132142702584,-1.2144995751877745,-0.28543016517737396,0.26784783352458796,-0.6649701173623224,persistence,0.09031276853189646,1,0,1,1,1,0,1
Kimi-K3-thinking-low,sentinel1,treatment_0016,VH,1.258669493710778,-16.005823553642706,-16.376549793591558,-15.8,0.16352470181501075,-0.294538194340347,0.0,-0.25293505739019323,-1.0376748462151912,-0.25015458418116254,0.39258244349320565,-0.707627267736199,persistence,0.16352470181501075,0,0,1,1,1,0,1
gpt-oss-120b,sentinel1,treatment_0016,VH,1.258669493710778,-16.005823553642706,-16.376549793591558,-16.32,-0.24960996347901215,-0.294538194340347,0.0,-0.25293505739019323,-1.0376748462151912,-0.25015458418116254,0.39258244349320565,-0.707627267736199,linear9,0.000544620702150389,1,0,1,1,1,0,1
gpt-oss-120b (default effort),sentinel1,treatment_0016,VH,1.258669493710778,-16.005823553642706,-16.376549793591558,-16.1,-0.07482222047000321,-0.294538194340347,0.0,-0.25293505739019323,-1.0376748462151912,-0.25015458418116254,0.39258244349320565,-0.707627267736199,persistence,0.07482222047000321,1,0,1,1,1,0,1
ensemble,sentinel1,treatment_0016,VH,1.258669493710778,-16.005823553642706,-16.376549793591558,-16.060000000000002,-0.043042630832002104,-0.294538194340347,0.0,-0.25293505739019323,-1.0376748462151912,-0.25015458418116254,0.39258244349320565,-0.707627267736199,persistence,0.043042630832002104,1,0,1,1,1,0,1
Kimi-K3-thinking-low,sentinel1,treatment_0016,VV-VH,0.6575470257337523,5.996461298085736,6.219941382463183,5.9,-0.14669870642041885,0.3398693563065967,0.0,0.10898002517358679,0.7950279947240381,0.20681962094614348,-0.5264622796464823,0.1164854121755367,persistence,0.14669870642041885,0,0,1,1,1,0,1
gpt-oss-120b,sentinel1,treatment_0016,VV-VH,0.6575470257337523,5.996461298085736,6.219941382463183,6.07,0.11183793559434513,0.3398693563065967,0.0,0.10898002517358679,0.7950279947240381,0.20681962094614348,-0.5264622796464823,0.1164854121755367,last3_mean,0.002857910420758336,1,0,1,1,1,0,1
gpt-oss-120b (default effort),sentinel1,treatment_0016,VV-VH,0.6575470257337523,5.996461298085736,6.219941382463183,6.1,0.15746204889106724,0.3398693563065967,0.0,0.10898002517358679,0.7950279947240381,0.20681962094614348,-0.5264622796464823,0.1164854121755367,holt_damped,0.040976636715530534,1,0,1,1,1,0,1
ensemble,sentinel1,treatment_0016,VV-VH,0.6575470257337523,5.996461298085736,6.219941382463183,5.985,-0.017430385413036865,0.3398693563065967,0.0,0.10898002517358679,0.7950279947240381,0.20681962094614348,-0.5264622796464823,0.1164854121755367,persistence,0.017430385413036865,0,0,1,1,1,0,1
Kimi-K3-thinking-low,sentinel1,treatment_0017,VV,0.48718339169507496,-7.091177973644354,-7.41302186777581,-7.2,-0.22336973757873413,-0.6606216460123017,0.0,-0.24243931394365742,-0.6631847631160529,-0.08314721999208148,-0.1940552713521418,-0.6276151228710388,last3_mean,0.01906957636492329,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0017,VV,0.48718339169507496,-7.091177973644354,-7.41302186777581,-7.15,-0.12073898116884708,-0.6606216460123017,0.0,-0.24243931394365742,-0.6631847631160529,-0.08314721999208148,-0.1940552713521418,-0.6276151228710388,linear9,0.0375917611767656,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0017,VV,0.48718339169507496,-7.091177973644354,-7.41302186777581,-7.1,-0.01810822475895822,-0.6606216460123017,0.0,-0.24243931394365742,-0.6631847631160529,-0.08314721999208148,-0.1940552713521418,-0.6276151228710388,persistence,0.01810822475895822,1,0,1,1,1,1,1
