site_id,band,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10_truth,pred_persistence,pred_linear9,pred_holt_damped,pred_own_mean,pred_Kimi-K3-thinking-low,pred_gpt-oss-120b,pred_gpt-oss-120b (default effort)
treatment_0004,B2,0.0371112129473966,0.0350279901765452,0.0364464852341916,0.0477562377351511,0.0530375644749048,0.0550410248586299,0.0516560372278655,0.0451890451149579,0.085941739209208,0.054226574337866,0.085941739209208,0.07164880085653705,0.07410316264194755,0.04968970410876118,0.1,0.09,0.08
treatment_0004,B3,0.055535183252195,0.0522977624741834,0.0533163664049911,0.0694521585332764,0.0745107773492241,0.0880780050453573,0.0836348730605635,0.0734253595733631,0.1054605139909577,0.0738733416873187,0.1054605139909577,0.10138569224899704,0.09823307240896875,0.07285677774267907,0.12,0.11,0.1
treatment_0004,B4,0.067922118926181,0.0667834357702459,0.0707290100079896,0.0848670446488194,0.0782007426763008,0.0692006832569616,0.0523727407557574,0.051585351635749,0.0936449492944588,0.0566051684098668,0.0936449492944588,0.0709994115391597,0.06732092712410939,0.07058956410805149,0.115,0.1,0.09
treatment_0004,B8,0.2159466882809849,0.1904162475754424,0.1951923168310434,0.2256736535210125,0.2707425792013654,0.3741820943082618,0.4672500580733089,0.3842435099785001,0.3956411941213682,0.3597299604597363,0.3956411941213682,0.46821679358590595,0.3997836074393648,0.30214314909903195,0.33,0.4,0.39
treatment_0004,B11,0.24320699014286,0.2090393664385422,0.2006929605033728,0.2581054947399857,0.2562738416631623,0.2387455248655659,0.2354824212213288,0.19984102368457,0.293152319473926,0.2250963613494198,0.293152319473926,0.2557048748001326,0.2587597067603166,0.23717110474814598,0.33,0.3,0.3
treatment_0004,B12,0.146902796996407,0.1356014653354293,0.130521079348308,0.1703622030415157,0.1659295990723784,0.1364704602720713,0.1191371822637193,0.102164767080098,0.1620054335288561,0.1176492228049157,0.1620054335288561,0.13296396363974095,0.1304396896507219,0.14101055410430924,0.195,0.17,0.16
treatment_0004,NDVI,0.5231866165911686,0.4748941662318838,0.4704925505513277,0.4460548359632381,0.5318504734404643,0.6895380344780365,0.7919605586109468,0.7611476581726976,0.6210405308659448,0.7247499113694055,0.6210405308659448,0.7680679928413774,0.5089548290205426,0.5900183805450786,0.483,0.6,0.56
treatment_0004,NDWI,-0.6006148184271585,-0.5732420453319492,-0.5826559700464166,-0.5302829035744302,-0.5568827211473247,-0.6184517297724096,-0.6895638107417714,-0.676023913607593,-0.5816066334115407,-0.6510062426074159,-0.5816066334115407,-0.6455608417028282,-0.5779327219976422,-0.6010360606733993,-0.467,-0.57,-0.58
treatment_0005,B2,0.0323036271760718,0.0289777865458397,0.0298314038357115,0.04013329089163,0.0492157044498847,0.054232393998374,0.0589690403741779,0.0669736398580994,0.0621669416585872,0.0447014411019394,0.0621669416585872,0.07246280270291827,0.0591911519670553,0.04697820319870846,0.057,0.06,0.057
treatment_0005,B3,0.0449970003555988,0.0398015979341784,0.0399970150491498,0.0542592982343512,0.0629316097648178,0.0806255956196735,0.0839552396901832,0.085783384038825,0.0789035953127529,0.0584607882531641,0.0789035953127529,0.0957939110674433,0.0746167629722709,0.06347270399994785,0.073,0.082,0.072
treatment_0005,B4,0.0586801981694945,0.0526344673145005,0.0534939026732025,0.0684830998224373,0.0731734732484925,0.0720874228899183,0.0502814080353732,0.0599519802558151,0.0643302662353596,0.0426815901446089,0.0643302662353596,0.06493503636711262,0.0635188219759028,0.06145735762717705,0.069,0.062,0.068
treatment_0005,B8,0.1719263356499269,0.1433744927662463,0.1468579208540596,0.1691632780736976,0.1977028772037714,0.2852547298337172,0.4874173282760073,0.4331623960902452,0.3918352356499613,0.3236527351087161,0.3918352356499613,0.48181686409218566,0.3969320656011734,0.2696327327108481,0.352,0.35,0.351
treatment_0005,B11,0.2113691647927348,0.1768225370952398,0.1675885796354116,0.2182605677043184,0.2373854865391877,0.2298417211838089,0.2182849791669656,0.2080176647048804,0.2362995804632427,0.1819226300847284,0.2362995804632427,0.2370645588695504,0.25892511306993254,0.21154114236508775,0.248,0.225,0.264
treatment_0005,B12,0.1299366482948277,0.1180007646835185,0.1124454856403854,0.1475552592699334,0.1603063130998667,0.1398925498374804,0.1051907260102306,0.1011248309705353,0.1208265191709398,0.0869576856515861,0.1208265191709398,0.11703874302580777,0.11922451199095745,0.1261421218864131,0.134,0.115,0.141
treatment_0005,NDVI,0.5034387567812966,0.477472702903536,0.4858219272435791,0.4348763823045883,0.4607675059763069,0.5921622609390782,0.8153686288553676,0.761054960224745,0.7240229755703628,0.7740715961626156,0.7240229755703628,0.7963425886147032,0.7292646878154446,0.5838873445332067,0.672,0.68,0.687
