sensor,site_id,role,target_site,control_rank,seq,period_id,month,usable,mean_VV,mean_VH,mean_VV_minus_VH,mean_B2,mean_B3,mean_B4,mean_B8,mean_B11,mean_B12,mean_NDVI,mean_NDWI
sentinel1,treatment_0015,target,treatment_0015,0,1,P01,2023-11,True,-10.062315358997571,-15.505245307129208,5.442929954254391,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,2,P02,2023-12,True,-10.099559935626417,-15.57530285920247,5.510472576839038,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,3,P03,2024-01,True,-11.269729204390309,-17.99659079995486,6.726861600679631,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,4,P04,2024-02,True,-9.980391894047804,-15.878641833786917,5.898249936940351,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,5,P05,2024-03,True,-10.294469901264304,-16.20651094266684,5.912041044583058,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,6,P06,2024-04,True,-10.039184767232083,-15.852285650272181,5.82697277627286,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,7,P07,2024-05,True,-10.278019054195669,-16.35749457444295,6.089955980608627,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,8,P08,2024-06,True,-10.51135795524805,-16.739975730027304,6.2286177711587145,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,9,P09,2024-07,True,-9.79810002419028,-15.915965432459766,6.1284289525519355,,,,,,,,
sentinel1,treatment_0015,target,treatment_0015,0,10,P10,2024-08,True,-10.449886326695433,-16.726890455094896,6.277004124240415,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,1,P01,2023-11,True,-8.984768901910984,-14.355996016719367,5.3712271172295845,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,2,P02,2023-12,True,-9.154073468077248,-14.498612215397182,5.355846558633249,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,3,P03,2024-01,True,-10.227426050048448,-16.738539603747242,6.511113567044251,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,4,P04,2024-02,True,-9.283065612193896,-14.701681087302433,5.418615475891501,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,5,P05,2024-03,True,-9.306749380805798,-14.730086240075684,5.42333686197044,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,6,P06,2024-04,True,-9.06225656409139,-14.365432053941708,5.29301927978121,,,,,,,,
sentinel1,counterfactual_0015_01,donor,treatment_0015,1,7,P07,2024-05,True,-9.14638907887073,-15.017076872246088,5.873024055952294,,,,,,,,
