site_id,period_id,month,sensor,band,her_mean_value
treatment_0015,P01,2023-11,sentinel1,VH,-15.505245
treatment_0015,P02,2023-12,sentinel1,VH,-15.575303
treatment_0015,P03,2024-01,sentinel1,VH,-17.996591
treatment_0015,P04,2024-02,sentinel1,VH,-15.878642
treatment_0015,P05,2024-03,sentinel1,VH,-16.206511
treatment_0015,P06,2024-04,sentinel1,VH,-15.852286
treatment_0015,P07,2024-05,sentinel1,VH,-16.357495
treatment_0015,P08,2024-06,sentinel1,VH,-16.739976
treatment_0015,P09,2024-07,sentinel1,VH,-15.915965
treatment_0015,P10,2024-08,sentinel1,VH,-16.72689
treatment_0015,P11,2024-09,sentinel1,VH,-16.791301
treatment_0015,P12,2024-10,sentinel1,VH,-16.646823
treatment_0015,P13,2024-11,sentinel1,VH,-16.555091
treatment_0015,P14,2024-12,sentinel1,VH,-17.439774
treatment_0015,P15,2025-01,sentinel1,VH,-17.617054
treatment_0015,P16,2025-02,sentinel1,VH,-16.870674
treatment_0015,P17,2025-03,sentinel1,VH,-16.852241
treatment_0015,P18,2025-04,sentinel1,VH,-16.381087
treatment_0015,P19,2025-05,sentinel1,VH,-16.057456
treatment_0015,P20,2025-06,sentinel1,VH,-15.613606
