sensor,site_id,her_joint_validation_nmse
sentinel1,treatment_0015,1.181648
sentinel1,treatment_0016,0.081134
sentinel1,treatment_0017,0.293407
sentinel1,treatment_0018,0.265302
sentinel1,treatment_0019,0.484228
sentinel1,treatment_0020,0.165044
sentinel1,treatment_0021,0.481969
sentinel1,treatment_0022,0.439966
sentinel1,treatment_0023,1.18381
sentinel1,treatment_0024,0.397027
sentinel1,treatment_0025,0.520977
sentinel1,treatment_0027,0.415021
sentinel2,treatment_0001,0.152678
sentinel2,treatment_0002,1.675042
sentinel2,treatment_0003,1.164284
sentinel2,treatment_0004,3.231631
sentinel2,treatment_0005,2.16691
sentinel2,treatment_0006,0.614039
sentinel2,treatment_0007,0.184321
sentinel2,treatment_0008,0.239621
sentinel2,treatment_0009,0.206649
sentinel2,treatment_0010,0.898727
sentinel2,treatment_0011,0.108341
sentinel2,treatment_0012,0.916556
sentinel2,treatment_0013,0.154009
sentinel2,treatment_0014,0.036404
sentinel2,treatment_0015,0.051465
