site_id,sensor,donor,matching_block,pseudo_post,weight,joint_latent_mse,joint_outcome_nmse
treatment_0015,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4334,0.4933
treatment_0016,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4354,0.7224
treatment_0017,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4385,0.7958
treatment_0018,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4416,0.9673
treatment_0019,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.443,1.1622
treatment_0020,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4415,0.7728
treatment_0021,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4343,0.4609
treatment_0022,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.436,0.6252
treatment_0023,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4937,1.9815
treatment_0024,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4385,1.1956
treatment_0025,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4426,1.0829
treatment_0027,sentinel1,D5,P05–P06–P07–P08,P09–P10,1.0,0.4462,1.1727
treatment_0001,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.7523,0.777
treatment_0002,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.5008,1.6125
treatment_0003,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.6673,1.8945
treatment_0004,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.6831,1.9958
treatment_0005,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.4948,1.8098
treatment_0006,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.5577,2.247
treatment_0007,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.6003,2.647
treatment_0008,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.7037,2.0231
treatment_0009,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.7584,2.0054
treatment_0010,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.4953,2.1068
treatment_0011,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.796,2.1144
treatment_0012,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.647,2.3582
treatment_0013,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.9039,2.2998
treatment_0014,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.6944,2.0098
treatment_0015,sentinel2,D5,P05–P06–P07–P08,P09–P10,1.0,0.638,1.8468
