method,sensor,site_id,ok,validation_rmse_std,err_VV,err_VH,err_VV-VH,training_rmse_std,validation_to_training_rmse_ratio,validation_flag,largest_donor_weight,effective_number_of_donors,weights,err_B2,err_B3,err_B4,err_B8,err_B11,err_B12,err_NDVI,err_NDWI
scm,sentinel1,treatment_0015,True,0.09717213514856594,0.12591167257074176,0.06432521651246192,0.09130054095708695,0.21718430618150433,0.447417849185464,good,0.566003596678274,2.187233306323744,0.5660 0.0000 0.0000 0.0709 0.3630,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0015,True,0.1572548141575704,-0.00896579585852042,0.0899630840927137,-0.2569309006957837,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0015,True,0.1535397541443618,-0.00896579585852042,0.06804039300599207,-0.2569309006957837,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0015,True,0.16134207768270575,0.16334301666593254,0.18496141213516992,-0.13115690229779553,,,,,,,,,,,,,,
scm,sentinel1,treatment_0016,True,0.3041014901170267,0.34488944696865464,0.12405906571933167,0.37827736709548243,0.48722117903695084,0.6241549078759642,good,0.996220792446574,1.0075869791041763,0.0000 0.0000 0.0000 0.9962 0.0038,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0016,True,0.2870413848364397,0.35676230412502286,0.16328766161187747,0.3053458166525177,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0016,True,1.061137498152117,0.8102065476104223,1.127886069427594,-1.2039421641233337,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0016,False,,,,,,,,,,,,,,,,,,
scm,sentinel1,treatment_0017,True,0.938123181804345,1.3014879617555053,0.8805042361093546,0.41360208935050924,0.7034500247959345,1.333603168293991,good,1.0,1.0,0.0000 1.0000 0.0000 0.0000 0.0000,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0017,True,0.19586488676003755,0.2602571641265019,0.13205907773128878,0.1729617590861039,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0017,True,0.19586488676003755,0.2602571641265019,0.13205907773128878,0.1729617590861039,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0017,True,0.19586488676003755,0.2602571641265019,0.13205907773128878,0.1729617590861039,,,,,,,,,,,,,,
scm,sentinel1,treatment_0018,True,0.5021112639404817,0.2839426224067623,-0.10289559837415421,0.8155588557202478,0.32491765105908543,1.5453492979030987,caution,1.0,1.0,0.0000 0.0000 1.0000 0.0000 0.0000,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0018,True,0.4008752737578189,0.08226424003478783,-0.2018300162686457,0.6592421366051443,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0018,True,0.7403973038909738,0.000644276207416028,-0.5014401277871638,1.1803058442539502,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0018,True,0.6988343473049675,0.009713161077123833,-0.44297961822257487,1.1264027020833853,,,,,,,,,,,,,,
