method,sensor,site_id,ok,nmse_VV,nmse_VH,nmse_VV-VH,nmse10_VV,nmse10_VH,nmse10_VV-VH,joint_nmse,joint_nmse_p10var,selected_blocks,weights,her_stored_joint_nmse,nmse_B2,nmse_B3,nmse_B4,nmse_B8,nmse_B11,nmse_B12,nmse_NDVI,nmse_NDWI,nmse10_B2,nmse10_B3,nmse10_B4,nmse10_B8,nmse10_B11,nmse10_B12,nmse10_NDVI,nmse10_NDWI
own_mean,sentinel1,treatment_0015,True,0.1952384117709718,0.42671632685467575,0.6142661228063906,0.21492258453576477,0.45806613416111325,0.646381251332247,0.412073620477346,0.43978999000970836,,,,,,,,,,,,,,,,,,,
shc,sentinel1,treatment_0015,True,2.2819319563758764,1.1154815378254286,0.14753126682064605,2.511999095620467,1.1974332445306313,0.1552445126266838,1.1816482536739836,1.288225617592594,5,1.0000,1.181648,,,,,,,,,,,,,,,,
DeepSeek-V4-Flash-thinking-low,sentinel1,treatment_0015,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-5.3,sentinel1,treatment_0015,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi-K3-thinking-low,sentinel1,treatment_0015,True,0.33541093519470194,0.25390836821535057,0.12544659331952346,0.3692274712732593,0.2725623964680687,0.13200520581337435,0.23825529890985866,0.2579316911849008,,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel1,treatment_0015,True,0.483064987114583,0.5451289830645201,0.4414400937800322,0.531768183256848,0.5851782792847865,0.4645195129793882,0.4898780213197118,0.5271553251736742,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (default effort),sentinel1,treatment_0015,True,0.5845489188685228,0.2041200583315434,0.00032786818172591664,0.6434838477286219,0.21911626094521086,0.0003450098218143534,0.26299894846059735,0.2876483728318824,,,,,,,,,,,,,,,,,,,
persistence,sentinel1,treatment_0015,True,2.2819319563758764,1.1154815378254286,0.14753126682064605,2.511999095620467,1.1974332445306313,0.1552445126266838,1.1816482536739836,1.288225617592594,,,,,,,,,,,,,,,,,,,
last3_mean,sentinel1,treatment_0015,True,0.3467105342603622,0.25678848485769873,0.10950486106803764,0.38166630958064346,0.27565410825237735,0.11523000617507868,0.23766796006203283,0.2575168080026998,,,,,,,,,,,,,,,,,,,
linear9,sentinel1,treatment_0015,True,0.6069857900244461,0.20644426018543874,0.00034859554236357727,0.6681828313660414,0.22161121623804292,0.0003668208525848207,0.2712595485840828,0.29672028948555634,,,,,,,,,,,,,,,,,,,
