method,sensor,feature,mean_validation_rmse,median_validation_rmse,min_validation_rmse,max_validation_rmse,sd_validation_rmse,number_of_target_sites
Kimi-K3-thinking-low,sentinel1,VH,0.14744676213520808,0.13221343238936384,0.06893588536918357,0.24393765475479245,0.0571884449207662,9
Kimi-K3-thinking-low,sentinel1,VV,0.15909287957585505,0.18356229295241067,0.00896579585852042,0.35676230412502286,0.11051038275386248,9
Kimi-K3-thinking-low,sentinel1,VV-VH,0.29650641085931356,0.2569309006957837,0.038598368348917056,0.6592421366051443,0.2094969455458766,9
Kimi-K3-thinking-low,sentinel2,B11,0.35603860544855104,0.22403077195989288,0.04832019605107135,1.253601349701941,0.3755983054456227,10
Kimi-K3-thinking-low,sentinel2,B12,0.3015321100648208,0.25830892447743803,0.0006245853654940348,0.8487307713963701,0.23870336780004717,10
Kimi-K3-thinking-low,sentinel2,B2,0.41541968619577324,0.2206373751745336,0.013425834897329361,1.487589487663163,0.48348991666334573,10
Kimi-K3-thinking-low,sentinel2,B3,0.37500830135730656,0.2378653882612746,0.011395459266112906,1.0531222013900328,0.3799123765460695,10
Kimi-K3-thinking-low,sentinel2,B4,0.3285995034060169,0.25924178220828986,0.07996613847436551,0.8108619524501484,0.25096901842527397,10
Kimi-K3-thinking-low,sentinel2,B8,0.174776063120957,0.13695321415705258,0.006286359145871723,0.5216735028892493,0.14631657292511702,10
Kimi-K3-thinking-low,sentinel2,NDVI,0.1321945845134111,0.11229549318609838,0.03563382043002972,0.3020378982221422,0.09302000336352372,10
Kimi-K3-thinking-low,sentinel2,NDWI,0.18875219246497338,0.13008576267923344,0.025841613943189512,0.5416372422600695,0.17675051865527394,10
gpt-oss-120b,sentinel1,VH,0.2480407813066502,0.15768052511945024,0.01004715202465778,1.127886069427594,0.3087178906188949,12
gpt-oss-120b,sentinel1,VV,0.21666297360948517,0.17688203594030022,0.000644276207416028,0.8102065476104223,0.2109465898791175,12
gpt-oss-120b,sentinel1,VV-VH,0.4720050114694439,0.3535666843403682,0.020630654292060457,1.2039421641233337,0.3994619320622069,12
gpt-oss-120b,sentinel2,B11,0.5059401643347318,0.3397652622197224,0.014591507439255302,1.3607579915098214,0.4478343075366888,15
gpt-oss-120b,sentinel2,B12,0.49688279161324206,0.46324144370238873,0.014931835099947444,1.143002484510811,0.3688728478859,15
gpt-oss-120b,sentinel2,B2,0.7442954720129494,0.6429862298058844,0.04277199486890543,1.7375348339232766,0.5320635002103954,15
gpt-oss-120b,sentinel2,B3,0.6057167662183425,0.687628446524684,0.022964898840769632,1.302744172965148,0.38258175341312567,15
gpt-oss-120b,sentinel2,B4,0.6288278094870392,0.6119584121198333,0.00026581960930571746,1.6579770676879042,0.4728736635770418,15
gpt-oss-120b,sentinel2,B8,0.252212909576308,0.1909874273444443,0.05213043251280092,0.5625220279804689,0.1802432501665713,15
gpt-oss-120b,sentinel2,NDVI,0.2700273702804225,0.17305970084848044,0.035105965368729564,0.7727544405724611,0.2518717763675793,15
gpt-oss-120b,sentinel2,NDWI,0.4880424590629552,0.36652247518626857,0.04510349063372976,1.7112384370886558,0.4193775739617699,15
gpt-oss-120b (default effort),sentinel1,VH,0.20587546978144433,0.18496141213516992,0.0315052167600694,0.5039697603425713,0.1442317072130355,11
gpt-oss-120b (default effort),sentinel1,VV,0.17676748288734245,0.1927661893567152,0.009713161077123833,0.27617486922667533,0.08348304697797349,11
gpt-oss-120b (default effort),sentinel1,VV-VH,0.3881624602997928,0.35402739631524727,0.0014035494401025972,1.1264027020833853,0.36778972675202765,11
gpt-oss-120b (default effort),sentinel2,B11,0.5115247937460189,0.5115247937460189,0.23555125104414643,0.7874983364478914,0.3902855269451385,2
gpt-oss-120b (default effort),sentinel2,B12,0.42021239820123507,0.42021239820123507,0.21809925541938724,0.6223255409830829,0.28583114765593903,2
gpt-oss-120b (default effort),sentinel2,B2,0.5337741273499685,0.5337741273499685,0.10888817027349573,0.9586600844264412,0.6008794829594205,2
gpt-oss-120b (default effort),sentinel2,B3,0.45789281507073737,0.45789281507073737,0.23819252428942186,0.6775931058520529,0.3107031308802491,2
gpt-oss-120b (default effort),sentinel2,B4,0.37944006503706273,0.37944006503706273,0.28838553259686567,0.47049459747725975,0.1287705546924676,2
gpt-oss-120b (default effort),sentinel2,B8,0.28560498398670753,0.28560498398670753,0.2839397104813529,0.28727025749206214,0.0023550523763330804,2
gpt-oss-120b (default effort),sentinel2,NDVI,0.12828621540685703,0.12828621540685703,0.09527728940312108,0.16129514141059298,0.04668167083385331,2
gpt-oss-120b (default effort),sentinel2,NDWI,0.1641888567140003,0.1641888567140003,0.07821093737838569,0.2501667760496149,0.12159113958904615,2
scm,sentinel1,VH,0.23374519750040376,0.1279868401439229,0.021068777140599626,0.8805042361093546,0.262085952397527,12
scm,sentinel1,VV,0.38408829827632857,0.25728034692610174,0.03106866562705221,1.3014879617555053,0.3526164672949396,12
scm,sentinel1,VV-VH,0.33954386232723377,0.3638380803165139,0.013784415983418175,0.8155588557202478,0.2663378703397873,12
scm,sentinel2,B11,0.3358847397464398,0.27527041859179047,0.034812241936766464,0.9756557474793639,0.23738662913757944,15
scm,sentinel2,B12,0.3185730844231329,0.2677100420439724,0.004995007827225395,0.7114600473744512,0.2406024477512362,15
scm,sentinel2,B2,0.40370808042264844,0.39275751970552697,0.016473073145778838,1.068031128912335,0.2903580163866525,15
scm,sentinel2,B3,0.3500245262992191,0.3418275280335499,0.018997509330562323,0.8209639843476331,0.2411564463667521,15
scm,sentinel2,B4,0.3435866258584387,0.2609768725541187,0.016365504426722466,1.059612450701259,0.2823929272902582,15
scm,sentinel2,B8,0.18464127489464655,0.14642194479284387,0.0018243475631982697,0.43091312547984406,0.14085212660595572,15
scm,sentinel2,NDVI,0.188506714630943,0.14761497886350117,0.002674028975262255,0.4940536766280388,0.14307323633359192,15
scm,sentinel2,NDWI,0.29691251487463444,0.30215958537761667,0.01308399406421401,0.7400949420831621,0.23615745450533787,15
