method,sensor,n,mean_joint_nmse,median_joint_nmse,mean_joint_nmse_p10var,median_joint_nmse_p10var
Kimi-K3-thinking-low,sentinel1,12,0.3528275866959522,0.267448157800459,0.3801345575981358,0.2926240362719301
Kimi-K3-thinking-low,sentinel2,15,1.345114416204443,0.40232673167453936,1.3085975788952209,0.39627246374033015
Kimi-K3-thinking-low [anon],sentinel1,12,0.36137924685848494,0.3218610396877579,0.38942950200825716,0.3484817852462505
Kimi-K3-thinking-low [anon],sentinel2,14,0.7622264713210711,0.24620944770342873,0.6974235531687726,0.2632871031291922
Kimi-K3-thinking-low [nocal],sentinel1,12,0.3340928623144593,0.27124674788528896,0.35946564130123254,0.29527820565892093
Kimi-K3-thinking-low [nocal],sentinel2,15,1.2325388773397752,0.718953099806204,1.1892198297807992,0.6784718872918157
Kimi-K3-thinking-low [noguide],sentinel1,12,0.3955872531924897,0.31788705422159524,0.4257555418466216,0.3460542382781869
Kimi-K3-thinking-low [noguide],sentinel2,15,1.1064265436090572,0.3696801199480979,1.043731190769552,0.3827827507804787
Kimi-K3-thinking-low [rule],sentinel1,12,0.36112117695181883,0.24955288378859175,0.3880143488319336,0.26568225502519305
Kimi-K3-thinking-low [rule],sentinel2,15,1.265337101032459,0.3362417612116345,1.221025696635258,0.3731240544935652
ensemble,sentinel1,12,0.3738957962688261,0.3382420530101683,0.40213642953673023,0.3721706334928855
ensemble,sentinel2,15,1.0284892937266243,0.33938251278553344,1.0021910169684942,0.34317524751355427
gpt-oss-120b,sentinel1,12,0.4254950104465471,0.3094025340955477,0.45700155079104693,0.3361230292815839
gpt-oss-120b,sentinel2,15,0.7964346823152771,0.35014418238625866,0.7805740180679528,0.3643648685672068
gpt-oss-120b (default effort),sentinel1,12,0.406535333607623,0.31145679017784117,0.4381227946491202,0.3282688551801751
gpt-oss-120b (default effort),sentinel2,15,0.944525915605293,0.2696643150880277,0.88769940980864,0.2838492917090999
gpt-oss-120b [anon],sentinel1,12,0.5393282219921703,0.3120050683000392,0.5850982357190643,0.33527625437957914
gpt-oss-120b [anon],sentinel2,15,0.7549785205137619,0.29394107720820706,0.6958068053038604,0.29831130479879875
gpt-oss-120b [nocal],sentinel1,12,0.5764172909118559,0.44610719519926545,0.5935987624301428,0.4787063804097724
gpt-oss-120b [nocal],sentinel2,15,0.96718282713789,0.3270744831348932,0.9509304746723803,0.33374174932556677
gpt-oss-120b [noguide],sentinel1,12,0.3306287255092793,0.2383599460486267,0.3525492904159018,0.2593479106702449
gpt-oss-120b [noguide],sentinel2,15,0.8378972931564997,0.35039773756458975,0.8098726958358307,0.3646135137672085
gpt-oss-120b [rule],sentinel1,12,0.3655890154868286,0.289142440941556,0.3933515817148621,0.31488980881295386
gpt-oss-120b [rule],sentinel2,15,0.8900444800497925,0.35014418238625866,0.8644194932616319,0.3643648685672068
holt_damped,sentinel1,12,0.27935589781417364,0.19228508927625587,0.29822531110350897,0.1986195349886536
holt_damped,sentinel2,15,0.685906985743287,0.40753050552704473,0.649862884276799,0.41296581933556575
last3_mean,sentinel1,12,0.2650821392277257,0.19588116988827914,0.28312476530298736,0.2098983790809772
last3_mean,sentinel2,15,0.5414967212515748,0.34967099704560856,0.502718185027279,0.36425067349334445
linear4,sentinel1,12,0.5596452796289978,0.4492942673929964,0.5900973157668573,0.4817570563979501
linear4,sentinel2,15,1.1945338392939615,1.3205242824181962,1.2102465073646216,1.36663641572403
linear9,sentinel1,12,0.362303466085609,0.22987298121201497,0.3892762349322058,0.2506360452122387
linear9,sentinel2,15,1.141334211568244,0.9274694594853099,1.1215191928987787,1.0092642501185243
own_mean,sentinel1,12,0.6762373402271874,0.6527309371270968,0.6692030016005144,0.6639124082954678
own_mean,sentinel2,15,1.1164798235001756,1.0690742825537627,0.988456561118402,1.0123224585466586
persistence,sentinel1,12,0.49246107360199237,0.42749348278313193,0.5332902814559888,0.4680358606763861
persistence,sentinel2,15,0.7888485753784443,0.23962106872228037,0.7581660061747933,0.2321215823296633
shc,sentinel1,12,0.49246107360199237,0.42749348278313193,0.5332902814559888,0.4680358606763861
shc,sentinel2,15,0.7867117361361733,0.23962106872228037,0.7558398364762305,0.2321215823296633
