treated,donor,same_position_agreement,class_matchable,treated_top,donor_top
treatment_0001,counterfactual_0001_01,0.35714285714285715,141,"pasture 83, deciduous 75, mixed 15","deciduous 105, pasture 47, dev-med 9"
treatment_0001,counterfactual_0001_02,0.40816326530612246,104,"pasture 83, deciduous 75, mixed 15","pasture 173, deciduous 20, shrub 2"
treatment_0001,counterfactual_0001_03,0.3979591836734694,101,"pasture 83, deciduous 75, mixed 15","pasture 177, deciduous 12, dev-open 5"
treatment_0001,counterfactual_0001_04,0.2653061224489796,142,"pasture 83, deciduous 75, mixed 15","pasture 105, deciduous 49, grass 27"
treatment_0001,counterfactual_0001_05,0.41836734693877553,133,"pasture 83, deciduous 75, mixed 15","pasture 139, deciduous 36, dev-open 13"
treatment_0002,counterfactual_0002_01,0.37244897959183676,110,"deciduous 136, pasture 30, mixed 20","pasture 99, deciduous 70, dev-open 13"
treatment_0002,counterfactual_0002_02,0.37244897959183676,94,"deciduous 136, pasture 30, mixed 20","pasture 127, deciduous 57, dev-open 12"
treatment_0002,counterfactual_0002_03,0.16326530612244897,103,"deciduous 136, pasture 30, mixed 20","pasture 77, mixed 59, deciduous 45"
treatment_0002,counterfactual_0002_04,0.20918367346938777,83,"deciduous 136, pasture 30, mixed 20","pasture 130, mixed 26, deciduous 25"
treatment_0002,counterfactual_0002_05,0.3112244897959184,125,"deciduous 136, pasture 30, mixed 20","deciduous 68, pasture 66, mixed 37"
treatment_0003,counterfactual_0003_01,0.49489795918367346,176,"deciduous 122, mixed 73, evergreen 1","deciduous 113, mixed 62, pasture 14"
treatment_0003,counterfactual_0003_02,0.4642857142857143,182,"deciduous 122, mixed 73, evergreen 1","deciduous 109, mixed 87"
treatment_0003,counterfactual_0003_03,0.5357142857142857,174,"deciduous 122, mixed 73, evergreen 1","deciduous 118, mixed 55, nodata 14"
treatment_0003,counterfactual_0003_04,0.5255102040816326,176,"deciduous 122, mixed 73, evergreen 1","deciduous 142, mixed 54"
treatment_0003,counterfactual_0003_05,0.6224489795918368,122,"deciduous 122, mixed 73, evergreen 1","deciduous 195, pasture 1"
treatment_0004,counterfactual_0004_01,0.22959183673469388,59,"pasture 99, deciduous 48, dev-low 21","deciduous 156, mixed 34, dev-open 5"
treatment_0004,counterfactual_0004_02,0.27040816326530615,150,"pasture 99, deciduous 48, dev-low 21","pasture 93, deciduous 90, mixed 10"
treatment_0004,counterfactual_0004_03,0.1836734693877551,54,"pasture 99, deciduous 48, dev-low 21","deciduous 177, mixed 19"
treatment_0004,counterfactual_0004_04,0.2857142857142857,134,"pasture 99, deciduous 48, dev-low 21","deciduous 69, pasture 50, dev-open 25"
treatment_0004,counterfactual_0004_05,0.0663265306122449,61,"pasture 99, deciduous 48, dev-low 21","deciduous 97, nodata 84, dev-open 5"
treatment_0005,counterfactual_0005_01,0.15816326530612246,58,"deciduous 123, pasture 27, mixed 12","pasture 94, dev-open 81, dev-low 11"
treatment_0005,counterfactual_0005_02,0.25,121,"deciduous 123, pasture 27, mixed 12","pasture 102, deciduous 82, dev-open 8"
treatment_0005,counterfactual_0005_03,0.32653061224489793,111,"deciduous 123, pasture 27, mixed 12","deciduous 56, pasture 41, dev-open 38"
