site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,n_donors,n_test_dims,w_max,arm,sensor,n_pred_positions
treatment_0001,P09,1.1110870184065975,1.129430711732824,0.7405479122306758,1.111464625307824,True,False,True,5.0,980.0,0.22037671762789077,A_perdim(nb11),sentinel1,
treatment_0002,P09,1.0739865748829387,1.0636768752073724,0.7285589298227204,1.0752799787065501,True,False,True,5.0,980.0,0.22805020820383193,A_perdim(nb11),sentinel1,
treatment_0003,P09,1.0779538492583087,1.0764658572463397,0.7488356084802665,1.078788872726157,True,False,True,5.0,980.0,0.23390399231007655,A_perdim(nb11),sentinel1,
treatment_0004,P09,1.084984090599628,1.1174996750509683,0.6522762410655776,1.0874039084719056,True,False,True,5.0,980.0,0.23294081507095302,A_perdim(nb11),sentinel1,
treatment_0005,P09,1.0518968602146987,1.0691116841441874,0.6694594003706416,1.0531631824350403,True,False,True,5.0,980.0,0.21994637848742077,A_perdim(nb11),sentinel1,
treatment_0006,P09,1.1003790986013455,1.104283211450181,0.7844007357186885,1.1016332841585552,True,False,True,5.0,980.0,0.24771665188302455,A_perdim(nb11),sentinel1,
treatment_0007,P09,1.0910574946929104,1.0841847015291892,0.589883929959075,1.0939789039382728,True,False,True,5.0,980.0,0.23966124112342863,A_perdim(nb11),sentinel1,
treatment_0008,P09,1.0614496748762674,1.0719769082198358,0.6469887267094593,1.0630515154138458,True,False,True,5.0,980.0,0.237205422305966,A_perdim(nb11),sentinel1,
treatment_0009,P09,1.0977062549173027,1.0859646970403283,0.66845976442502,1.1001647349430004,True,False,True,5.0,980.0,0.2258080460099439,A_perdim(nb11),sentinel1,
treatment_0010,P09,1.0918632489813076,1.1314970056271245,0.6599268884028048,1.0968518489244297,True,False,True,5.0,980.0,0.23062209138247367,A_perdim(nb11),sentinel1,
treatment_0001,P10,1.1169012187592395,1.1277929585023072,0.7269207557699362,1.115871432837729,True,False,False,5.0,980.0,0.22313351385580948,A_perdim(nb11),sentinel1,
treatment_0002,P10,1.096524727113541,1.0651806358277727,0.7331579190230583,1.0966359482541956,True,False,True,5.0,980.0,0.22946309589689687,A_perdim(nb11),sentinel1,
treatment_0003,P10,1.0461977823883748,1.0768668380723945,0.753285993593817,1.0474687923136887,True,False,True,5.0,980.0,0.23082308141624214,A_perdim(nb11),sentinel1,
treatment_0004,P10,1.1020882338163742,1.1142178109414642,0.6462562086575866,1.1023401626825595,True,False,True,5.0,980.0,0.231275648294978,A_perdim(nb11),sentinel1,
treatment_0005,P10,1.0748407082145408,1.0678237581099272,0.63521889860006,1.074779745752416,True,False,False,5.0,980.0,0.22168626977047107,A_perdim(nb11),sentinel1,
treatment_0006,P10,1.113318846408361,1.104284052120101,0.7767372266469,1.1163479448235452,True,False,True,5.0,980.0,0.24792274410144166,A_perdim(nb11),sentinel1,
treatment_0007,P10,1.082403193228766,1.0858042151827825,0.5994797237897904,1.0862380965420486,True,False,True,5.0,980.0,0.23824064674233647,A_perdim(nb11),sentinel1,
treatment_0008,P10,1.0663035185063299,1.0712322275362656,0.6687783827794316,1.0690767049970065,True,False,True,5.0,980.0,0.23745060612337757,A_perdim(nb11),sentinel1,
treatment_0009,P10,1.0670714892230535,1.0876486645882812,0.6844538380922334,1.0690561691459723,True,False,True,5.0,980.0,0.23081986609655397,A_perdim(nb11),sentinel1,
treatment_0010,P10,1.1050732702924488,1.1276891494246848,0.6710055631733204,1.1083683338020436,True,False,True,5.0,980.0,0.2318063604985607,A_perdim(nb11),sentinel1,
treatment_0001,P09,1.0829301609210387,0.9414736531640259,1.0143449344806668,1.0911836577250775,True,False,True,5.0,980.0,0.28243282526917496,A_perdim(nb11),sentinel2,
treatment_0002,P09,1.2053632186495258,0.8880965738259994,1.0690688891447713,1.1792199766857974,True,False,False,5.0,980.0,0.3190846888054949,A_perdim(nb11),sentinel2,
treatment_0003,P09,0.89904218911365,0.839973061496041,0.752510328546121,0.8982946973159428,True,False,False,5.0,980.0,0.3730236307722041,A_perdim(nb11),sentinel2,
treatment_0004,P09,1.425443275733933,1.085364285611995,1.2282074153056863,1.408783058890841,True,False,False,5.0,980.0,0.4470763507404514,A_perdim(nb11),sentinel2,
treatment_0005,P09,1.1228150250487199,1.1491995158689565,1.0402817014960961,1.0721415387628992,True,False,False,5.0,980.0,0.3421524858772583,A_perdim(nb11),sentinel2,
treatment_0006,P09,1.2374566486878897,0.9623327658500573,0.893519107215024,1.2236043823626486,True,False,False,5.0,980.0,0.48574031641257526,A_perdim(nb11),sentinel2,
treatment_0007,P09,1.0939711114598,0.7799338101712376,0.9569624282222805,1.0928095644434088,True,False,False,5.0,980.0,0.29020359712147775,A_perdim(nb11),sentinel2,
treatment_0008,P09,1.016806858465133,0.8842864897358713,0.8475702666374225,1.0446469794608964,True,False,True,5.0,980.0,0.35600926367609925,A_perdim(nb11),sentinel2,
treatment_0009,P09,1.1051737134769866,0.8909593218076662,0.8506248839550861,1.0737811361307072,True,False,False,5.0,980.0,0.3341344583884729,A_perdim(nb11),sentinel2,
treatment_0010,P09,0.8799929831229668,1.1163498669746907,1.262177925723428,0.8821145716650317,True,True,True,5.0,980.0,0.3016731644842578,A_perdim(nb11),sentinel2,
treatment_0001,P10,1.3495277779000272,0.9441417057687973,1.058933619658939,1.3687961921727998,True,False,True,5.0,980.0,0.27753831111830224,A_perdim(nb11),sentinel2,
