arm,sensor,treated,donor,n_matched
B,sentinel1,treatment_0001,counterfactual_0001_01,141
B,sentinel1,treatment_0001,counterfactual_0001_02,104
B,sentinel1,treatment_0001,counterfactual_0001_03,101
B,sentinel1,treatment_0001,counterfactual_0001_04,142
B,sentinel1,treatment_0001,counterfactual_0001_05,133
B,sentinel1,treatment_0002,counterfactual_0002_01,110
B,sentinel1,treatment_0002,counterfactual_0002_02,94
B,sentinel1,treatment_0002,counterfactual_0002_03,103
B,sentinel1,treatment_0002,counterfactual_0002_04,83
B,sentinel1,treatment_0002,counterfactual_0002_05,125
B,sentinel1,treatment_0003,counterfactual_0003_01,176
B,sentinel1,treatment_0003,counterfactual_0003_02,182
B,sentinel1,treatment_0003,counterfactual_0003_03,174
B,sentinel1,treatment_0003,counterfactual_0003_04,176
B,sentinel1,treatment_0003,counterfactual_0003_05,122
B,sentinel1,treatment_0004,counterfactual_0004_01,59
B,sentinel1,treatment_0004,counterfactual_0004_02,150
B,sentinel1,treatment_0004,counterfactual_0004_03,54
B,sentinel1,treatment_0004,counterfactual_0004_04,134
B,sentinel1,treatment_0004,counterfactual_0004_05,61
B,sentinel1,treatment_0005,counterfactual_0005_01,58
B,sentinel1,treatment_0005,counterfactual_0005_02,121
B,sentinel1,treatment_0005,counterfactual_0005_03,111
B,sentinel1,treatment_0005,counterfactual_0005_04,136
B,sentinel1,treatment_0005,counterfactual_0005_05,157
B,sentinel1,treatment_0006,counterfactual_0006_01,171
B,sentinel1,treatment_0006,counterfactual_0006_02,155
B,sentinel1,treatment_0006,counterfactual_0006_03,147
B,sentinel1,treatment_0006,counterfactual_0006_04,177
B,sentinel1,treatment_0006,counterfactual_0006_05,157
B,sentinel1,treatment_0007,counterfactual_0007_01,147
B,sentinel1,treatment_0007,counterfactual_0007_02,191
B,sentinel1,treatment_0007,counterfactual_0007_03,174
B,sentinel1,treatment_0007,counterfactual_0007_04,158
B,sentinel1,treatment_0007,counterfactual_0007_05,95
B,sentinel1,treatment_0008,counterfactual_0008_01,150
B,sentinel1,treatment_0008,counterfactual_0008_02,123
B,sentinel1,treatment_0008,counterfactual_0008_03,147
B,sentinel1,treatment_0008,counterfactual_0008_04,91
B,sentinel1,treatment_0008,counterfactual_0008_05,121
B,sentinel1,treatment_0009,counterfactual_0009_01,160
B,sentinel1,treatment_0009,counterfactual_0009_02,181
B,sentinel1,treatment_0009,counterfactual_0009_03,149
B,sentinel1,treatment_0009,counterfactual_0009_04,149
B,sentinel1,treatment_0009,counterfactual_0009_05,150
B,sentinel1,treatment_0010,counterfactual_0010_01,174
B,sentinel1,treatment_0010,counterfactual_0010_02,177
B,sentinel1,treatment_0010,counterfactual_0010_03,130
B,sentinel1,treatment_0010,counterfactual_0010_04,118
B,sentinel1,treatment_0010,counterfactual_0010_05,90
B,sentinel2,treatment_0001,counterfactual_0001_01,141
B,sentinel2,treatment_0001,counterfactual_0001_02,104
B,sentinel2,treatment_0001,counterfactual_0001_03,101
B,sentinel2,treatment_0001,counterfactual_0001_04,142
B,sentinel2,treatment_0001,counterfactual_0001_05,133
B,sentinel2,treatment_0002,counterfactual_0002_01,98
B,sentinel2,treatment_0002,counterfactual_0002_02,82
B,sentinel2,treatment_0002,counterfactual_0002_03,77
B,sentinel2,treatment_0002,counterfactual_0002_04,57
B,sentinel2,treatment_0002,counterfactual_0002_05,99
B,sentinel2,treatment_0003,counterfactual_0003_01,171
B,sentinel2,treatment_0003,counterfactual_0003_02,182
B,sentinel2,treatment_0003,counterfactual_0003_03,167
B,sentinel2,treatment_0003,counterfactual_0003_04,176
B,sentinel2,treatment_0003,counterfactual_0003_05,122
B,sentinel2,treatment_0004,counterfactual_0004_01,59
B,sentinel2,treatment_0004,counterfactual_0004_02,108
B,sentinel2,treatment_0004,counterfactual_0004_03,54
B,sentinel2,treatment_0004,counterfactual_0004_04,133
