sensor,treatment_site_id,period,latent_gap_norm,latent_frac_outside_01,treated_latent_present,donors_present
sentinel1,treatment_0001,P11,1.0629881570444244,0.0,True,True
sentinel1,treatment_0001,P12,,,False,False
sentinel1,treatment_0001,P13,1.0937374918711107,0.0,True,True
sentinel1,treatment_0001,P14,1.0723449109987389,0.0,True,True
sentinel1,treatment_0001,P15,,,False,False
sentinel1,treatment_0001,P16,1.036231091693778,0.0,True,True
sentinel1,treatment_0001,P17,1.0757840055337586,0.0,True,True
sentinel1,treatment_0001,P18,1.0896345286703604,0.0,True,True
sentinel1,treatment_0001,P19,1.0944536472703714,0.0,True,True
sentinel1,treatment_0001,P20,1.0680813446062258,0.0,True,True
sentinel1,treatment_0002,P11,1.0336458779779638,0.0,True,True
sentinel1,treatment_0002,P12,,,False,False
sentinel1,treatment_0002,P13,1.0453729575457062,0.0,True,True
sentinel1,treatment_0002,P14,1.0707219572262072,0.0,True,True
sentinel1,treatment_0002,P15,,,False,False
sentinel1,treatment_0002,P16,1.0575512726658223,0.0,True,True
sentinel1,treatment_0002,P17,1.0685936302015095,0.0,True,True
sentinel1,treatment_0002,P18,1.0386533231187838,0.0,True,True
sentinel1,treatment_0002,P19,1.0741662064869069,0.0,True,True
sentinel1,treatment_0002,P20,1.057799868503788,0.0,True,True
sentinel1,treatment_0003,P11,1.0122067029569501,0.0,True,True
sentinel1,treatment_0003,P12,,,True,False
sentinel1,treatment_0003,P13,1.0452691656477504,0.0,True,True
sentinel1,treatment_0003,P14,0.9918837928947558,0.0,True,True
sentinel1,treatment_0003,P15,,,True,False
sentinel1,treatment_0003,P16,1.0065968641235794,0.0,True,True
sentinel1,treatment_0003,P17,1.0068521498601095,0.0,True,True
sentinel1,treatment_0003,P18,1.0460189400429825,0.0,True,True
sentinel1,treatment_0003,P19,1.0005052916120891,0.0,True,True
sentinel1,treatment_0003,P20,1.0078528957100779,0.0,True,True
sentinel1,treatment_0004,P11,1.0498193611317888,0.0,True,True
sentinel1,treatment_0004,P12,,,True,False
sentinel1,treatment_0004,P13,1.047712234250482,0.0,True,True
sentinel1,treatment_0004,P14,1.0607069482612204,0.0,True,True
sentinel1,treatment_0004,P15,,,True,False
sentinel1,treatment_0004,P16,1.0647906712686965,0.0,True,True
sentinel1,treatment_0004,P17,1.0519127859963324,0.0,True,True
sentinel1,treatment_0004,P18,1.072343947190046,0.0,True,True
sentinel1,treatment_0004,P19,1.0679414254439858,0.0,True,True
sentinel1,treatment_0004,P20,1.072790361497668,0.0,True,True
sentinel1,treatment_0005,P11,1.0363393491801278,0.0,True,True
sentinel1,treatment_0005,P12,,,True,False
sentinel1,treatment_0005,P13,1.072596125749641,0.0,True,True
sentinel1,treatment_0005,P14,1.0473012541260576,0.0,True,True
sentinel1,treatment_0005,P15,,,True,False
sentinel1,treatment_0005,P16,1.0424529810497227,0.0,True,True
sentinel1,treatment_0005,P17,1.0152687111207561,0.0,True,True
sentinel1,treatment_0005,P18,1.037207577894818,0.0,True,True
sentinel1,treatment_0005,P19,1.0307098114764923,0.0,True,True
sentinel1,treatment_0005,P20,1.0075131701208009,0.0,True,True
sentinel1,treatment_0006,P11,1.0804569961431554,0.0,True,True
sentinel1,treatment_0006,P12,,,False,False
sentinel1,treatment_0006,P13,1.062116639612152,0.0,True,True
sentinel1,treatment_0006,P14,1.050376244104189,0.0,True,True
sentinel1,treatment_0006,P15,,,False,False
sentinel1,treatment_0006,P16,1.0574765950601412,0.0,True,True
sentinel1,treatment_0006,P17,1.095898934820914,0.0,True,True
sentinel1,treatment_0006,P18,1.0757626342734794,0.0,True,True
sentinel1,treatment_0006,P19,1.066249010653565,0.0,True,True
sentinel1,treatment_0006,P20,1.0886198981011124,0.0,True,True
sentinel1,treatment_0007,P11,1.052492303154527,0.0,True,True
sentinel1,treatment_0007,P12,,,True,False
sentinel1,treatment_0007,P13,1.0210839257329452,0.0,True,True
sentinel1,treatment_0007,P14,1.0391236128801906,0.0,True,True
sentinel1,treatment_0007,P15,,,True,False
sentinel1,treatment_0007,P16,,,True,False
sentinel1,treatment_0007,P17,1.0530497104385717,0.0,True,True
sentinel1,treatment_0007,P18,1.0654334408079635,0.0,True,True
sentinel1,treatment_0007,P19,1.0677587884587367,0.0,True,True
sentinel1,treatment_0007,P20,1.0197069094862945,0.0,True,True
sentinel1,treatment_0008,P11,1.0419585744737938,0.0,True,True
sentinel1,treatment_0008,P12,,,True,False
sentinel1,treatment_0008,P13,1.1029318212837724,0.0,True,True
sentinel1,treatment_0008,P14,1.0530845210989521,0.0,True,True
sentinel1,treatment_0008,P15,,,True,False
sentinel1,treatment_0008,P16,,,True,False
sentinel1,treatment_0008,P17,1.0838112225085141,0.0,True,True
sentinel1,treatment_0008,P18,1.1370584865716036,0.0,True,True
sentinel1,treatment_0008,P19,1.0903685017388467,0.0,True,True
sentinel1,treatment_0008,P20,1.0548921040944563,0.0,True,True
sentinel1,treatment_0009,P11,1.0304668809551183,0.0,True,True
sentinel1,treatment_0009,P12,,,True,False
sentinel1,treatment_0009,P13,1.0768353103016268,0.0,True,True
sentinel1,treatment_0009,P14,1.0405619790028848,0.0,True,True
sentinel1,treatment_0009,P15,,,True,False
sentinel1,treatment_0009,P16,1.057261610772121,0.0,True,True
sentinel1,treatment_0009,P17,1.0476033380771035,0.0,True,True
sentinel1,treatment_0009,P18,1.0695226100434823,0.0,True,True
