arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_03,0.23710692434104105,0.0001,True,9.845058033124332e-10,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_04,0.18283425061407277,0.0001,True,9.845058033124332e-10,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0010_03,0.17790582965658813,0.0001,True,9.845058033124332e-10,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_02,0.1977020602309985,0.0001,True,9.845058033124332e-10,0,-0.0,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_01,0.20445093515729962,0.0001,True,9.845058033124332e-10,0,-0.0,8
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_03,0.2370677644856116,0.0001,True,5.985471403005257e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_04,0.181304375647684,0.0001,True,5.985471403005257e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0010_03,0.18008420941122744,0.0001,True,5.985471403005257e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_02,0.19567357276671624,0.0001,True,5.985471403005257e-09,0,-0.0,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_01,0.20587007768876092,0.0001,True,5.985471403005257e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-08,counterfactual_0002_01,0.20434926682683557,0.00012589254117941674,False,1.6818814653040237e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0006_03,0.19180661439764274,0.00012589254117941674,False,1.6818814653040237e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0001_05,0.20263598410084557,0.00012589254117941674,False,1.6818814653040237e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0007_01,0.20425378451366358,0.00012589254117941674,False,1.6818814653040237e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0010_04,0.19695435016101243,0.00012589254117941674,False,1.6818814653040237e-07,0,-0.0,8
main,sentinel1,treatment_0002,P01-09,counterfactual_0002_01,0.20713332251909697,10000.0,True,1.940162385235324e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0006_03,0.19018604778230888,10000.0,True,1.940162385235324e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0001_05,0.197201877328708,10000.0,True,1.940162385235324e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0007_01,0.2073520016495895,10000.0,True,1.940162385235324e-09,0,-0.0,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0010_04,0.1981267507202966,10000.0,True,1.940162385235324e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_01,0.238430183959739,0.00012589254117941674,False,1.6412959017521212e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0008_03,0.19631011858054231,0.00012589254117941674,False,1.6412959017521212e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_05,0.17865544676364117,0.00012589254117941674,False,1.6412959017521212e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0004_01,0.20018416361282512,0.00012589254117941674,False,1.6412959017521212e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0003_05,0.18642008708325244,0.00012589254117941674,False,1.6412959017521212e-09,0,-0.0,8
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_01,0.2372240900501452,0.0001,True,6.218362598790609e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0008_03,0.19324877992452394,0.0001,True,6.218362598790609e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_05,0.18219898285325303,0.0001,True,6.218362598790609e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0004_01,0.20248568956275806,0.0001,True,6.218362598790609e-09,0,-0.0,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0003_05,0.18484245760931978,0.0001,True,6.218362598790609e-09,0,-0.0,9
main,sentinel1,treatment_0004,P01-08,counterfactual_0005_05,0.21868226499093926,10000.0,True,9.98045983802503e-08,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0001_01,0.1902191344654573,10000.0,True,9.98045983802503e-08,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0002_03,0.20669262501363583,10000.0,True,9.98045983802503e-08,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0006_02,0.1877475588102109,10000.0,True,9.98045983802503e-08,0,-0.0,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0010_03,0.19665841671975667,10000.0,True,9.98045983802503e-08,0,-0.0,8
main,sentinel1,treatment_0004,P01-09,counterfactual_0005_05,0.2197545674397391,0.0001,True,1.2959999920849871e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0001_01,0.19043710968914196,0.0001,True,1.2959999920849871e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0002_03,0.20525785887055914,0.0001,True,1.2959999920849871e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0006_02,0.18680115211938997,0.0001,True,1.2959999920849871e-07,0,-0.0,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0010_03,0.19774931188116998,0.0001,True,1.2959999920849871e-07,0,-0.0,9
main,sentinel1,treatment_0005,P01-08,counterfactual_0006_01,0.2102881444029542,10000.0,True,1.526990294489215e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0005_03,0.20232939901004207,10000.0,True,1.526990294489215e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0004_05,0.20502784438860314,10000.0,True,1.526990294489215e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0010_04,0.20604893945924932,10000.0,True,1.526990294489215e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0001_04,0.1763056727391512,10000.0,True,1.526990294489215e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-09,counterfactual_0006_01,0.21086084724688578,10000.0,True,4.456142816921812e-10,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0005_03,0.2062871588284085,10000.0,True,4.456142816921812e-10,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0004_05,0.20564213274088297,10000.0,True,4.456142816921812e-10,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0010_04,0.20783987159476777,10000.0,True,4.456142816921812e-10,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0001_04,0.16936998958905497,10000.0,True,4.456142816921812e-10,0,-0.0,9
main,sentinel1,treatment_0006,P01-08,counterfactual_0006_04,0.20385214477750147,10000.0,True,2.5691116986408436e-08,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0009_01,0.21276335984576827,10000.0,True,2.5691116986408436e-08,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0003_03,0.1931701549052787,10000.0,True,2.5691116986408436e-08,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0010_01,0.20268647797793862,10000.0,True,2.5691116986408436e-08,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0010_05,0.18752786249351291,10000.0,True,2.5691116986408436e-08,0,-0.0,8
main,sentinel1,treatment_0006,P01-09,counterfactual_0006_04,0.20476533247636935,0.0001,True,3.067271844617021e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0009_01,0.21065239623633125,0.0001,True,3.067271844617021e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0003_03,0.19068049301734202,0.0001,True,3.067271844617021e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0010_01,0.20457560719694423,0.0001,True,3.067271844617021e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0010_05,0.1893261710730131,0.0001,True,3.067271844617021e-07,0,-0.0,9
main,sentinel1,treatment_0007,P01-08,counterfactual_0006_05,0.22457084149874074,0.0001,True,5.044154306764593e-07,0,-0.0,4
