arm,repr,site,test,test_rmse,train_rmse,n_test_dims
plain,chip_mean,treatment_0001,P09,0.3494622356503615,0.35840213861805503,5
plain,chip_mean,treatment_0002,P09,0.31360027668279894,0.7077511586173411,5
plain,chip_mean,treatment_0003,P09,0.3334001807804697,0.656059029695485,5
plain,chip_mean,treatment_0004,P09,1.2935134476767072,0.958489431704429,5
plain,chip_mean,treatment_0005,P09,0.8903215639663113,1.38253234656649,5
plain,chip_mean,treatment_0006,P09,0.44592427207766605,0.5584264886055643,5
plain,chip_mean,treatment_0007,P09,0.2744164776008256,0.32551165464942855,5
plain,chip_mean,treatment_0008,P09,0.4044227161712727,0.852924893649636,5
plain,chip_mean,treatment_0009,P09,0.3914143131188439,0.7066862200514119,5
plain,chip_mean,treatment_0010,P09,1.0686229541152217,0.9027203283569613,5
plain,chip_mean,treatment_0001,P10,0.37257752149860907,0.3601510131645328,5
plain,chip_mean,treatment_0002,P10,0.5001619069170874,0.6874967147465904,5
plain,chip_mean,treatment_0003,P10,0.14240344813624478,0.6383330689199367,5
plain,chip_mean,treatment_0004,P10,0.7057331168203704,1.0110588132230138,5
plain,chip_mean,treatment_0005,P10,0.5918459815880182,1.3480324950423486,5
plain,chip_mean,treatment_0006,P10,0.2969713745022844,0.5513540104857466,5
plain,chip_mean,treatment_0007,P10,0.4181622798832031,0.32166759300556874,5
plain,chip_mean,treatment_0008,P10,0.24803975013065366,0.8228369607144659,5
plain,chip_mean,treatment_0009,P10,0.4578125591584816,0.6819863849602539,5
plain,chip_mean,treatment_0010,P10,0.2157261747165133,0.9353468857355716,5
plain,quantile,treatment_0001,P09,0.9105230519994418,0.6510576234440869,100
plain,quantile,treatment_0002,P09,0.6209274465805369,0.9743518962311083,100
plain,quantile,treatment_0003,P09,0.4983218998359369,0.7110753452353707,100
plain,quantile,treatment_0004,P09,1.1902263891030103,0.9527763276618573,100
plain,quantile,treatment_0005,P09,0.8924336570651898,1.259788299475261,100
plain,quantile,treatment_0006,P09,0.8322819823113939,0.708200932432879,100
plain,quantile,treatment_0007,P09,0.5489366848679381,0.5874705757910846,100
plain,quantile,treatment_0008,P09,0.6087021410723428,0.8874388450509779,100
plain,quantile,treatment_0009,P09,0.6747086640958438,0.7876967585201633,100
plain,quantile,treatment_0010,P09,1.1972646553030735,0.9021087722500167,100
plain,quantile,treatment_0001,P10,0.604004121323993,0.6841956757402434,100
plain,quantile,treatment_0002,P10,0.6616249876213213,0.9462662736450071,100
plain,quantile,treatment_0003,P10,0.4116931346910894,0.689434379794513,100
plain,quantile,treatment_0004,P10,0.7446520233028868,0.981896966387082,100
plain,quantile,treatment_0005,P10,0.7791358443641201,1.2230347573897842,100
plain,quantile,treatment_0006,P10,0.4936484767524555,0.724737623510586,100
plain,quantile,treatment_0007,P10,0.5617977765295116,0.5793824308043041,100
plain,quantile,treatment_0008,P10,0.48485068535370096,0.8595717726259867,100
plain,quantile,treatment_0009,P10,0.5594972332675612,0.7734477054488412,100
plain,quantile,treatment_0010,P10,0.5115811263977326,0.942929430608057,100
plain,gram,treatment_0001,P09,0.35158678617343975,0.3703907183349941,15
plain,gram,treatment_0002,P09,0.32411869264987625,0.7046461535292937,15
plain,gram,treatment_0003,P09,0.3497590652240031,0.6851485085984482,15
plain,gram,treatment_0004,P09,1.3738074645645721,0.9698270030011503,15
plain,gram,treatment_0005,P09,0.9941440868356505,1.331502977456508,15
plain,gram,treatment_0006,P09,0.5655646906496875,0.5595612763217838,15
plain,gram,treatment_0007,P09,0.2580403503228349,0.36642646295382253,15
plain,gram,treatment_0008,P09,0.51627684537979,0.8292766063300618,15
plain,gram,treatment_0009,P09,0.32370713145468866,0.6546737285856273,15
plain,gram,treatment_0010,P09,1.1934477193182238,0.8652013121634388,15
plain,gram,treatment_0001,P10,0.44417894346654635,0.372848842975104,15
plain,gram,treatment_0002,P10,0.7707145118181817,0.6848074801549897,15
plain,gram,treatment_0003,P10,0.16851561899626194,0.6607476049352279,15
plain,gram,treatment_0004,P10,0.8406826262355247,1.0255830052363828,15
plain,gram,treatment_0005,P10,0.7443226550309645,1.2994075216406495,15
plain,gram,treatment_0006,P10,0.39947199758266894,0.5617224611971816,15
plain,gram,treatment_0007,P10,0.49899626401457736,0.3573776742240419,15
plain,gram,treatment_0008,P10,0.20654574011673693,0.8024369375644538,15
plain,gram,treatment_0009,P10,0.3665245470415554,0.6284089482012373,15
plain,gram,treatment_0010,P10,0.22114119805149765,0.9156362809507116,15
plain,combined,treatment_0001,P09,0.86377006203882,0.6227067304674601,115
plain,combined,treatment_0002,P09,0.5909569454454658,0.9444050765349562,115
plain,combined,treatment_0003,P09,0.4827220061998337,0.708563082530053,115
plain,combined,treatment_0004,P09,1.2140898628691925,0.9563353373170163,115
plain,combined,treatment_0005,P09,0.9046250666434057,1.2712187044940468,115
plain,combined,treatment_0006,P09,0.8058156868161253,0.6916035817333293,115
plain,combined,treatment_0007,P09,0.5203539413718743,0.5661445199196283,115
plain,combined,treatment_0008,P09,0.5966168702385155,0.8827715332735904,115
plain,combined,treatment_0009,P09,0.6441056909264872,0.7759435221661086,115
plain,combined,treatment_0010,P09,1.180480479167599,0.899639277959447,115
plain,combined,treatment_0001,P10,0.5890263463695692,0.6537105359793955,115
plain,combined,treatment_0002,P10,0.672343061180364,0.9172807092309075,115
plain,combined,treatment_0003,P10,0.3902073442752361,0.686522810893859,115
plain,combined,treatment_0004,P10,0.7581005943778911,0.9887942560131591,115
plain,combined,treatment_0005,P10,0.7771947675168625,1.2348568006574694,115
plain,combined,treatment_0006,P10,0.48069885372035587,0.7067639942039357,115
plain,combined,treatment_0007,P10,0.5508841028317033,0.5579340075853558,115
plain,combined,treatment_0008,P10,0.4552567765240992,0.854426510992661,115
plain,combined,treatment_0009,P10,0.544024236821113,0.7604060707499951,115
plain,combined,treatment_0010,P10,0.48358602112892657,0.9400269156192086,115
masked,chip_mean,treatment_0001,P09,0.4539389732743697,0.46900258031315456,5
masked,chip_mean,treatment_0002,P09,0.3964856482177589,0.6846809273332953,5
masked,chip_mean,treatment_0003,P09,0.28679634265134635,0.5673139221621696,5
masked,chip_mean,treatment_0004,P09,1.2234947939572178,1.0147344938894336,5
masked,chip_mean,treatment_0005,P09,0.9893942444548302,1.333202825980334,5
masked,chip_mean,treatment_0006,P09,0.563384919987307,0.5559848131846102,5
masked,chip_mean,treatment_0007,P09,0.3732039954103085,0.4064570905981198,5
masked,chip_mean,treatment_0008,P09,0.4930536153317494,0.8918260349121649,5
masked,chip_mean,treatment_0009,P09,0.5080502495545054,0.7522148380132643,5
masked,chip_mean,treatment_0010,P09,1.1461018886604348,0.9036018493039528,5
masked,chip_mean,treatment_0001,P10,0.3768119125734677,0.47558024477179534,5
masked,chip_mean,treatment_0002,P10,0.5183458088873633,0.6740819313717662,5
masked,chip_mean,treatment_0003,P10,0.1791574220860277,0.556253915160889,5
masked,chip_mean,treatment_0004,P10,0.6509120281915989,1.0610275689886406,5
masked,chip_mean,treatment_0005,P10,0.7271491585970727,1.3216205425686636,5
masked,chip_mean,treatment_0006,P10,0.2447430729271218,0.5656951726388602,5
masked,chip_mean,treatment_0007,P10,0.39024576707977005,0.41021892902503704,5
masked,chip_mean,treatment_0008,P10,0.2755756528022333,0.8701223257458557,5
masked,chip_mean,treatment_0009,P10,0.3730040405531091,0.7377475885029477,5
masked,chip_mean,treatment_0010,P10,0.24725400518059265,0.9469318955034914,5
masked,quantile,treatment_0001,P09,0.6042993279307409,0.5567176497199453,100
masked,quantile,treatment_0002,P09,0.6200790745499104,0.9332792729929725,100
masked,quantile,treatment_0003,P09,0.5261422433785622,0.6461237108381553,100
masked,quantile,treatment_0004,P09,1.1566932730380615,1.0128680310523703,100
masked,quantile,treatment_0005,P09,0.9190441993038715,1.26854800551773,100
masked,quantile,treatment_0006,P09,0.6383352208088359,0.7986915308783484,100
masked,quantile,treatment_0007,P09,0.5621345782916943,0.6101365403389793,100
masked,quantile,treatment_0008,P09,0.8270924960543616,0.99120305469741,100
masked,quantile,treatment_0009,P09,0.6432181708488125,0.7762311966006744,100
masked,quantile,treatment_0010,P09,1.2817561678200513,0.8727520781863711,100
masked,quantile,treatment_0001,P10,0.5495950702044959,0.5641707357772151,100
masked,quantile,treatment_0002,P10,0.6495875399087386,0.9101113765458072,100
masked,quantile,treatment_0003,P10,0.4486270189870344,0.637056441709748,100
masked,quantile,treatment_0004,P10,0.703611734578647,1.0333918798469337,100
masked,quantile,treatment_0005,P10,0.829548973246002,1.236846563974194,100
masked,quantile,treatment_0006,P10,0.4825894012075788,0.7875001010392426,100
masked,quantile,treatment_0007,P10,0.5690106525229083,0.6030029723354783,100
masked,quantile,treatment_0008,P10,0.5636774417332886,0.9751150166547454,100
masked,quantile,treatment_0009,P10,0.4497181751618333,0.7623415790989543,100
masked,quantile,treatment_0010,P10,0.5329042933694724,0.9312097218515772,100
masked,gram,treatment_0001,P09,0.5423550343521708,0.4110182096116514,15
masked,gram,treatment_0002,P09,0.4524609460823319,0.6131979556274849,15
masked,gram,treatment_0003,P09,0.30492451228726913,0.5441014475122582,15
masked,gram,treatment_0004,P09,1.1438329032925545,0.9891097527612691,15
masked,gram,treatment_0005,P09,0.7858915748151794,1.328438971558869,15
masked,gram,treatment_0006,P09,0.5677252906543983,0.5362515941402161,15
masked,gram,treatment_0007,P09,0.34178882906742936,0.44301572838646597,15
masked,gram,treatment_0008,P09,0.556509427725858,0.9062149551302797,15
masked,gram,treatment_0009,P09,0.7755326119425702,0.692360259473993,15
masked,gram,treatment_0010,P09,1.0693740965971,0.871399088303087,15
masked,gram,treatment_0001,P10,0.3989626139048727,0.43411397237914984,15
masked,gram,treatment_0002,P10,0.7441103381024976,0.6104812886731037,15
masked,gram,treatment_0003,P10,0.2574748009002383,0.5316311440403647,15
masked,gram,treatment_0004,P10,0.6971023494587454,1.022340101793344,15
masked,gram,treatment_0005,P10,0.8435104008536202,1.29332179660899,15
masked,gram,treatment_0006,P10,0.35103572907677033,0.5460793439780108,15
