sensor,method,site,band,err,sd
sentinel1,floor,treatment_0001,VV,-0.8338432312011719,1.1930360432721492
sentinel1,floor,treatment_0001,VH,-1.1296920776367188,1.1001380157234775
sentinel1,floor,treatment_0001,VV_minus_VH,0.2958498001098633,0.3020270135132244
sentinel1,synth_bands,treatment_0001,VV,-0.5187892913818359,1.1930360432721492
sentinel1,synth_bands,treatment_0001,VH,-0.8275966644287109,1.1001380157234775
sentinel1,synth_bands,treatment_0001,VV_minus_VH,0.308807373046875,0.3020270135132244
sentinel1,synth_tm5,treatment_0001,VV,-1.0630683898925781,1.1930360432721492
sentinel1,synth_tm5,treatment_0001,VH,-1.2004013061523438,1.1001380157234775
sentinel1,synth_tm5,treatment_0001,VV_minus_VH,0.13733196258544922,0.3020270135132244
sentinel1,synth_lat980,treatment_0001,VV,-2.009037971496582,1.1930360432721492
sentinel1,synth_lat980,treatment_0001,VH,-2.0496997833251953,1.1001380157234775
sentinel1,synth_lat980,treatment_0001,VV_minus_VH,0.04066038131713867,0.3020270135132244
sentinel1,synth_equal,treatment_0001,VV,-1.7832756042480469,1.1930360432721492
sentinel1,synth_equal,treatment_0001,VH,-1.877115249633789,1.1001380157234775
sentinel1,synth_equal,treatment_0001,VV_minus_VH,0.09383821487426758,0.3020270135132244
sentinel1,floor,treatment_0002,VV,-0.6967267990112305,1.1930360432721492
sentinel1,floor,treatment_0002,VH,-0.8684234619140625,1.1001380157234775
sentinel1,floor,treatment_0002,VV_minus_VH,0.17169713973999023,0.3020270135132244
sentinel1,synth_bands,treatment_0002,VV,-0.4985237121582031,1.1930360432721492
sentinel1,synth_bands,treatment_0002,VH,-0.5482521057128906,1.1001380157234775
sentinel1,synth_bands,treatment_0002,VV_minus_VH,0.049729347229003906,0.3020270135132244
sentinel1,synth_tm5,treatment_0002,VV,-0.7285051345825195,1.1930360432721492
sentinel1,synth_tm5,treatment_0002,VH,-0.7388439178466797,1.1001380157234775
sentinel1,synth_tm5,treatment_0002,VV_minus_VH,0.010336875915527344,0.3020270135132244
sentinel1,synth_lat980,treatment_0002,VV,-1.0480451583862305,1.1930360432721492
sentinel1,synth_lat980,treatment_0002,VH,-0.9823360443115234,1.1001380157234775
sentinel1,synth_lat980,treatment_0002,VV_minus_VH,-0.06570863723754883,0.3020270135132244
sentinel1,synth_equal,treatment_0002,VV,-0.9488048553466797,1.1930360432721492
sentinel1,synth_equal,treatment_0002,VH,-0.8090667724609375,1.1001380157234775
sentinel1,synth_equal,treatment_0002,VV_minus_VH,-0.1397385597229004,0.3020270135132244
sentinel1,floor,treatment_0003,VV,-0.7235469818115234,1.1930360432721492
sentinel1,floor,treatment_0003,VH,-1.0220050811767578,1.1001380157234775
sentinel1,floor,treatment_0003,VV_minus_VH,0.2984585762023926,0.3020270135132244
sentinel1,synth_bands,treatment_0003,VV,-0.26978302001953125,1.1930360432721492
