sensor,treatment_site_id,period,method,band,observed,synthetic_decoded,effect
sentinel1,treatment_0001,P11,scm,VV,-9.967316627502441,-9.782914161682129,-0.1844024658203125
sentinel1,treatment_0001,P11,scm,VH,-15.811805725097656,-15.943038940429688,0.13123321533203125
sentinel1,treatment_0001,P11,scm,VV_minus_VH,5.844489574432373,6.160125255584717,-0.31563568115234375
sentinel1,treatment_0001,P11,ascm,VV,-9.967316627502441,-9.740041732788086,-0.22727489471435547
sentinel1,treatment_0001,P11,ascm,VH,-15.811805725097656,-15.912086486816406,0.10028076171875
sentinel1,treatment_0001,P11,ascm,VV_minus_VH,5.844489574432373,6.172045707702637,-0.32755613327026367
sentinel1,treatment_0001,P12,scm,VV,,,
sentinel1,treatment_0001,P12,scm,VH,,,
sentinel1,treatment_0001,P12,scm,VV_minus_VH,,,
sentinel1,treatment_0001,P12,ascm,VV,,,
sentinel1,treatment_0001,P12,ascm,VH,,,
sentinel1,treatment_0001,P12,ascm,VV_minus_VH,,,
sentinel1,treatment_0001,P13,scm,VV,-10.488144874572754,-10.161181449890137,-0.3269634246826172
sentinel1,treatment_0001,P13,scm,VH,-15.913108825683594,-15.826791763305664,-0.08631706237792969
sentinel1,treatment_0001,P13,scm,VV_minus_VH,5.424965858459473,5.665609359741211,-0.24064350128173828
sentinel1,treatment_0001,P13,ascm,VV,-10.488144874572754,-10.02746295928955,-0.4606819152832031
sentinel1,treatment_0001,P13,ascm,VH,-15.913108825683594,-15.768165588378906,-0.1449432373046875
sentinel1,treatment_0001,P13,ascm,VV_minus_VH,5.424965858459473,5.7407026290893555,-0.3157367706298828
sentinel1,treatment_0001,P14,scm,VV,-9.73957633972168,-9.72485637664795,-0.014719963073730469
sentinel1,treatment_0001,P14,scm,VH,-15.444389343261719,-15.426093101501465,-0.018296241760253906
sentinel1,treatment_0001,P14,scm,VV_minus_VH,5.7048139572143555,5.701235294342041,0.003578662872314453
sentinel1,treatment_0001,P14,ascm,VV,-9.73957633972168,-9.747631072998047,0.008054733276367188
sentinel1,treatment_0001,P14,ascm,VH,-15.444389343261719,-15.359631538391113,-0.08475780487060547
sentinel1,treatment_0001,P14,ascm,VV_minus_VH,5.7048139572143555,5.612000942230225,0.09281301498413086
sentinel1,treatment_0001,P15,scm,VV,,,
sentinel1,treatment_0001,P15,scm,VH,,,
sentinel1,treatment_0001,P15,scm,VV_minus_VH,,,
sentinel1,treatment_0001,P15,ascm,VV,,,
