label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
chipmean,fsc,treatment_0001,P01,1,False,0.0803036444121369,0.020734311829864568,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P02,2,False,0.0717440903860831,0.018524244483606633,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P03,3,False,0.08122154326456466,0.020971312294461607,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P04,4,False,0.05450489391077544,0.014073103093549021,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P05,5,False,0.05837937055134822,0.015073488660496223,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P06,6,False,0.0557338958172025,0.014390430021285632,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P07,7,False,0.05216128868651491,0.013467986826639307,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P08,8,False,0.07275725178180058,0.018785841631115567,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P09,9,False,0.061703501172270796,0.01593177549619297,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P10,10,False,0.08761910886200776,0.02262315662880605,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P11,11,True,0.08230249636786742,0.021250413185603126,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P13,12,True,0.10495235852694859,0.027098582448004126,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P14,13,True,0.06974400206167192,0.018007823898847405,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P16,14,True,0.11037003492957131,0.028497420480170708,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P17,15,True,0.14495357239305806,0.03742685145677234,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P18,16,True,0.09174048605935953,0.023687291645391545,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P19,17,True,0.09453884696771947,0.024409825325041934,sentinel1,covmat,gram
chipmean,fsc,treatment_0001,P20,18,True,0.09542782123911822,0.024639357494930885,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P01,1,False,0.06021265291235209,0.015546840130700477,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P02,2,False,0.06083515712802429,0.01570757002804997,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P03,3,False,0.05097783486195267,0.013162420363070304,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P04,4,False,0.09946752906652295,0.0256824055708697,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P05,5,False,0.055588206606978524,0.01435281322895766,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P06,6,False,0.06469266627873055,0.01670357460795184,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P07,7,False,0.08276075413773153,0.02136873483300005,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P08,8,False,0.05286894726797318,0.013650703486691881,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P09,9,False,0.08668467256684095,0.02238188621485453,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P10,10,False,0.06342573540635006,0.016376454463316793,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P11,11,True,0.06291625627406101,0.016244907517010413,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P13,12,True,0.13112352760383847,0.03385594924704233,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P14,13,True,0.09334553345132122,0.02410171309998763,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P16,14,True,0.08041803424333323,0.020763847157277825,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P17,15,True,0.13312484527612511,0.03437268724805811,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P18,16,True,0.08254218473765171,0.021312300456566742,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P19,17,True,0.0899386770327337,0.023222066555180342,sentinel1,covmat,gram
chipmean,fsc,treatment_0002,P20,18,True,0.14465134393730503,0.037348816405046906,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P01,1,False,0.06156839263854056,0.01589689062278846,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P02,2,False,0.04099630892974211,0.01058520144939104,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P03,3,False,0.05031332180360141,0.012990843829181519,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P04,4,False,0.030031191605622478,0.0077540203303559894,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P05,5,False,0.04142658323002823,0.010696297796011653,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P06,6,False,0.04370098312452061,0.011283545323610646,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P07,7,False,0.052199619865272606,0.013477883894437244,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P08,8,False,0.04044471061173142,0.010442779376094278,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P09,9,False,0.07342320874382954,0.01895779097933084,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P10,10,False,0.03298847469528719,0.008517587540775473,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P11,11,True,0.04631210017597692,0.011957732847296546,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P13,12,True,0.03127502845926729,0.00807517762499368,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P14,13,True,0.04690492885606472,0.01211080055430549,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P16,14,True,0.02177940470079232,0.005623418113098679,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P17,15,True,0.04912704571614757,0.012684548660467332,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P18,16,True,0.05478001644556857,0.014144139426577032,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P19,17,True,0.03579858229400128,0.00924315420283351,sentinel1,covmat,gram
chipmean,fsc,treatment_0003,P20,18,True,0.10851131166557372,0.028017500197059307,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P01,1,False,0.06552363218191708,0.016918129081572343,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P02,2,False,0.09509949676888955,0.02455458448124102,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P03,3,False,0.04946622886419684,0.0127721253727146,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P04,4,False,0.06215460844575693,0.016048250893363966,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P05,5,False,0.07342450557340753,0.018958125819288067,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P06,6,False,0.049386930934325765,0.012751650735262639,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P07,7,False,0.05140307914350944,0.013272217964439592,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P08,8,False,0.07918717928036302,0.020446041772399136,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P09,9,False,0.049365462124143514,0.012746107512309389,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P10,10,False,0.10793874401481265,0.02786966386532766,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P11,11,True,0.05683655701855857,0.01467513591924304,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P13,12,True,0.08469446864632607,0.02186801777220714,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P14,13,True,0.10015823225125964,0.025860744366313543,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P16,14,True,0.05437820970869482,0.014040393373223301,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P17,15,True,0.06598094580860171,0.017036206952248566,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P18,16,True,0.05332578683488585,0.013768658955661307,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P19,17,True,0.08582918450709492,0.022161000147636153,sentinel1,covmat,gram
chipmean,fsc,treatment_0004,P20,18,True,0.09476794956342832,0.024468979360892155,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P01,1,False,0.10040556335106252,0.025924604981682593,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P02,2,False,0.05907939418760796,0.015254233986175258,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P03,3,False,0.028904414004228707,0.0074630876046841476,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P04,4,False,0.04506880010353475,0.011636714148969413,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P05,5,False,0.03996364543360864,0.010318568881206957,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P06,6,False,0.04841859083939685,0.012501626397854331,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P07,7,False,0.03249493277543512,0.008390155565025984,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P08,8,False,0.045978731596475864,0.011871657450192785,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P09,9,False,0.055564967436042,0.014346812900823206,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P10,10,False,0.051317853242242355,0.013250212731354731,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P11,11,True,0.03879583842953501,0.010017042409316187,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P13,12,True,0.04596100778371834,0.011867081181416706,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P14,13,True,0.0419960823884346,0.010843341846424121,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P16,14,True,0.06400442234696327,0.016525870788894306,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P17,15,True,0.048535789866688064,0.01253188705658037,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P18,16,True,0.04708957121609165,0.01215847500666474,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P19,17,True,0.1008493553059018,0.026039191571700815,sentinel1,covmat,gram
chipmean,fsc,treatment_0005,P20,18,True,0.09242451852497814,0.023863908068565285,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P01,1,False,0.07481729699842467,0.01931774301887686,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P02,2,False,0.0743937913777738,0.019208394337823124,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P03,3,False,0.08807347805595574,0.02274047425021873,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P04,4,False,0.055969461458779825,0.014451252808403476,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P05,5,False,0.07165529316506565,0.018501317139727292,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P06,6,False,0.05781816364988711,0.014928585661620522,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P07,7,False,0.07227660256408176,0.01866173853674273,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P08,8,False,0.057787677116823886,0.014920714072631356,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P09,9,False,0.08752039505728154,0.022597668834023022,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P10,10,False,0.0866848571789338,0.022381933881491938,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P11,11,True,0.09192054746688375,0.023733783300900604,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P13,12,True,0.0895074471620716,0.02311072348134957,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P14,13,True,0.11697170278401434,0.030201963790667415,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P16,14,True,0.10663377385194009,0.027532722018120792,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P17,15,True,0.1156305311514102,0.02985567476416864,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P18,16,True,0.074725123062201,0.019293943810880284,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P19,17,True,0.09476699146279582,0.024468731980372575,sentinel1,covmat,gram
