group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,method,repr
1,1,0.552,0.576564509155521,0.0449390206347238,False,1.0,1.0,4,1,chipmean,sentinel1,covmat,gram
1,2,0.2272,0.24444973746058,0.0449390206347238,False,1.0,1.0,4,1,chipmean,sentinel1,covmat,gram
1,3,0.1396,0.157992970811142,0.0449390206347238,False,1.0,1.0,4,1,chipmean,sentinel1,covmat,gram
1,4,0.0,-0.0774070994682026,0.0449390206347238,False,1.0,1.0,4,1,chipmean,sentinel1,covmat,gram
1,5,0.0812,0.0983998820409594,0.0449390206347238,False,1.0,1.0,4,1,chipmean,sentinel1,covmat,gram
2,1,0.0,-0.042146361214516,0.0449390206347238,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,gram
2,2,0.2164,0.249798740515041,0.0449390206347238,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,gram
2,3,0.3489,0.385106916140243,0.0449390206347238,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,gram
2,4,0.0,-0.0469326840047684,0.0449390206347238,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,gram
2,5,0.4347,0.454173388564001,0.0449390206347238,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,gram
3,1,0.0338,0.0338012660054715,0.0449390206347238,False,1.0,1.0,5,0,chipmean,sentinel1,covmat,gram
3,2,0.3749,0.374886051000751,0.0449390206347238,False,1.0,1.0,5,0,chipmean,sentinel1,covmat,gram
3,3,0.0896,0.0896117223799556,0.0449390206347238,False,1.0,1.0,5,0,chipmean,sentinel1,covmat,gram
3,4,0.4307,0.430690277160555,0.0449390206347238,False,1.0,1.0,5,0,chipmean,sentinel1,covmat,gram
3,5,0.071,0.0710106834532669,0.0449390206347238,False,1.0,1.0,5,0,chipmean,sentinel1,covmat,gram
4,1,0.0,-0.131886961876145,0.0449390206347238,False,1.0,1.0,3,1,chipmean,sentinel1,covmat,gram
