label,sensor,repr,method,T_0,lambda,at_floor,at_ceiling,grid_lo,grid_hi,cv_at_opt,n_grid,interior
genfill,sentinel1,chip_mean,covmat,8,0.01,False,False,1e-06,1000000.0,0.1830217119137025,25,True
genfill,sentinel1,chip_mean,covmat,9,0.00316227766,False,False,1e-06,1000000.0,0.2030640676514059,25,True
genfill,sentinel1,gram,covmat,8,0.0316227766,False,False,1e-06,1000000.0,0.4778739434333477,25,True
genfill,sentinel1,gram,covmat,9,0.0316227766,False,False,1e-06,1000000.0,0.5330925560696173,25,True
genfill,sentinel1,quantile,covmat,8,1000000.0,False,True,0.0001,1000000.0,5.53034665578231,11,False
genfill,sentinel1,quantile,covmat,9,1000000.0,False,True,0.0001,1000000.0,6.2178285655806,11,False
genfill,sentinel1,combined,covmat,8,1000000.0,False,True,0.0001,1000000.0,14.945858797973461,11,False
genfill,sentinel1,combined,covmat,9,1000000.0,False,True,0.0001,1000000.0,16.82802439071656,11,False
genfill,sentinel2,chip_mean,covmat,8,1000000.0,False,True,1e-06,1000000.0,1.381063677483424,25,False
genfill,sentinel2,chip_mean,covmat,9,1000000.0,False,True,1e-06,1000000.0,1.4383909063106528,25,False
genfill,sentinel2,gram,covmat,8,1000000.0,False,True,1e-06,1000000.0,4.299706300703374,25,False
genfill,sentinel2,gram,covmat,9,1000000.0,False,True,1e-06,1000000.0,4.536436984658083,25,False
genfill,sentinel2,quantile,covmat,8,1000000.0,False,True,0.0001,1000000.0,15.569281383271079,11,False
genfill,sentinel2,quantile,covmat,9,1000000.0,False,True,0.0001,1000000.0,16.88926579217047,11,False
genfill,sentinel2,combined,covmat,8,1000000.0,False,True,0.0001,1000000.0,33.4634937699339,11,False
genfill,sentinel2,combined,covmat,9,1000000.0,False,True,0.0001,1000000.0,36.420324480156395,11,False
chipmean,sentinel1,chip_mean,covmat,8,0.01,False,False,1e-06,1000000.0,0.1063260940936942,25,True
chipmean,sentinel1,chip_mean,covmat,9,0.01,False,False,1e-06,1000000.0,0.1187506116955684,25,True
chipmean,sentinel1,gram,covmat,8,0.0316227766,False,False,1e-06,1000000.0,0.3024079203342847,25,True
chipmean,sentinel1,gram,covmat,9,0.0316227766,False,False,1e-06,1000000.0,0.3405760438951172,25,True
chipmean,sentinel1,quantile,covmat,8,1000000.0,False,True,0.0001,1000000.0,5.53034665578231,11,False
chipmean,sentinel1,quantile,covmat,9,1000000.0,False,True,0.0001,1000000.0,6.2178285655806,11,False
chipmean,sentinel1,combined,covmat,8,1000000.0,False,True,0.0001,1000000.0,14.95407668600915,11,False
chipmean,sentinel1,combined,covmat,9,1000000.0,False,True,0.0001,1000000.0,16.8383353691685,11,False
chipmean,sentinel2,chip_mean,covmat,8,1000000.0,False,True,1e-06,1000000.0,8.220473334749117,25,False
chipmean,sentinel2,chip_mean,covmat,9,1000000.0,False,True,1e-06,1000000.0,7.942717054433517,25,False
chipmean,sentinel2,gram,covmat,8,1000000.0,False,True,1e-06,1000000.0,22.36033255467172,25,False
chipmean,sentinel2,gram,covmat,9,1000000.0,False,True,1e-06,1000000.0,21.710024689625886,25,False
chipmean,sentinel2,quantile,covmat,8,0.0001,True,False,0.0001,1000000.0,29.200380958064812,11,False
chipmean,sentinel2,quantile,covmat,9,0.0001,True,False,0.0001,1000000.0,31.5528936124131,11,False
chipmean,sentinel2,combined,covmat,8,0.0001,True,False,0.0001,1000000.0,70.5591024525153,11,False
chipmean,sentinel2,combined,covmat,9,0.0001,True,False,0.0001,1000000.0,75.4375182199614,11,False
