group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,method,repr
1,1,0.3956,0.395603326940345,6.61069613518961e-05,False,1.0,1.0000000000033,5,0,chipmean,sentinel1,covmat,quantile
1,2,0.1504,0.150385313156742,6.61069613518961e-05,False,1.0,1.0000000000033,5,0,chipmean,sentinel1,covmat,quantile
1,3,0.181,0.181010567809767,6.61069613518961e-05,False,1.0,1.0000000000033,5,0,chipmean,sentinel1,covmat,quantile
1,4,0.0411,0.0410868337865223,6.61069613518961e-05,False,1.0,1.0000000000033,5,0,chipmean,sentinel1,covmat,quantile
1,5,0.2319,0.231913958309921,6.61069613518961e-05,False,1.0,1.0000000000033,5,0,chipmean,sentinel1,covmat,quantile
2,1,0.1133,0.113333933709432,6.61069613518961e-05,False,1.0,1.00000000000023,5,0,chipmean,sentinel1,covmat,quantile
2,2,0.2807,0.280727742424976,6.61069613518961e-05,False,1.0,1.00000000000023,5,0,chipmean,sentinel1,covmat,quantile
2,3,0.24,0.239968709344785,6.61069613518961e-05,False,1.0,1.00000000000023,5,0,chipmean,sentinel1,covmat,quantile
2,4,0.0261,0.0260955103056379,6.61069613518961e-05,False,1.0,1.00000000000023,5,0,chipmean,sentinel1,covmat,quantile
2,5,0.3399,0.339874104215397,6.61069613518961e-05,False,1.0,1.00000000000023,5,0,chipmean,sentinel1,covmat,quantile
3,1,0.0,-0.0064318448999909,6.61069613518961e-05,False,1.0,0.999999999993333,4,1,chipmean,sentinel1,covmat,quantile
3,2,0.3588,0.359867733729361,6.61069613518961e-05,False,1.0,0.999999999993333,4,1,chipmean,sentinel1,covmat,quantile
3,3,0.1173,0.120980589800197,6.61069613518961e-05,False,1.0,0.999999999993333,4,1,chipmean,sentinel1,covmat,quantile
3,4,0.3735,0.373272847173393,6.61069613518961e-05,False,1.0,0.999999999993333,4,1,chipmean,sentinel1,covmat,quantile
3,5,0.1504,0.152310674190373,6.61069613518961e-05,False,1.0,0.999999999993333,4,1,chipmean,sentinel1,covmat,quantile
4,1,0.0451,0.0451129718468571,6.61069613518961e-05,False,1.0001,1.00010000000104,5,0,chipmean,sentinel1,covmat,quantile
4,2,0.3577,0.35767550382067,6.61069613518961e-05,False,1.0001,1.00010000000104,5,0,chipmean,sentinel1,covmat,quantile
4,3,0.0614,0.0614153425739864,6.61069613518961e-05,False,1.0001,1.00010000000104,5,0,chipmean,sentinel1,covmat,quantile
4,4,0.244,0.243994614349836,6.61069613518961e-05,False,1.0001,1.00010000000104,5,0,chipmean,sentinel1,covmat,quantile
4,5,0.2919,0.291901567409688,6.61069613518961e-05,False,1.0001,1.00010000000104,5,0,chipmean,sentinel1,covmat,quantile
5,1,0.0156,0.0156376636864416,6.61069613518961e-05,False,1.0,0.99999999999989,5,0,chipmean,sentinel1,covmat,quantile
5,2,0.1616,0.161579953161699,6.61069613518961e-05,False,1.0,0.99999999999989,5,0,chipmean,sentinel1,covmat,quantile
5,3,0.2843,0.284324817675044,6.61069613518961e-05,False,1.0,0.99999999999989,5,0,chipmean,sentinel1,covmat,quantile
5,4,0.3012,0.301200599308635,6.61069613518961e-05,False,1.0,0.99999999999989,5,0,chipmean,sentinel1,covmat,quantile
5,5,0.2373,0.237256966168071,6.61069613518961e-05,False,1.0,0.99999999999989,5,0,chipmean,sentinel1,covmat,quantile
6,1,0.2645,0.274215174766257,6.61069613518961e-05,False,1.0,1.00000000000279,3,2,chipmean,sentinel1,covmat,quantile
6,2,0.5683,0.572029279370873,6.61069613518961e-05,False,1.0,1.00000000000279,3,2,chipmean,sentinel1,covmat,quantile
6,3,0.0,-0.0050001013826772,6.61069613518961e-05,False,1.0,1.00000000000279,3,2,chipmean,sentinel1,covmat,quantile
6,4,0.1672,0.182911532763021,6.61069613518961e-05,False,1.0,1.00000000000279,3,2,chipmean,sentinel1,covmat,quantile
6,5,0.0,-0.0241558855146877,6.61069613518961e-05,False,1.0,1.00000000000279,3,2,chipmean,sentinel1,covmat,quantile
7,1,0.2553,0.260747710481292,6.61069613518961e-05,False,1.0,0.999999999996675,4,1,chipmean,sentinel1,covmat,quantile
7,2,0.1427,0.159829971467284,6.61069613518961e-05,False,1.0,0.999999999996675,4,1,chipmean,sentinel1,covmat,quantile
7,3,0.3623,0.361526735482267,6.61069613518961e-05,False,1.0,0.999999999996675,4,1,chipmean,sentinel1,covmat,quantile
7,4,0.0,-0.0431459200802635,6.61069613518961e-05,False,1.0,0.999999999996675,4,1,chipmean,sentinel1,covmat,quantile
7,5,0.2397,0.261041502646095,6.61069613518961e-05,False,1.0,0.999999999996675,4,1,chipmean,sentinel1,covmat,quantile
8,1,0.1159,0.115854396492285,6.61069613518961e-05,False,1.0,0.999999999998678,5,0,chipmean,sentinel1,covmat,quantile
8,2,0.2066,0.206634722193675,6.61069613518961e-05,False,1.0,0.999999999998678,5,0,chipmean,sentinel1,covmat,quantile
8,3,0.3076,0.307600391608467,6.61069613518961e-05,False,1.0,0.999999999998678,5,0,chipmean,sentinel1,covmat,quantile
8,4,0.136,0.135978714568314,6.61069613518961e-05,False,1.0,0.999999999998678,5,0,chipmean,sentinel1,covmat,quantile
8,5,0.2339,0.233931775135938,6.61069613518961e-05,False,1.0,0.999999999998678,5,0,chipmean,sentinel1,covmat,quantile
9,1,0.4428,0.442805800083912,6.61069613518961e-05,False,0.9999,0.999900000001634,5,0,chipmean,sentinel1,covmat,quantile
9,2,0.2643,0.264326800415142,6.61069613518961e-05,False,0.9999,0.999900000001634,5,0,chipmean,sentinel1,covmat,quantile
9,3,0.1701,0.170035670915576,6.61069613518961e-05,False,0.9999,0.999900000001634,5,0,chipmean,sentinel1,covmat,quantile
9,4,0.0215,0.0215266722615692,6.61069613518961e-05,False,0.9999,0.999900000001634,5,0,chipmean,sentinel1,covmat,quantile
9,5,0.1012,0.101205056325435,6.61069613518961e-05,False,0.9999,0.999900000001634,5,0,chipmean,sentinel1,covmat,quantile
1,1,0.5955,0.621472107838215,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
1,2,0.1992,0.225202546701974,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
1,3,0.2053,0.232054897900143,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
1,4,0.0,-0.0591592178994317,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
1,5,0.0,-0.0195703345409008,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
2,1,0.0,-0.0491943253107733,0.0287686612978416,False,1.0,0.999999999999999,3,2,chipmean,sentinel1,covmat,chip_mean
2,2,0.1874,0.226202927090757,0.0287686612978416,False,1.0,0.999999999999999,3,2,chipmean,sentinel1,covmat,chip_mean
2,3,0.3859,0.423486836456786,0.0287686612978416,False,1.0,0.999999999999999,3,2,chipmean,sentinel1,covmat,chip_mean
2,4,0.0,-0.0495588407520268,0.0287686612978416,False,1.0,0.999999999999999,3,2,chipmean,sentinel1,covmat,chip_mean
2,5,0.4267,0.449063402515257,0.0287686612978416,False,1.0,0.999999999999999,3,2,chipmean,sentinel1,covmat,chip_mean
3,1,0.0281,0.0280674706872563,0.0287686612978416,False,0.9999,0.9999,5,0,chipmean,sentinel1,covmat,chip_mean
3,2,0.403,0.403011777868285,0.0287686612978416,False,0.9999,0.9999,5,0,chipmean,sentinel1,covmat,chip_mean
3,3,0.0672,0.0671981566522204,0.0287686612978416,False,0.9999,0.9999,5,0,chipmean,sentinel1,covmat,chip_mean
3,4,0.4356,0.435616364342987,0.0287686612978416,False,0.9999,0.9999,5,0,chipmean,sentinel1,covmat,chip_mean
3,5,0.066,0.0660062304492509,0.0287686612978416,False,0.9999,0.9999,5,0,chipmean,sentinel1,covmat,chip_mean
4,1,0.0,-0.0386469976984339,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
4,2,0.5466,0.553264910068357,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
4,3,0.0082,0.0361786670446458,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
4,4,0.0,-0.0039295901286228,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
4,5,0.4452,0.453133010714055,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
5,1,0.0,-0.0352760527544854,0.0287686612978416,False,0.9999,0.9999,3,1,chipmean,sentinel1,covmat,chip_mean
5,2,0.0,0.0082993151214431,0.0287686612978416,False,0.9999,0.9999,3,1,chipmean,sentinel1,covmat,chip_mean
5,3,0.3811,0.396080218644487,0.0287686612978416,False,0.9999,0.9999,3,1,chipmean,sentinel1,covmat,chip_mean
5,4,0.2436,0.237981884068825,0.0287686612978416,False,0.9999,0.9999,3,1,chipmean,sentinel1,covmat,chip_mean
5,5,0.3752,0.39281463491973,0.0287686612978416,False,0.9999,0.9999,3,1,chipmean,sentinel1,covmat,chip_mean
6,1,0.1058,0.204296899488542,0.0287686612978416,False,1.0,1.0,2,2,chipmean,sentinel1,covmat,chip_mean
6,2,0.8942,0.875489012114688,0.0287686612978416,False,1.0,1.0,2,2,chipmean,sentinel1,covmat,chip_mean
6,3,0.0,-0.0618233263673731,0.0287686612978416,False,1.0,1.0,2,2,chipmean,sentinel1,covmat,chip_mean
6,4,0.0,0.0659407973128732,0.0287686612978416,False,1.0,1.0,2,2,chipmean,sentinel1,covmat,chip_mean
6,5,0.0,-0.0839033825487306,0.0287686612978416,False,1.0,1.0,2,2,chipmean,sentinel1,covmat,chip_mean
7,1,0.1465,0.177334301821075,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
7,2,0.0,-0.0425699001624463,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
7,3,0.6435,0.651672797660661,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
7,4,0.0,-0.0847149109659049,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
7,5,0.21,0.298277711646615,0.0287686612978416,False,1.0,1.0,3,2,chipmean,sentinel1,covmat,chip_mean
8,1,0.1219,0.121896257692786,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
8,2,0.0284,0.0283971813034721,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
8,3,0.287,0.286996500068266,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
8,4,0.1277,0.127705007972104,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
8,5,0.4348,0.434805052963371,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
9,1,0.6668,0.67165486164028,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,2,0.0131,0.0242588839992322,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,3,0.32,0.336656728777293,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,4,0.0,-0.0107218855131661,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,5,0.0,-0.0219485889036389,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
1,1,0.3956,0.551905033427142,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
1,2,0.1504,0.162137000320997,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
1,3,0.181,0.14940330206021,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
1,4,0.0411,-0.13085902099031,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
1,5,0.2319,0.267413685182117,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
2,1,0.1133,0.0508575727888547,9.99994439035756,False,1.0,1.00000000000003,5,1,chipmean,sentinel1,bspline,quantile
2,2,0.2807,0.340000375617022,9.99994439035756,False,1.0,1.00000000000003,5,1,chipmean,sentinel1,bspline,quantile
2,3,0.24,0.318607891573329,9.99994439035756,False,1.0,1.00000000000003,5,1,chipmean,sentinel1,bspline,quantile
2,4,0.0261,-0.175610451399579,9.99994439035756,False,1.0,1.00000000000003,5,1,chipmean,sentinel1,bspline,quantile
2,5,0.3399,0.4661446114204,9.99994439035756,False,1.0,1.00000000000003,5,1,chipmean,sentinel1,bspline,quantile
3,1,0.0,-0.0180718588446256,9.99994439035756,False,1.0,1.0,4,1,chipmean,sentinel1,bspline,quantile
3,2,0.3588,0.301677018162422,9.99994439035756,False,1.0,1.0,4,1,chipmean,sentinel1,bspline,quantile
3,3,0.1173,0.127672691951323,9.99994439035756,False,1.0,1.0,4,1,chipmean,sentinel1,bspline,quantile
3,4,0.3735,0.440205314473489,9.99994439035756,False,1.0,1.0,4,1,chipmean,sentinel1,bspline,quantile
3,5,0.1504,0.148516834257392,9.99994439035756,False,1.0,1.0,4,1,chipmean,sentinel1,bspline,quantile
4,1,0.0451,-0.0500206871874435,9.99994439035756,False,1.0001,1.00010000000016,5,1,chipmean,sentinel1,bspline,quantile
4,2,0.3577,0.396924406384828,9.99994439035756,False,1.0001,1.00010000000016,5,1,chipmean,sentinel1,bspline,quantile
4,3,0.0614,0.0863045870324216,9.99994439035756,False,1.0001,1.00010000000016,5,1,chipmean,sentinel1,bspline,quantile
4,4,0.244,0.268414149949313,9.99994439035756,False,1.0001,1.00010000000016,5,1,chipmean,sentinel1,bspline,quantile
4,5,0.2919,0.298477543821044,9.99994439035756,False,1.0001,1.00010000000016,5,1,chipmean,sentinel1,bspline,quantile
5,1,0.0156,-0.0488865888097748,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
5,2,0.1616,0.11052179938017,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
5,3,0.2843,0.378905163069869,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
5,4,0.3012,0.302458967090537,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
5,5,0.2373,0.257000659269357,9.99994439035756,False,1.0,1.00000000000016,5,1,chipmean,sentinel1,bspline,quantile
6,1,0.2645,0.316531091492815,9.99994439035756,False,1.0,1.00000000000011,3,2,chipmean,sentinel1,bspline,quantile
6,2,0.5683,0.646151645992192,9.99994439035756,False,1.0,1.00000000000011,3,2,chipmean,sentinel1,bspline,quantile
6,3,0.0,-0.0632155649980914,9.99994439035756,False,1.0,1.00000000000011,3,2,chipmean,sentinel1,bspline,quantile
6,4,0.1672,0.266852838004012,9.99994439035756,False,1.0,1.00000000000011,3,2,chipmean,sentinel1,bspline,quantile
6,5,0.0,-0.166320010490817,9.99994439035756,False,1.0,1.00000000000011,3,2,chipmean,sentinel1,bspline,quantile
7,1,0.2553,0.245186257598048,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,2,0.1427,0.147949482325056,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,3,0.3623,0.464711701884398,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,4,0.0,-0.223379546012927,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,5,0.2397,0.365532104205161,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
8,1,0.1159,0.0082708910026198,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,2,0.2066,0.222341283774979,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,3,0.3076,0.334201071861307,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,4,0.136,0.125485381711439,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,5,0.2339,0.309701371649585,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
9,1,0.4428,0.516832421136333,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,2,0.2643,0.217599858955319,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,3,0.1701,0.251389576297605,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,4,0.0215,0.0057855992054337,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,5,0.1012,0.0082925444055602,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
1,1,0.224,0.223988772498139,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,2,0.0542,0.0541666125320379,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,3,0.0013,0.0013452680856817,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,4,0.5345,0.534500869183278,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,5,0.186,0.185998477700862,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
2,1,0.0,-0.518776890995513,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,2,0.6124,0.746396605452969,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,3,0.0046,0.0685974717472675,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
