sensor,treatment_site_id,period,method,band,observed,synthetic_decoded,effect
sentinel1,treatment_0001,P11,scm,VV,-9.967316627502441,-9.572689056396484,-0.39462757110595703
sentinel1,treatment_0001,P11,scm,VH,-15.811805725097656,-15.834118843078613,0.02231311798095703
sentinel1,treatment_0001,P11,scm,VV_minus_VH,5.844489574432373,6.261429786682129,-0.41694021224975586
sentinel1,treatment_0001,P11,ascm,VV,-9.967316627502441,-9.439319610595703,-0.5279970169067383
sentinel1,treatment_0001,P11,ascm,VH,-15.811805725097656,-15.78994083404541,-0.021864891052246094
sentinel1,treatment_0001,P11,ascm,VV_minus_VH,5.844489574432373,6.350622177124023,-0.5061326026916504
sentinel1,treatment_0001,P12,scm,VV,,-9.944548606872559,
sentinel1,treatment_0001,P12,scm,VH,,-16.493793487548828,
sentinel1,treatment_0001,P12,scm,VV_minus_VH,,6.549246788024902,
sentinel1,treatment_0001,P12,ascm,VV,,-9.856112480163574,
sentinel1,treatment_0001,P12,ascm,VH,,-16.292877197265625,
sentinel1,treatment_0001,P12,ascm,VV_minus_VH,,6.436763763427734,
sentinel1,treatment_0001,P13,scm,VV,-10.488144874572754,-9.879016876220703,-0.6091279983520508
sentinel1,treatment_0001,P13,scm,VH,-15.913108825683594,-15.672858238220215,-0.2402505874633789
sentinel1,treatment_0001,P13,scm,VV_minus_VH,5.424965858459473,5.7938408851623535,-0.36887502670288086
sentinel1,treatment_0001,P13,ascm,VV,-10.488144874572754,-9.8508939743042,-0.6372509002685547
sentinel1,treatment_0001,P13,ascm,VH,-15.913108825683594,-15.693830490112305,-0.21927833557128906
sentinel1,treatment_0001,P13,ascm,VV_minus_VH,5.424965858459473,5.842935562133789,-0.4179697036743164
sentinel1,treatment_0001,P14,scm,VV,-9.73957633972168,-9.526766777038574,-0.21280956268310547
sentinel1,treatment_0001,P14,scm,VH,-15.444389343261719,-15.308850288391113,-0.13553905487060547
sentinel1,treatment_0001,P14,scm,VV_minus_VH,5.7048139572143555,5.782083511352539,-0.0772695541381836
sentinel1,treatment_0001,P14,ascm,VV,-9.73957633972168,-9.625969886779785,-0.11360645294189453
sentinel1,treatment_0001,P14,ascm,VH,-15.444389343261719,-15.339683532714844,-0.104705810546875
sentinel1,treatment_0001,P14,ascm,VV_minus_VH,5.7048139572143555,5.713712692260742,-0.008898735046386719
sentinel1,treatment_0001,P15,scm,VV,,,
sentinel1,treatment_0001,P15,scm,VH,,,
sentinel1,treatment_0001,P15,scm,VV_minus_VH,,,
sentinel1,treatment_0001,P15,ascm,VV,,,
sentinel1,treatment_0001,P15,ascm,VH,,,
sentinel1,treatment_0001,P15,ascm,VV_minus_VH,,,
sentinel1,treatment_0001,P16,scm,VV,-9.812834739685059,-9.344088554382324,-0.4687461853027344
sentinel1,treatment_0001,P16,scm,VH,-15.267170906066895,-15.354546546936035,0.08737564086914062
sentinel1,treatment_0001,P16,scm,VV_minus_VH,5.454336643218994,6.010457992553711,-0.5561213493347168
sentinel1,treatment_0001,P16,ascm,VV,-9.812834739685059,-9.424357414245605,-0.3884773254394531
sentinel1,treatment_0001,P16,ascm,VH,-15.267170906066895,-15.386942863464355,0.11977195739746094
sentinel1,treatment_0001,P16,ascm,VV_minus_VH,5.454336643218994,5.962584972381592,-0.5082483291625977
sentinel1,treatment_0001,P17,scm,VV,-10.895059585571289,-10.218198776245117,-0.6768608093261719
sentinel1,treatment_0001,P17,scm,VH,-17.256847381591797,-16.223896026611328,-1.0329513549804688
sentinel1,treatment_0001,P17,scm,VV_minus_VH,6.36178731918335,6.0056986808776855,0.35608863830566406
sentinel1,treatment_0001,P17,ascm,VV,-10.895059585571289,-10.33909797668457,-0.5559616088867188
sentinel1,treatment_0001,P17,ascm,VH,-17.256847381591797,-16.28664779663086,-0.9701995849609375
sentinel1,treatment_0001,P17,ascm,VV_minus_VH,6.36178731918335,5.947550296783447,0.41423702239990234
sentinel1,treatment_0001,P18,scm,VV,-10.68575382232666,-10.622110366821289,-0.0636434555053711
sentinel1,treatment_0001,P18,scm,VH,-17.195091247558594,-16.794086456298828,-0.4010047912597656
sentinel1,treatment_0001,P18,scm,VV_minus_VH,6.509337425231934,6.171976089477539,0.33736133575439453
