label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
genfill,fsc,treatment_0001,P01,1,False,0.9748703327251043,0.09090712726769942,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P02,2,False,0.9953703550991823,0.0928187642109856,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P03,3,False,0.969195083431295,0.09037790754225547,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P04,4,False,0.9322427498688083,0.08693208466998358,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P05,5,False,1.0109921564810567,0.0942755047011829,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P06,6,False,0.8046226397879942,0.07503144804213185,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P07,7,False,0.9168643982584561,0.08549804598803723,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P08,8,False,0.9986727240084181,0.09312671169963017,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P09,9,False,0.945040391566336,0.08812547091169173,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P10,10,False,1.0105763468659947,0.09423673025464713,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P11,11,True,1.0509081578538493,0.09799769102176852,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P12,12,True,1.0904094563440845,0.10168120609915653,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P13,13,True,1.051905728360655,0.09809071495118402,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P14,14,True,0.8323384016197979,0.07761595615935189,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P16,15,True,1.159178379647313,0.10809394126293352,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P17,16,True,1.2477339158605603,0.11635178759444877,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P18,17,True,0.9407031903365145,0.0877210248115803,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P19,18,True,1.0005846057895953,0.09330499559500366,sentinel1,covmat,combined
genfill,fsc,treatment_0001,P20,19,True,1.142459419338798,0.1065348901752866,sentinel1,covmat,combined
