label,sensor,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,repr,method
genfill,sentinel1,P11,treatment_0001,1,2,6,0.3333333333333333,1.0509166426832,1.14666376196417,combined,covmat
genfill,sentinel1,P11,treatment_0002,2,4,6,0.6666666666666666,0.937167090036163,1.07983893140413,combined,covmat
genfill,sentinel1,P11,treatment_0003,3,6,6,1.0,0.682162567598364,1.08779282226919,combined,covmat
genfill,sentinel1,P11,treatment_0004,4,3,6,0.5,1.05527297001593,1.07107301100757,combined,covmat
genfill,sentinel1,P11,treatment_0005,5,3,6,0.5,0.888399323502622,1.06793676854934,combined,covmat
genfill,sentinel1,P11,treatment_0006,6,1,6,0.16666666666666666,1.05801363676482,0.999643935931091,combined,covmat
genfill,sentinel1,P11,treatment_0007,7,1,6,0.16666666666666666,1.13969069033362,1.11035267700504,combined,covmat
genfill,sentinel1,P11,treatment_0008,8,3,6,0.5,0.975984859059328,1.01047700103222,combined,covmat
genfill,sentinel1,P11,treatment_0009,9,5,6,0.8333333333333334,0.783836532335132,1.04999328137805,combined,covmat
genfill,sentinel1,P11,treatment_0010,10,6,6,1.0,0.750053537462668,1.09968990510649,combined,covmat
genfill,sentinel2,P11,treatment_0001,1,3,6,0.5,1.36224577711285,2.1091199994825,combined,covmat
genfill,sentinel2,P11,treatment_0002,2,1,6,0.16666666666666666,1.03466502919274,1.0089467709635,combined,covmat
genfill,sentinel2,P11,treatment_0003,3,2,6,0.3333333333333333,1.10280646756831,1.29537859694358,combined,covmat
genfill,sentinel2,P11,treatment_0004,4,2,6,0.3333333333333333,1.63377167699154,1.65581806089824,combined,covmat
genfill,sentinel2,P11,treatment_0005,5,4,6,0.6666666666666666,1.26259270438874,1.8117142853062,combined,covmat
genfill,sentinel2,P11,treatment_0006,6,3,6,0.5,1.15261559193538,1.25706760424657,combined,covmat
genfill,sentinel2,P11,treatment_0007,7,1,6,0.16666666666666666,1.51320483720168,1.5073873854256,combined,covmat
genfill,sentinel2,P11,treatment_0008,8,1,6,0.16666666666666666,1.4065034573006,1.35077133779459,combined,covmat
genfill,sentinel2,P11,treatment_0009,9,3,6,0.5,1.18403387389367,1.89739671778848,combined,covmat
genfill,sentinel2,P11,treatment_0010,10,2,6,0.3333333333333333,1.44871599255529,1.52973040075192,combined,covmat
