group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,method,repr
1,1,0.4126,0.412581552905751,6.61069613518961e-05,False,1.0,0.999999999993491,5,0,genfill,sentinel1,covmat,combined
1,2,0.1518,0.1518038224062,6.61069613518961e-05,False,1.0,0.999999999993491,5,0,genfill,sentinel1,covmat,combined
1,3,0.1749,0.174905367008839,6.61069613518961e-05,False,1.0,0.999999999993491,5,0,genfill,sentinel1,covmat,combined
1,4,0.031,0.0309622429281487,6.61069613518961e-05,False,1.0,0.999999999993491,5,0,genfill,sentinel1,covmat,combined
1,5,0.2297,0.229747014744553,6.61069613518961e-05,False,1.0,0.999999999993491,5,0,genfill,sentinel1,covmat,combined
2,1,0.1026,0.102585132381527,6.61069613518961e-05,False,1.0,1.00000000000686,5,0,genfill,sentinel1,covmat,combined
2,2,0.2819,0.28188240122234,6.61069613518961e-05,False,1.0,1.00000000000686,5,0,genfill,sentinel1,covmat,combined
2,3,0.2492,0.249156656710765,6.61069613518961e-05,False,1.0,1.00000000000686,5,0,genfill,sentinel1,covmat,combined
2,4,0.0163,0.0163292716063015,6.61069613518961e-05,False,1.0,1.00000000000686,5,0,genfill,sentinel1,covmat,combined
2,5,0.35,0.350046538085925,6.61069613518961e-05,False,1.0,1.00000000000686,5,0,genfill,sentinel1,covmat,combined
3,1,0.0,-0.0040017662427089,6.61069613518961e-05,False,1.0001,1.00010000000449,4,1,genfill,sentinel1,covmat,combined
3,2,0.3618,0.362459469462278,6.61069613518961e-05,False,1.0001,1.00010000000449,4,1,genfill,sentinel1,covmat,combined
3,3,0.116,0.118402630519541,6.61069613518961e-05,False,1.0001,1.00010000000449,4,1,genfill,sentinel1,covmat,combined
3,4,0.3783,0.378095087736828,6.61069613518961e-05,False,1.0001,1.00010000000449,4,1,genfill,sentinel1,covmat,combined
3,5,0.144,0.145144578528553,6.61069613518961e-05,False,1.0001,1.00010000000449,4,1,genfill,sentinel1,covmat,combined
4,1,0.0247,0.0246778658026059,6.61069613518961e-05,False,1.0001,1.00010000001269,5,0,genfill,sentinel1,covmat,combined
4,2,0.3781,0.378099313463277,6.61069613518961e-05,False,1.0001,1.00010000001269,5,0,genfill,sentinel1,covmat,combined
4,3,0.0732,0.0732136943541378,6.61069613518961e-05,False,1.0001,1.00010000001269,5,0,genfill,sentinel1,covmat,combined
4,4,0.2295,0.229516967025687,6.61069613518961e-05,False,1.0001,1.00010000001269,5,0,genfill,sentinel1,covmat,combined
4,5,0.2946,0.294592159366982,6.61069613518961e-05,False,1.0001,1.00010000001269,5,0,genfill,sentinel1,covmat,combined
5,1,0.0013,0.0013022045731071,6.61069613518961e-05,False,0.9999,0.999899999993022,5,0,genfill,sentinel1,covmat,combined
5,2,0.1462,0.14621601806045,6.61069613518961e-05,False,0.9999,0.999899999993022,5,0,genfill,sentinel1,covmat,combined
5,3,0.3003,0.300289936196371,6.61069613518961e-05,False,0.9999,0.999899999993022,5,0,genfill,sentinel1,covmat,combined
5,4,0.3096,0.309587104819873,6.61069613518961e-05,False,0.9999,0.999899999993022,5,0,genfill,sentinel1,covmat,combined
5,5,0.2425,0.242504736343222,6.61069613518961e-05,False,0.9999,0.999899999993022,5,0,genfill,sentinel1,covmat,combined
6,1,0.2578,0.280093554694745,6.61069613518961e-05,False,0.9999,0.999900000002984,3,2,genfill,sentinel1,covmat,combined
6,2,0.5898,0.593887021444651,6.61069613518961e-05,False,0.9999,0.999900000002984,3,2,genfill,sentinel1,covmat,combined
6,3,0.0,-0.0137366090971085,6.61069613518961e-05,False,0.9999,0.999900000002984,3,2,genfill,sentinel1,covmat,combined
6,4,0.1523,0.19010658754485,6.61069613518961e-05,False,0.9999,0.999900000002984,3,2,genfill,sentinel1,covmat,combined
6,5,0.0,-0.0504505545841525,6.61069613518961e-05,False,0.9999,0.999900000002984,3,2,genfill,sentinel1,covmat,combined
7,1,0.4639,0.46864836737601,6.61069613518961e-05,False,1.0001,1.00009999999473,4,1,genfill,sentinel1,covmat,combined
7,2,0.0018,0.0496163312953512,6.61069613518961e-05,False,1.0001,1.00009999999473,4,1,genfill,sentinel1,covmat,combined
7,3,0.0,-0.076681515208584,6.61069613518961e-05,False,1.0001,1.00009999999473,4,1,genfill,sentinel1,covmat,combined
7,4,0.1108,0.136727000947064,6.61069613518961e-05,False,1.0001,1.00009999999473,4,1,genfill,sentinel1,covmat,combined
7,5,0.4236,0.421789815584894,6.61069613518961e-05,False,1.0001,1.00009999999473,4,1,genfill,sentinel1,covmat,combined
8,1,0.2632,0.270938566710131,6.61069613518961e-05,False,1.0001,1.00009999999025,4,1,genfill,sentinel1,covmat,combined
8,2,0.1224,0.146121549448787,6.61069613518961e-05,False,1.0001,1.00009999999025,4,1,genfill,sentinel1,covmat,combined
8,3,0.3759,0.373689769856247,6.61069613518961e-05,False,1.0001,1.00009999999025,4,1,genfill,sentinel1,covmat,combined
8,4,0.0,-0.0579676261704662,6.61069613518961e-05,False,1.0001,1.00009999999025,4,1,genfill,sentinel1,covmat,combined
8,5,0.2386,0.267317740145552,6.61069613518961e-05,False,1.0001,1.00009999999025,4,1,genfill,sentinel1,covmat,combined
