label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
genfill,fsc,treatment_0001,P01,1,False,0.5905153855658173,0.05905153855658173,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P02,2,False,0.6049022891104378,0.060490228911043775,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P03,3,False,0.579132593033147,0.05791325930331471,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P04,4,False,0.5720220954381404,0.05720220954381404,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P05,5,False,0.620424383761313,0.0620424383761313,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P06,6,False,0.49283768617154355,0.04928376861715436,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P07,7,False,0.5581375614109143,0.055813756141091436,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P08,8,False,0.6070223472813626,0.06070223472813626,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P09,9,False,0.5749469874457152,0.05749469874457152,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P10,10,False,0.6076453218379622,0.060764532183796224,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P11,11,True,0.6360201428706853,0.06360201428706853,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P12,12,True,0.6566170209986696,0.06566170209986696,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P13,13,True,0.6311638780692556,0.06311638780692556,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P14,14,True,0.5054560342348462,0.050545603423484624,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P16,15,True,0.6930304119096868,0.06930304119096868,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P17,16,True,0.735963247909966,0.0735963247909966,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P18,17,True,0.5666448988616049,0.05666448988616048,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P19,18,True,0.6000940644769398,0.06000940644769398,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P20,19,True,0.6872606127953347,0.06872606127953347,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P01,1,False,0.5156356094175036,0.05156356094175036,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P02,2,False,0.5941223376593278,0.05941223376593278,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P03,3,False,0.5782591744767083,0.05782591744767083,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P04,4,False,0.6221802052412818,0.06221802052412818,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P05,5,False,0.4599345417676894,0.045993454176768936,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P06,6,False,0.6020568495013698,0.06020568495013698,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P07,7,False,0.7201152660242156,0.07201152660242156,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P08,8,False,0.5180420146603982,0.05180420146603982,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P09,9,False,0.6000862820416963,0.060008628204169634,sentinel1,covmat,quantile
genfill,fsc,treatment_0002,P10,10,False,0.538229642563631,0.053822964256363105,sentinel1,covmat,quantile
