label,sensor,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,repr,method
genfill,sentinel1,P11,treatment_0001,1,2,6,0.3333333333333333,0.636021602160585,0.685884712059783,quantile,covmat
genfill,sentinel1,P11,treatment_0002,2,3,6,0.5,0.572083716024165,0.645984493856688,quantile,covmat
genfill,sentinel1,P11,treatment_0003,3,6,6,1.0,0.417199143778982,0.644118451571732,quantile,covmat
genfill,sentinel1,P11,treatment_0004,4,1,6,0.16666666666666666,0.647206575782987,0.638592221959153,quantile,covmat
genfill,sentinel1,P11,treatment_0005,5,3,6,0.5,0.548654052227916,0.650414285962371,quantile,covmat
genfill,sentinel1,P11,treatment_0006,6,1,6,0.16666666666666666,0.634041089156287,0.607589914731665,quantile,covmat
genfill,sentinel1,P11,treatment_0007,7,1,6,0.16666666666666666,0.681571605791463,0.673131801942565,quantile,covmat
genfill,sentinel1,P11,treatment_0008,8,4,6,0.6666666666666666,0.587009477663022,0.60991383167036,quantile,covmat
genfill,sentinel1,P11,treatment_0009,9,5,6,0.8333333333333334,0.476788752475575,0.647121695918582,quantile,covmat
genfill,sentinel1,P11,treatment_0010,10,6,6,1.0,0.457394623636654,0.659878982262469,quantile,covmat
genfill,sentinel2,P11,treatment_0001,1,3,6,0.5,0.909800030497796,1.3922595224656,quantile,covmat
genfill,sentinel2,P11,treatment_0002,2,1,6,0.16666666666666666,0.718635660980439,0.70703079605799,quantile,covmat
genfill,sentinel2,P11,treatment_0003,3,3,6,0.5,0.78294247336484,0.91796051775131,quantile,covmat
genfill,sentinel2,P11,treatment_0004,4,2,6,0.3333333333333333,1.07449020357459,1.09109836022986,quantile,covmat
genfill,sentinel2,P11,treatment_0005,5,4,6,0.6666666666666666,0.869962987795434,1.20022998049896,quantile,covmat
genfill,sentinel2,P11,treatment_0006,6,3,6,0.5,0.778445496008598,0.859834683808946,quantile,covmat
genfill,sentinel2,P11,treatment_0007,7,1,6,0.16666666666666666,1.01474363077859,0.999018150361547,quantile,covmat
genfill,sentinel2,P11,treatment_0008,8,2,6,0.3333333333333333,0.93348181883231,0.940062118464825,quantile,covmat
genfill,sentinel2,P11,treatment_0009,9,3,6,0.5,0.802720465630262,1.27428731809596,quantile,covmat
genfill,sentinel2,P11,treatment_0010,10,2,6,0.3333333333333333,1.00141620120791,1.00898005957945,quantile,covmat
