site_id,sensor,period_id,seq,valid_pixel_fraction,fill_method,arm
counterfactual_0001_01,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_01,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_01,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_01,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_01,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_01,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_01,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_01,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_01,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_01,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_01,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_01,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_01,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_01,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_01,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_01,sentinel1,after_P06,16,1.0,none,
counterfactual_0001_01,sentinel1,after_P07,17,1.0,none,
counterfactual_0001_01,sentinel1,after_P08,18,1.0,none,
counterfactual_0001_01,sentinel1,after_P09,19,1.0,none,
counterfactual_0001_01,sentinel1,after_P10,20,1.0,none,
counterfactual_0001_01,sentinel2,before_P01,1,0.9854916184687776,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P02,2,1.0,none,
counterfactual_0001_01,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P04,4,0.8498186452308597,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P05,5,0.4439760807763944,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P06,6,0.0,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P07,7,0.4403489853935888,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P08,8,1.0,none,
counterfactual_0001_01,sentinel2,before_P09,9,0.9044211351828252,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,before_P10,10,0.966865993530046,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P01,11,1.0,none,
counterfactual_0001_01,sentinel2,after_P02,12,1.0,none,
counterfactual_0001_01,sentinel2,after_P03,13,0.0107832565434761,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P04,14,0.3254582884030977,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P05,15,,still_missing,
counterfactual_0001_01,sentinel2,after_P06,16,1.0,none,
counterfactual_0001_01,sentinel2,after_P07,17,0.0,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P08,18,0.0254876972845799,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P09,19,0.9839231447897264,generated_s1_to_s2,A
counterfactual_0001_01,sentinel2,after_P10,20,1.0,none,
counterfactual_0001_02,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_02,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_02,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_02,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_02,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_02,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_02,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_02,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_02,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_02,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_02,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_02,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_02,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_02,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_02,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_02,sentinel1,after_P06,16,1.0,none,
counterfactual_0001_02,sentinel1,after_P07,17,1.0,none,
counterfactual_0001_02,sentinel1,after_P08,18,1.0,none,
counterfactual_0001_02,sentinel1,after_P09,19,1.0,none,
counterfactual_0001_02,sentinel1,after_P10,20,1.0,none,
counterfactual_0001_02,sentinel2,before_P01,1,0.2279188314871091,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,before_P02,2,0.7302225272032153,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,before_P04,4,1.0,none,
counterfactual_0001_02,sentinel2,before_P05,5,1.0,none,
counterfactual_0001_02,sentinel2,before_P06,6,0.3017351240074502,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,before_P07,7,0.83285952357612,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,before_P08,8,1.0,none,
counterfactual_0001_02,sentinel2,before_P09,9,1.0,none,
counterfactual_0001_02,sentinel2,before_P10,10,1.0,none,
counterfactual_0001_02,sentinel2,after_P01,11,1.0,none,
counterfactual_0001_02,sentinel2,after_P02,12,1.0,none,
counterfactual_0001_02,sentinel2,after_P03,13,0.29320654837761,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,after_P04,14,0.8890304872071365,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,after_P05,15,,still_missing,
counterfactual_0001_02,sentinel2,after_P06,16,1.0,none,
counterfactual_0001_02,sentinel2,after_P07,17,0.5505342613469267,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,after_P08,18,0.0,generated_s1_to_s2,A
counterfactual_0001_02,sentinel2,after_P09,19,1.0,none,
counterfactual_0001_02,sentinel2,after_P10,20,1.0,none,
counterfactual_0001_03,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_03,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_03,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_03,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_03,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_03,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_03,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_03,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_03,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_03,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_03,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_03,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_03,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_03,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_03,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_03,sentinel1,after_P06,16,1.0,none,
