arm,sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,improvement,ascm_better,latent_frac_outside_01
main,sentinel1,treatment_0001,frozen_joint,pooled,1.0831053276682114,1.0831053201239003,7.544311175777807e-09,True,0.0
main,sentinel1,treatment_0001,expanding,P09,1.0726009457827843,1.0726009600077882,-1.4225003841517037e-08,False,0.0
main,sentinel1,treatment_0001,expanding,P10,1.0937128111418066,1.0937128111151735,2.663314013773288e-11,True,0.0
main,sentinel1,treatment_0002,frozen_joint,pooled,1.0756041711828181,1.0756041778337913,-6.650973105593039e-09,False,0.0
main,sentinel1,treatment_0002,expanding,P09,1.0647712014760498,1.0647712147789237,-1.3302873913545454e-08,False,0.0
main,sentinel1,treatment_0002,expanding,P10,1.086323972111535,1.0863239721015718,9.963141422986155e-12,True,0.0
main,sentinel1,treatment_0003,frozen_joint,pooled,1.0361809962743116,1.036180996277905,-3.5933478415017817e-12,False,0.0
main,sentinel1,treatment_0003,expanding,P09,1.0407805994932833,1.0407805995261241,-3.284084115762198e-11,False,0.0
main,sentinel1,treatment_0003,expanding,P10,1.0315919922783519,1.0315919922584167,1.993516463016931e-11,True,0.0
main,sentinel1,treatment_0004,frozen_joint,pooled,1.0659306665129467,1.0659306657701721,7.427745085664128e-10,True,0.0
main,sentinel1,treatment_0004,expanding,P09,1.0719831658701138,1.0719831664450636,-5.749498654950003e-10,False,0.0
main,sentinel1,treatment_0004,expanding,P10,1.059868066344029,1.05986806288792,3.4561089545803725e-09,True,0.0
main,sentinel1,treatment_0005,frozen_joint,pooled,1.0646201493024294,1.0646201492911327,1.1296741320165893e-11,True,0.0
main,sentinel1,treatment_0005,expanding,P09,1.0635993993171668,1.0635993993138197,3.347100374639922e-12,True,0.0
main,sentinel1,treatment_0005,expanding,P10,1.0659601559252327,1.0659601559660672,-4.083444693492311e-11,False,0.0
main,sentinel1,treatment_0006,frozen_joint,pooled,1.0821579671005093,1.0821579670204475,8.006173501939884e-11,True,0.0
main,sentinel1,treatment_0006,expanding,P09,1.0683103673910308,1.0683103731124126,-5.721381812762161e-09,False,0.0
main,sentinel1,treatment_0006,expanding,P10,1.0955164018660142,1.0955163886884802,1.3177533952912768e-08,True,0.0
main,sentinel1,treatment_0007,frozen_joint,pooled,1.0508336504887548,1.0508336494616053,1.0271494765845546e-09,True,0.0
main,sentinel1,treatment_0007,expanding,P09,1.0540963254167872,1.054096323695546,1.7212411496103641e-09,True,0.0
main,sentinel1,treatment_0007,expanding,P10,1.0475132056312397,1.0475132056089729,2.2266855026487065e-11,True,0.0
main,sentinel1,treatment_0008,frozen_joint,pooled,1.052431904366319,1.0524319072388515,-2.87253243413943e-09,False,0.0
main,sentinel1,treatment_0008,expanding,P09,1.0593164124268981,1.059316416245219,-3.818320992721169e-09,False,0.0
main,sentinel1,treatment_0008,expanding,P10,1.0454411434646242,1.0454411439892861,-5.24661869505394e-10,False,0.0010204081632653062
main,sentinel1,treatment_0009,frozen_joint,pooled,1.0549725966481789,1.0549725982919165,-1.6437375904843066e-09,False,0.0
main,sentinel1,treatment_0009,expanding,P09,1.0572733608501497,1.057273363233901,-2.3837514184776865e-09,False,0.0
main,sentinel1,treatment_0009,expanding,P10,1.052413924728391,1.052413925540941,-8.125500272626596e-10,False,0.0
