arm,sensor,treatment_site_id,fit_window,donor,weight,largest_donor_weight,effective_donors,n_train_periods
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_03,0.23857913967089672,0.23857913967089672,4.950898380209459,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0007_04,0.193221702923538,0.23857913967089672,4.950898380209459,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_04,0.18409728726174246,0.23857913967089672,4.950898380209459,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0010_03,0.18613582870083578,0.23857913967089672,4.950898380209459,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_02,0.19796604144298716,0.23857913967089672,4.950898380209459,8
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_03,0.238371901480503,0.238371901480503,4.951537322230509,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0007_04,0.19413249329651738,0.238371901480503,4.951537322230509,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_04,0.18219438650834963,0.238371901480503,4.951537322230509,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0010_03,0.18907411385052422,0.238371901480503,4.951537322230509,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_02,0.19622710486410583,0.238371901480503,4.951537322230509,9
main,sentinel1,treatment_0002,P01-08,counterfactual_0002_01,0.20432819658999757,0.20432819658999757,4.996994296298865,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0006_03,0.19162487583228388,0.20432819658999757,4.996994296298865,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0001_05,0.20274133790997295,0.20432819658999757,4.996994296298865,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0007_01,0.20404817841183556,0.20432819658999757,4.996994296298865,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0010_04,0.19725741125591012,0.20432819658999757,4.996994296298865,8
main,sentinel1,treatment_0002,P01-09,counterfactual_0002_01,0.20712483847342222,0.20712606971341263,4.994729742098363,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0006_03,0.19000840036112857,0.20712606971341263,4.994729742098363,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0001_05,0.19732921512938892,0.20712606971341263,4.994729742098363,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0007_01,0.20712606971341263,0.20712606971341263,4.994729742098363,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0010_04,0.19841147632264775,0.20712606971341263,4.994729742098363,9
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_01,0.23859756403369217,0.23859756403369217,4.946758435226642,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0008_03,0.19629384131901656,0.23859756403369217,4.946758435226642,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0006_05,0.1785507348022216,0.23859756403369217,4.946758435226642,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0004_01,0.20030245730559507,0.23859756403369217,4.946758435226642,8
main,sentinel1,treatment_0003,P01-08,counterfactual_0003_05,0.18625540253947462,0.23859756403369217,4.946758435226642,8
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_01,0.23740158025438302,0.23740158025438302,4.950327884308217,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0008_03,0.1932349903500334,0.23740158025438302,4.950327884308217,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0006_05,0.1821019461034062,0.23740158025438302,4.950327884308217,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0004_01,0.20259462586808027,0.23740158025438302,4.950327884308217,9
main,sentinel1,treatment_0003,P01-09,counterfactual_0003_05,0.18466685742409716,0.23740158025438302,4.950327884308217,9
main,sentinel1,treatment_0004,P01-08,counterfactual_0005_05,0.21859759334339893,0.21859759334339893,4.983849823084857,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0001_01,0.19003645508727235,0.21859759334339893,4.983849823084857,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0002_03,0.2067015743611577,0.21859759334339893,4.983849823084857,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0006_02,0.1878346339064119,0.21859759334339893,4.983849823084857,8
main,sentinel1,treatment_0004,P01-08,counterfactual_0010_03,0.1968297433017592,0.21859759334339893,4.983849823084857,8
main,sentinel1,treatment_0004,P01-09,counterfactual_0005_05,0.21966786315317424,0.21966786315317424,4.982907658344598,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0001_01,0.19022750944225467,0.21966786315317424,4.982907658344598,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0002_03,0.20528369296895937,0.21966786315317424,4.982907658344598,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0006_02,0.18690624027144892,0.21966786315317424,4.982907658344598,9
main,sentinel1,treatment_0004,P01-09,counterfactual_0010_03,0.19791469416416277,0.21966786315317424,4.982907658344598,9
main,sentinel1,treatment_0005,P01-08,counterfactual_0006_01,0.210375870237269,0.210375870237269,4.981608880982069,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0005_03,0.20222006565206133,0.210375870237269,4.981608880982069,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0004_05,0.20494931906389444,0.210375870237269,4.981608880982069,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0010_04,0.20618329938782204,0.210375870237269,4.981608880982069,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0001_04,0.17627144565895317,0.210375870237269,4.981608880982069,8
main,sentinel1,treatment_0005,P01-09,counterfactual_0006_01,0.21092642523499805,0.21092642523499805,4.970442413435976,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0005_03,0.20618928319928878,0.21092642523499805,4.970442413435976,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0004_05,0.20554246288552094,0.21092642523499805,4.970442413435976,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0010_04,0.20796113179498252,0.21092642523499805,4.970442413435976,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0001_04,0.16938069688520976,0.21092642523499805,4.970442413435976,9
main,sentinel1,treatment_0006,P01-08,counterfactual_0006_04,0.1954508095210528,0.2198773501457987,4.98542291839793,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0009_01,0.2198773501457987,0.2198773501457987,4.98542291839793,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0003_03,0.19466730990972433,0.2198773501457987,4.98542291839793,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0007_02,0.18827204632286096,0.2198773501457987,4.98542291839793,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0010_01,0.20173248410056324,0.2198773501457987,4.98542291839793,8
main,sentinel1,treatment_0006,P01-09,counterfactual_0006_04,0.19782456146323285,0.2193097548004453,4.983274377807971,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0009_01,0.2193097548004453,0.2193097548004453,4.983274377807971,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0003_03,0.19345936966235278,0.2193097548004453,4.983274377807971,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0007_02,0.1848345636377553,0.2193097548004453,4.983274377807971,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0010_01,0.2045717504362137,0.2193097548004453,4.983274377807971,9
main,sentinel1,treatment_0007,P01-08,counterfactual_0006_05,0.22509944712853097,0.22509944712853097,4.975422692295581,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0003_02,0.19400251189141773,0.22509944712853097,4.975422692295581,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0008_03,0.19680181029155913,0.22509944712853097,4.975422692295581,8
