group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,repr,method,T_0,treatment_site_id
1,1,0.6989,0.728948181530654,0.1,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0001
1,2,0.1527,0.237189132535299,0.1,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0001
1,3,0.0,-0.127915158888144,0.1,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0001
1,4,0.1484,0.21778586815883,0.1,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0001
1,5,0.0,-0.0560080233366396,0.1,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0001
1,1,0.6994,0.699400009251748,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,chip_mean,covmat,7,treatment_0001
1,2,0.0504,0.0504000092615526,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,chip_mean,covmat,7,treatment_0001
1,3,0.0,-5.9573242114474e-09,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,chip_mean,covmat,7,treatment_0001
1,4,0.2503,0.250300009254418,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,chip_mean,covmat,7,treatment_0001
1,5,0.0,-2.18103936862439e-08,1000000.0,False,1.0001,1.0001,3,2,maskdrop,sentinel2,chip_mean,covmat,7,treatment_0001
2,1,0.0,-0.0487159170470687,0.0316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0002
2,2,0.0,-0.130366818252646,0.0316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0002
2,3,0.0,0.0646994334648413,0.0316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0002
2,4,0.1941,0.231764715997562,0.0316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0002
