group,site_id,seq,n_valid_parcels,masked
1,treatment_0001,1,196,True
1,treatment_0001,2,195,True
1,treatment_0001,3,0,False
1,treatment_0001,4,44,True
1,treatment_0001,5,196,True
1,treatment_0001,6,0,False
1,treatment_0001,7,95,True
1,treatment_0001,8,149,True
1,treatment_0001,9,69,True
1,treatment_0001,10,196,True
1,treatment_0001,11,196,True
1,treatment_0001,12,196,True
1,treatment_0001,13,0,False
1,treatment_0001,14,30,True
1,treatment_0001,16,195,True
1,treatment_0001,17,0,False
1,treatment_0001,18,22,True
1,treatment_0001,19,196,True
1,treatment_0001,20,194,True
1,counterfactual_0001_01,1,193,True
1,counterfactual_0001_01,2,196,True
1,counterfactual_0001_01,3,0,False
1,counterfactual_0001_01,4,167,True
1,counterfactual_0001_01,5,88,True
1,counterfactual_0001_01,6,0,False
1,counterfactual_0001_01,7,86,True
1,counterfactual_0001_01,8,196,True
1,counterfactual_0001_01,9,178,True
1,counterfactual_0001_01,10,190,True
1,counterfactual_0001_01,11,196,True
1,counterfactual_0001_01,12,196,True
1,counterfactual_0001_01,13,0,False
1,counterfactual_0001_01,14,64,True
1,counterfactual_0001_01,16,196,True
1,counterfactual_0001_01,17,0,False
1,counterfactual_0001_01,18,4,False
1,counterfactual_0001_01,19,194,True
1,counterfactual_0001_01,20,196,True
1,counterfactual_0001_02,1,45,True
1,counterfactual_0001_02,2,141,True
1,counterfactual_0001_02,3,0,False
1,counterfactual_0001_02,4,196,True
1,counterfactual_0001_02,5,196,True
1,counterfactual_0001_02,6,61,True
1,counterfactual_0001_02,7,167,True
1,counterfactual_0001_02,8,196,True
1,counterfactual_0001_02,9,196,True
1,counterfactual_0001_02,10,196,True
1,counterfactual_0001_02,11,196,True
1,counterfactual_0001_02,12,196,True
1,counterfactual_0001_02,13,56,True
1,counterfactual_0001_02,14,175,True
1,counterfactual_0001_02,16,196,True
1,counterfactual_0001_02,17,110,True
1,counterfactual_0001_02,18,0,False
1,counterfactual_0001_02,19,196,True
1,counterfactual_0001_02,20,196,True
1,counterfactual_0001_03,1,196,True
1,counterfactual_0001_03,2,23,True
1,counterfactual_0001_03,3,196,True
1,counterfactual_0001_03,4,191,True
1,counterfactual_0001_03,5,196,True
1,counterfactual_0001_03,6,0,False
1,counterfactual_0001_03,7,159,True
1,counterfactual_0001_03,8,76,True
1,counterfactual_0001_03,9,147,True
1,counterfactual_0001_03,10,196,True
1,counterfactual_0001_03,11,196,True
1,counterfactual_0001_03,12,196,True
1,counterfactual_0001_03,13,0,False
1,counterfactual_0001_03,14,189,True
1,counterfactual_0001_03,16,192,True
1,counterfactual_0001_03,17,0,False
1,counterfactual_0001_03,18,0,False
1,counterfactual_0001_03,19,196,True
1,counterfactual_0001_03,20,78,True
1,counterfactual_0001_04,1,196,True
1,counterfactual_0001_04,2,195,True
1,counterfactual_0001_04,3,0,False
1,counterfactual_0001_04,4,196,True
1,counterfactual_0001_04,5,196,True
1,counterfactual_0001_04,6,0,False
1,counterfactual_0001_04,7,105,True
1,counterfactual_0001_04,8,188,True
1,counterfactual_0001_04,9,174,True
1,counterfactual_0001_04,10,196,True
1,counterfactual_0001_04,11,196,True
1,counterfactual_0001_04,12,196,True
