label,repr,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,sensor
unmasked,chip_mean,P11,treatment_0001,1,4,6,0.6666666666666666,0.0753308063958382,0.170437339603561,
unmasked,chip_mean,P11,treatment_0002,2,1,6,0.16666666666666666,0.130218640283169,0.114246640531409,
unmasked,chip_mean,P11,treatment_0003,3,3,6,0.5,0.0397620969125446,0.071055924474438,
unmasked,chip_mean,P11,treatment_0004,4,2,6,0.3333333333333333,0.132229683709092,0.134661385934722,
unmasked,chip_mean,P11,treatment_0005,5,1,6,0.16666666666666666,0.183591155380169,0.139183891772741,
unmasked,chip_mean,P11,treatment_0006,6,2,6,0.3333333333333333,0.125574264085172,0.140592069947802,
unmasked,chip_mean,P11,treatment_0007,7,4,6,0.6666666666666666,0.0834134959190915,0.16733510463816,
unmasked,chip_mean,P11,treatment_0008,8,3,6,0.5,0.104235224187862,0.127085812332336,
unmasked,chip_mean,P11,treatment_0009,9,3,6,0.5,0.109905043219305,0.155103483136548,
unmasked,chip_mean,P11,treatment_0010,10,3,6,0.5,0.107073640885491,0.117542369194905,
masked,chip_mean,P11,treatment_0001,1,3,6,0.5,0.0729734773903244,0.170686709244797,
masked,chip_mean,P11,treatment_0002,2,2,6,0.3333333333333333,0.0974139519894333,0.116287030605104,
masked,chip_mean,P11,treatment_0003,3,3,6,0.5,0.045460019629754,0.0698541619917437,
masked,chip_mean,P11,treatment_0004,4,3,6,0.5,0.123558823662304,0.127568447337322,
masked,chip_mean,P11,treatment_0005,5,1,6,0.16666666666666666,0.159752853312016,0.148488951918524,
masked,chip_mean,P11,treatment_0006,6,2,6,0.3333333333333333,0.113320558794958,0.14059207126442,
masked,chip_mean,P11,treatment_0007,7,4,6,0.6666666666666666,0.0776457276177467,0.15982468531783,
masked,chip_mean,P11,treatment_0008,8,2,6,0.3333333333333333,0.11766781455755,0.137876387693277,
masked,chip_mean,P11,treatment_0009,9,3,6,0.5,0.106078778262723,0.153991527777802,
masked,chip_mean,P11,treatment_0010,10,1,6,0.16666666666666666,0.118613032452844,0.113132257776024,
maskdrop,chip_mean,P11,treatment_0001,1,3,6,0.5,0.0708053454378288,0.127209201472679,sentinel2
maskdrop,chip_mean,P11,treatment_0002,2,2,6,0.3333333333333333,0.0756621030182747,0.0783863560078584,sentinel2
maskdrop,chip_mean,P11,treatment_0003,3,2,6,0.3333333333333333,0.0574692082379222,0.0969113664764533,sentinel2
maskdrop,chip_mean,P11,treatment_0004,4,5,6,0.8333333333333334,0.0693365432294789,0.0970861566202548,sentinel2
maskdrop,chip_mean,P11,treatment_0005,5,5,6,0.8333333333333334,0.0600308031851499,0.126927761976789,sentinel2
maskdrop,chip_mean,P11,treatment_0006,6,6,6,1.0,0.0191194380805015,0.081456274041828,sentinel2
maskdrop,chip_mean,P11,treatment_0007,7,1,6,0.16666666666666666,0.165024627141628,0.134113344351902,sentinel2
maskdrop,chip_mean,P11,treatment_0008,8,1,6,0.16666666666666666,0.0951792199730342,0.0801479954829825,sentinel2
maskdrop,chip_mean,P11,treatment_0009,9,4,6,0.6666666666666666,0.075494581514085,0.15882722969099,sentinel2
maskdrop,chip_mean,P11,treatment_0010,10,3,6,0.5,0.0869265869253093,0.105324803034271,sentinel2
unmasked,quantile,P11,treatment_0001,1,4,6,0.6666666666666666,0.68507464936545,1.16561029821853,
unmasked,quantile,P11,treatment_0002,2,1,6,0.16666666666666666,0.941848689231923,0.9076936350257,
unmasked,quantile,P11,treatment_0003,3,2,6,0.3333333333333333,0.663099853413075,0.7320978819107,
unmasked,quantile,P11,treatment_0004,4,3,6,0.5,0.79556386414491,1.03587699560572,
unmasked,quantile,P11,treatment_0005,5,1,6,0.16666666666666666,1.12820278337301,1.00353933402362,
unmasked,quantile,P11,treatment_0006,6,2,6,0.3333333333333333,0.886319412320326,1.00102361232444,
unmasked,quantile,P11,treatment_0007,7,4,6,0.6666666666666666,0.779398745326703,1.03036441301913,
unmasked,quantile,P11,treatment_0008,8,3,6,0.5,0.794273311414346,0.899209851756552,
unmasked,quantile,P11,treatment_0009,9,3,6,0.5,0.932563582061618,1.11892438222891,
unmasked,quantile,P11,treatment_0010,10,4,6,0.6666666666666666,0.761633344822042,0.946482104085781,
masked,quantile,P11,treatment_0001,1,4,6,0.6666666666666666,0.695370772773168,1.1845738139883,
masked,quantile,P11,treatment_0002,2,2,6,0.3333333333333333,0.767673708844525,0.925652224951782,
masked,quantile,P11,treatment_0003,3,2,6,0.3333333333333333,0.659648444959007,0.73545689214348,
masked,quantile,P11,treatment_0004,4,3,6,0.5,0.757979903469561,0.983568722482271,
masked,quantile,P11,treatment_0005,5,1,6,0.16666666666666666,1.10926417016614,1.05550939990484,
masked,quantile,P11,treatment_0006,6,2,6,0.3333333333333333,0.835657660364692,0.942993404872917,
masked,quantile,P11,treatment_0007,7,3,6,0.5,0.786717854418839,1.0025777383455,
masked,quantile,P11,treatment_0008,8,2,6,0.3333333333333333,0.871430438298306,0.913329252881919,
masked,quantile,P11,treatment_0009,9,3,6,0.5,0.930586358373926,1.09241573752218,
masked,quantile,P11,treatment_0010,10,4,6,0.6666666666666666,0.760215271146478,0.922253073070819,
maskdrop,quantile,P11,treatment_0001,1,4,6,0.6666666666666666,0.730561221096586,1.06161414363624,sentinel2
maskdrop,quantile,P11,treatment_0002,2,2,6,0.3333333333333333,0.698707139675112,0.701239579514885,sentinel2
