fill,sensor,repr,lambda,cv_sum,n_groups_ok,chosen,flag
chipmean,sentinel1,gram,1e-08,0.3865538989256592,10,False,interior
chipmean,sentinel1,gram,3.162277660168379e-08,,0,False,interior
chipmean,sentinel1,gram,1e-07,0.38655369657898553,10,False,interior
chipmean,sentinel1,gram,3.162277660168379e-07,,0,False,interior
chipmean,sentinel1,gram,1e-06,0.3865516755358701,10,False,interior
chipmean,sentinel1,gram,3.162277660168379e-06,,0,False,interior
chipmean,sentinel1,gram,1e-05,0.3865314927693003,10,False,interior
chipmean,sentinel1,gram,3.1622776601683795e-05,,0,False,interior
chipmean,sentinel1,gram,0.0001,0.3863323704019271,10,False,interior
chipmean,sentinel1,gram,0.00031622776601683794,,0,False,interior
chipmean,sentinel1,gram,0.001,0.3845789262301776,10,False,interior
chipmean,sentinel1,gram,0.0031622776601683794,,0,False,interior
chipmean,sentinel1,gram,0.01,0.3772395867684224,10,False,interior
chipmean,sentinel1,gram,0.03162277660168379,,0,False,interior
chipmean,sentinel1,gram,0.1,0.37541610762446104,10,True,interior
chipmean,sentinel1,gram,0.31622776601683794,,0,False,interior
chipmean,sentinel1,gram,1.0,0.37977118492757833,10,False,interior
chipmean,sentinel1,gram,3.1622776601683795,,0,False,interior
chipmean,sentinel1,gram,10.0,0.3814889668869911,10,False,interior
chipmean,sentinel1,gram,31.622776601683793,,0,False,interior
chipmean,sentinel1,gram,100.0,0.38171682263309287,10,False,interior
chipmean,sentinel1,gram,316.22776601683796,,0,False,interior
chipmean,sentinel1,gram,1000.0,0.3817403564604759,10,False,interior
chipmean,sentinel1,gram,3162.2776601683795,,0,False,interior
chipmean,sentinel1,gram,10000.0,0.3817427175736733,10,False,interior
chipmean,sentinel1,gram,31622.776601683792,,0,False,interior
chipmean,sentinel1,gram,100000.0,0.38174295376255335,10,False,interior
chipmean,sentinel1,gram,316227.7660168379,,0,False,interior
chipmean,sentinel1,gram,1000000.0,0.3817429773822172,10,False,interior
chipmean,sentinel1,gram,3162277.6601683795,,0,False,interior
chipmean,sentinel1,gram,10000000.0,0.38174297974419164,10,False,interior
chipmean,sentinel1,gram,31622776.60168379,,0,False,interior
chipmean,sentinel1,gram,100000000.0,0.38174297998038886,10,False,interior
chipmean,sentinel1,quantile,1e-08,26.37168347228464,10,False,ceiling
chipmean,sentinel1,quantile,3.162277660168379e-08,,0,False,ceiling
chipmean,sentinel1,quantile,1e-07,26.36194310930633,10,False,ceiling
chipmean,sentinel1,quantile,3.162277660168379e-07,,0,False,ceiling
chipmean,sentinel1,quantile,1e-06,26.36188551244711,10,False,ceiling
chipmean,sentinel1,quantile,3.162277660168379e-06,,0,False,ceiling
chipmean,sentinel1,quantile,1e-05,26.36188562281902,10,False,ceiling
chipmean,sentinel1,quantile,3.1622776601683795e-05,,0,False,ceiling
chipmean,sentinel1,quantile,0.0001,26.3618831552091,10,False,ceiling
chipmean,sentinel1,quantile,0.00031622776601683794,,0,False,ceiling
chipmean,sentinel1,quantile,0.001,26.36185847425032,10,False,ceiling
chipmean,sentinel1,quantile,0.0031622776601683794,,0,False,ceiling
chipmean,sentinel1,quantile,0.01,26.361613337141513,10,False,ceiling
chipmean,sentinel1,quantile,0.03162277660168379,,0,False,ceiling
chipmean,sentinel1,quantile,0.1,26.359318548990178,10,False,ceiling
chipmean,sentinel1,quantile,0.31622776601683794,,0,False,ceiling
chipmean,sentinel1,quantile,1.0,26.3456178302722,10,False,ceiling
chipmean,sentinel1,quantile,3.1622776601683795,,0,False,ceiling
chipmean,sentinel1,quantile,10.0,26.326572967592988,10,False,ceiling
chipmean,sentinel1,quantile,31.622776601683793,,0,False,ceiling
chipmean,sentinel1,quantile,100.0,26.321992843849827,10,False,ceiling
chipmean,sentinel1,quantile,316.22776601683796,,0,False,ceiling
chipmean,sentinel1,quantile,1000.0,26.32150562291747,10,False,ceiling
chipmean,sentinel1,quantile,3162.2776601683795,,0,False,ceiling
chipmean,sentinel1,quantile,10000.0,26.32145702745519,10,False,ceiling
chipmean,sentinel1,quantile,31622.776601683792,,0,False,ceiling
chipmean,sentinel1,quantile,100000.0,26.321452170055593,10,False,ceiling
chipmean,sentinel1,quantile,316227.7660168379,,0,False,ceiling
chipmean,sentinel1,quantile,1000000.0,26.321451684338058,10,False,ceiling
chipmean,sentinel1,quantile,3162277.6601683795,,0,False,ceiling
chipmean,sentinel1,quantile,10000000.0,26.32145163576653,10,False,ceiling
chipmean,sentinel1,quantile,31622776.60168379,,0,False,ceiling
chipmean,sentinel1,quantile,100000000.0,26.321451630909394,10,True,ceiling
chipmean,sentinel1,combined,1e-08,72.61985789705814,10,False,interior
chipmean,sentinel1,combined,3.162277660168379e-08,,0,False,interior
chipmean,sentinel1,combined,1e-07,72.45113142964577,10,False,interior
chipmean,sentinel1,combined,3.162277660168379e-07,,0,False,interior
chipmean,sentinel1,combined,1e-06,72.4498753783745,10,False,interior
chipmean,sentinel1,combined,3.162277660168379e-06,,0,False,interior
chipmean,sentinel1,combined,1e-05,72.4498812160161,10,False,interior
chipmean,sentinel1,combined,3.1622776601683795e-05,,0,False,interior
chipmean,sentinel1,combined,0.0001,72.44987799426312,10,False,interior
chipmean,sentinel1,combined,0.00031622776601683794,,0,False,interior
chipmean,sentinel1,combined,0.001,72.44984840874851,10,False,interior
chipmean,sentinel1,combined,0.0031622776601683794,,0,False,interior
chipmean,sentinel1,combined,0.01,72.44955339145373,10,False,interior
chipmean,sentinel1,combined,0.03162277660168379,,0,False,interior
chipmean,sentinel1,combined,0.1,72.44668220616191,10,False,interior
chipmean,sentinel1,combined,0.31622776601683794,,0,False,interior
chipmean,sentinel1,combined,1.0,72.42422148283578,10,False,interior
chipmean,sentinel1,combined,3.1622776601683795,,0,False,interior
