fill,sensor,repr,M,estimator,role,perm,rmse_test,rmse_train,rel_l2_test,n_sites,C2,C3,lambda,lambda_flag
chipmean,sentinel1,chip_mean,5,equal_weight,reference,-,0.027509803930149936,0.025943639609238855,0.05052517210648209,10,2,0,,
chipmean,sentinel1,chip_mean,5,own_history_mean,reference,-,0.018259896660718037,0.01651080279640663,0.033476470671086445,10,0,8,,
chipmean,sentinel1,chip_mean,5,scm,estimator,-,0.020434435387177312,0.016909356373408648,0.03759466502014273,10,4,9,,
chipmean,sentinel1,chip_mean,5,perdim_scm,estimator,-,0.017666082350279014,0.012401866575317349,0.0324903748707638,10,6,8,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,estimator,-,0.013166869809255879,0.009752043905121879,0.0241983387444517,10,8,9,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,estimator,-,0.01237346178240338,0.010542388370744352,0.022757918237859966,10,8,9,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,estimator,-,0.011395591358963779,0.011341091782476552,0.020919456614965602,10,9,9,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,estimator,-,0.011451250867524009,0.011644208071597424,0.021031584344705378,10,9,9,,
chipmean,sentinel1,gram,15,equal_weight,reference,-,0.023339103438308126,0.02298209005391837,0.07047400765779885,10,2,0,,
chipmean,sentinel1,gram,15,own_history_mean,reference,-,0.016287278356281545,0.015354374225745922,0.04896516105347125,10,0,8,,
chipmean,sentinel1,gram,15,scm,estimator,-,0.018205442667516638,0.016438919234264004,0.05506409298490683,10,4,10,,
chipmean,sentinel1,gram,15,afsc,estimator,-,0.01781941599568116,0.016201057695394636,0.05388552858569173,10,4,9,0.1,interior
chipmean,sentinel1,quantile,100,equal_weight,reference,-,0.060015694835522534,0.0589542891619312,0.09600562094688248,10,1,0,,
chipmean,sentinel1,quantile,100,own_history_mean,reference,-,0.04911038250210448,0.04465770373377921,0.07853323181197593,10,0,9,,
chipmean,sentinel1,quantile,100,scm,estimator,-,0.057195993329692996,0.0546018276436275,0.09151686821077121,10,2,8,,
chipmean,sentinel1,quantile,100,afsc,estimator,-,0.057134255346973015,0.05454076673309605,0.09141806720017005,10,2,8,100000000.0,ceiling
chipmean,sentinel1,combined,115,equal_weight,reference,-,0.09406751121113024,0.09240271587307952,0.09313439872105507,10,1,0,,
chipmean,sentinel1,combined,115,own_history_mean,reference,-,0.07614630031998179,0.06934175752440244,0.07535302062672793,10,0,9,,
chipmean,sentinel1,combined,115,scm,estimator,-,0.08866204826432808,0.0844516900603492,0.08781074920553893,10,2,8,,
chipmean,sentinel1,combined,115,afsc,estimator,-,0.08854491758289752,0.08434024006796928,0.08769474243907235,10,2,8,100.0,interior
chipmean,sentinel1,block245,245,equal_weight,reference,-,0.1745463934597255,0.17897471539911086,0.3075424845068596,10,0,0,,
chipmean,sentinel1,block245,245,own_history_mean,reference,-,0.10547151180921226,0.09571622552783134,0.18578975097310346,10,0,10,,
chipmean,sentinel1,block245,245,scm,estimator,-,0.17243474560744704,0.17523477777473395,0.3038181590259153,10,0,10,,
chipmean,sentinel1,block245,245,scm,estimator,B,0.17568084293321332,0.17792097452775674,0.3112339063882791,10,0,9,,
chipmean,sentinel1,block245,245,scm,estimator,C,0.1682144414330232,0.17250915727823474,0.2979728906827789,10,0,10,,
chipmean,sentinel1,block245,245,scm,estimator,D_min,0.13442924114935106,0.1275917652579886,0.23728315406571143,10,0,10,,
chipmean,sentinel1,block245,245,scm,estimator,D_full,0.13584456314377086,0.1317327784066405,0.24029225386535313,10,0,9,,
chipmean,sentinel1,block245,245,scm,estimator,E,0.13409172094767519,0.13229531968036784,0.23766538572475163,10,0,10,,
chipmean,sentinel1,latent980,980,equal_weight,reference,-,0.32922831884801573,0.3336904297394609,0.5289315304286321,10,0,0,,
chipmean,sentinel1,latent980,980,own_history_mean,reference,-,0.20968455469681987,0.19044611084395674,0.3367788967005085,10,0,10,,
