variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
paper,sentinel1,treatment_0001,P11,1.0042818419221713,True,True
paper,sentinel1,treatment_0001,P12,,False,False
paper,sentinel1,treatment_0001,P13,1.0288961002152506,True,True
paper,sentinel1,treatment_0001,P14,1.0160455114706697,True,True
paper,sentinel1,treatment_0001,P15,,False,False
paper,sentinel1,treatment_0001,P16,0.9881998599204375,True,True
paper,sentinel1,treatment_0001,P17,1.0199096119213813,True,True
paper,sentinel1,treatment_0001,P18,1.021017742979992,True,True
paper,sentinel1,treatment_0001,P19,1.0174400216022612,True,True
paper,sentinel1,treatment_0001,P20,1.007493414280373,True,True
paper,sentinel1,treatment_0002,P11,0.9585533172816565,True,True
paper,sentinel1,treatment_0002,P12,,False,False
paper,sentinel1,treatment_0002,P13,0.9736622013649034,True,True
paper,sentinel1,treatment_0002,P14,0.9755875095454578,True,True
paper,sentinel1,treatment_0002,P15,,False,False
paper,sentinel1,treatment_0002,P16,0.974149611360095,True,True
paper,sentinel1,treatment_0002,P17,0.98345057102336,True,True
paper,sentinel1,treatment_0002,P18,0.9578865680639552,True,True
paper,sentinel1,treatment_0002,P19,0.9864293342930112,True,True
paper,sentinel1,treatment_0002,P20,0.9728642266165135,True,True
paper,sentinel1,treatment_0003,P11,0.9644037964593901,True,True
paper,sentinel1,treatment_0003,P12,,True,False
paper,sentinel1,treatment_0003,P13,0.9706416456233925,True,True
paper,sentinel1,treatment_0003,P14,0.9377766257444013,True,True
paper,sentinel1,treatment_0003,P15,,True,False
paper,sentinel1,treatment_0003,P16,0.9681140179485381,True,True
paper,sentinel1,treatment_0003,P17,0.9622761477955404,True,True
paper,sentinel1,treatment_0003,P18,0.9955265136568945,True,True
paper,sentinel1,treatment_0003,P19,0.9324180097924387,True,True
paper,sentinel1,treatment_0003,P20,0.957005251666209,True,True
paper,sentinel1,treatment_0004,P11,0.986846025692875,True,True
paper,sentinel1,treatment_0004,P12,,True,False
paper,sentinel1,treatment_0004,P13,0.9762931705541056,True,True
paper,sentinel1,treatment_0004,P14,0.9777491398834802,True,True
paper,sentinel1,treatment_0004,P15,,True,False
paper,sentinel1,treatment_0004,P16,0.9833666373072577,True,True
paper,sentinel1,treatment_0004,P17,0.9925960027897572,True,True
paper,sentinel1,treatment_0004,P18,1.0184527354581658,True,True
paper,sentinel1,treatment_0004,P19,0.9948801042871707,True,True
paper,sentinel1,treatment_0004,P20,0.9925862197557855,True,True
paper,sentinel1,treatment_0005,P11,0.9491086230295966,True,True
paper,sentinel1,treatment_0005,P12,,True,False
paper,sentinel1,treatment_0005,P13,0.9733156653707047,True,True
paper,sentinel1,treatment_0005,P14,0.977717112295444,True,True
paper,sentinel1,treatment_0005,P15,,True,False
paper,sentinel1,treatment_0005,P16,0.9706053443593378,True,True
paper,sentinel1,treatment_0005,P17,0.9360203070515899,True,True
paper,sentinel1,treatment_0005,P18,0.9553975917752452,True,True
paper,sentinel1,treatment_0005,P19,0.9382131952226975,True,True
paper,sentinel1,treatment_0005,P20,0.9376472901037658,True,True
paper,sentinel1,treatment_0006,P11,1.0129551422776102,True,True
paper,sentinel1,treatment_0006,P12,,False,False
paper,sentinel1,treatment_0006,P13,1.0116601025809318,True,True
paper,sentinel1,treatment_0006,P14,1.0046261831114207,True,True
paper,sentinel1,treatment_0006,P15,,False,False
paper,sentinel1,treatment_0006,P16,0.9917550080353441,True,True
paper,sentinel1,treatment_0006,P17,1.006401779726166,True,True
paper,sentinel1,treatment_0006,P18,1.0128502420525043,True,True
paper,sentinel1,treatment_0006,P19,1.0096358601312871,True,True
paper,sentinel1,treatment_0006,P20,1.0046347785579606,True,True
paper,sentinel1,treatment_0007,P11,0.9943456615016558,True,True
paper,sentinel1,treatment_0007,P12,,True,False
paper,sentinel1,treatment_0007,P13,0.9713830663666949,True,True
paper,sentinel1,treatment_0007,P14,0.9792874862757306,True,True
paper,sentinel1,treatment_0007,P15,,True,False
paper,sentinel1,treatment_0007,P16,,True,False
paper,sentinel1,treatment_0007,P17,0.9869895056536206,True,True
paper,sentinel1,treatment_0007,P18,1.002242445437661,True,True
paper,sentinel1,treatment_0007,P19,1.0053285511044614,True,True
paper,sentinel1,treatment_0007,P20,0.9738283361855427,True,True
