site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,w_max,arm,sensor,n_donors
treatment_0001,P09,0.36882790282467753,0.4495461340184127,0.25014202094279764,0.8664084818610321,True,False,True,0.7883283900402949,ch_per,sentinel1,
treatment_0002,P09,0.6035592638806101,0.512230675264707,0.5325372324069624,0.6073838359204178,True,False,True,0.7767455379057777,ch_per,sentinel1,
treatment_0003,P09,0.6937260997181105,0.32273145264209047,0.7390414081652132,0.7368115255281361,False,True,True,0.7797647251121416,ch_per,sentinel1,
treatment_0004,P09,0.365461077656163,0.33626027783489953,0.5600530431363682,0.665660141456066,True,True,True,0.7840568515863932,ch_per,sentinel1,
treatment_0005,P09,0.41034889758644344,0.508191607080322,0.4395974450727667,0.44983439509193,True,True,True,0.7740228358016272,ch_per,sentinel1,
treatment_0006,P09,0.6631121024325672,0.5276293492813268,0.6910350814572658,1.5215556700939372,True,True,True,1.0,ch_per,sentinel1,
treatment_0007,P09,0.6062364686725765,0.8266787476704809,0.8614562948039202,0.8691268230225752,True,True,True,1.0,ch_per,sentinel1,
treatment_0008,P09,0.3374467205789046,0.47783792383114543,0.6837102767615342,0.8575318069117775,True,True,True,0.8110541522187018,ch_per,sentinel1,
treatment_0009,P09,0.5459656191067197,0.5349685582707444,0.6459082016003082,0.5286767849633529,True,True,False,0.7703226385030085,ch_per,sentinel1,
treatment_0010,P09,0.35621680389405413,0.3679952948055096,0.6368331087441986,0.5730362408695934,True,True,True,0.9059447684551807,ch_per,sentinel1,
treatment_0001,P10,0.6987764469805052,0.4417919779025644,0.34395752938649987,1.1900095181781747,False,False,True,0.7890041926880315,ch_per,sentinel1,
treatment_0002,P10,0.49483131840903527,0.5178462169978871,0.4857789911582122,0.7185829038951608,True,False,True,0.8930825512991634,ch_per,sentinel1,
treatment_0003,P10,0.27007062521244585,0.35140448843390065,0.5581863496069642,0.6337837409204327,True,True,True,0.5583298031207736,ch_per,sentinel1,
treatment_0004,P10,0.9239112320429803,0.3411363208754461,0.6502501017213436,1.162471433758712,False,False,True,0.773678958392908,ch_per,sentinel1,
treatment_0005,P10,0.6740671863354418,0.5000527930735547,0.7484576440386346,0.6403506536694865,True,True,False,0.7609095682975908,ch_per,sentinel1,
treatment_0006,P10,0.6706206274371356,0.5360746547237561,0.5994331789308631,1.2806289010793743,True,False,True,1.0,ch_per,sentinel1,
treatment_0007,P10,0.5389479073961393,0.8472518329562767,0.7287253396604105,0.7138807041124936,True,True,True,1.0,ch_per,sentinel1,
treatment_0008,P10,0.7311886242484179,0.46533354327064835,0.6151874199971502,1.2233176506535375,False,False,True,0.8340781314386423,ch_per,sentinel1,
treatment_0009,P10,0.8246037024006811,0.539584153655827,0.5489102791167443,0.7218537590284192,False,False,False,0.7315907818029939,ch_per,sentinel1,
treatment_0010,P10,0.4182849068502733,0.36737548405745496,0.7165749424859096,0.7364462635713951,True,True,True,0.9071311994203919,ch_per,sentinel1,
treatment_0001,P09,0.8941928448014439,0.69911538429776,0.25014202094279764,0.8664084818610321,True,False,False,0.5300506091412875,ch_joint,sentinel1,
treatment_0002,P09,0.5896069097308904,0.5993076991653815,0.5325372324069624,0.6073838359204178,True,False,True,0.39140761506905536,ch_joint,sentinel1,
treatment_0003,P09,0.5365604780148762,0.3955949232852281,0.7390414081652132,0.7368115255281361,True,True,True,0.44468740443078847,ch_joint,sentinel1,
treatment_0004,P09,0.3634459065447275,0.5204766542643138,0.5600530431363682,0.665660141456066,True,True,True,0.5387214793971787,ch_joint,sentinel1,
treatment_0005,P09,0.4527237747845358,0.5339536909457777,0.4395974450727667,0.44983439509193,True,False,False,0.3860044265562365,ch_joint,sentinel1,
treatment_0006,P09,0.8228023962559738,0.6683903006984576,0.6910350814572658,1.5215556700939372,True,False,True,0.8542875069148671,ch_joint,sentinel1,
treatment_0007,P09,0.9035485177174756,0.9208433516261627,0.8614562948039202,0.8691268230225752,True,False,False,0.36475919541237534,ch_joint,sentinel1,
treatment_0008,P09,0.7266459474392021,0.7416643318071128,0.6837102767615342,0.8575318069117775,True,False,True,0.6225195529049224,ch_joint,sentinel1,
treatment_0009,P09,0.4211837007996419,0.6440916824745665,0.6459082016003082,0.5286767849633529,True,True,True,0.3766312026908621,ch_joint,sentinel1,
treatment_0010,P09,0.32294839873051656,0.4767745538393218,0.6368331087441986,0.5730362408695934,True,True,True,0.6492584062160599,ch_joint,sentinel1,
treatment_0001,P10,0.9985005533052819,0.7283543684478474,0.34395752938649987,1.1900095181781747,True,False,True,0.5095754314622093,ch_joint,sentinel1,
treatment_0002,P10,0.5366577847202757,0.6002349405825612,0.4857789911582122,0.7185829038951608,True,False,True,0.42431175569511254,ch_joint,sentinel1,
treatment_0003,P10,0.27477551685399815,0.4095654246740381,0.5581863496069642,0.6337837409204327,True,True,True,0.58095612622123,ch_joint,sentinel1,
treatment_0004,P10,0.9512117118926446,0.5083950988838818,0.6502501017213436,1.162471433758712,False,False,True,0.5186894055121282,ch_joint,sentinel1,
treatment_0005,P10,0.6378899494078807,0.5312948301125836,0.7484576440386346,0.6403506536694865,True,True,True,0.38638132887166415,ch_joint,sentinel1,
treatment_0006,P10,0.8763142882779312,0.6868940112776495,0.5994331789308631,1.2806289010793743,True,False,True,0.8709960288049561,ch_joint,sentinel1,
treatment_0007,P10,0.6990390919738948,0.9357589864394372,0.7287253396604105,0.7138807041124936,True,True,True,0.3305191662481831,ch_joint,sentinel1,
treatment_0008,P10,0.9156477296714914,0.7434851509320434,0.6151874199971502,1.2233176506535375,True,False,True,0.5101056229784827,ch_joint,sentinel1,
treatment_0009,P10,0.6706490438379771,0.6289033215242505,0.5489102791167443,0.7218537590284192,True,False,True,0.39437183802563114,ch_joint,sentinel1,
treatment_0010,P10,0.4474287078400917,0.4662916095651865,0.7165749424859096,0.7364462635713951,True,True,True,0.6344482562192114,ch_joint,sentinel1,
treatment_0001,P09,0.3540998924389315,0.3343763488834113,0.25014202094279764,0.8664084818610321,True,False,True,0.6197218413207112,ch_per_dm,sentinel1,
treatment_0002,P09,0.6133796373900511,0.3898307856974613,0.5325372324069624,0.6073838359204178,False,False,False,1.0,ch_per_dm,sentinel1,
treatment_0003,P09,0.5234883413314704,0.29654118618153646,0.7390414081652132,0.7368115255281361,False,True,True,0.7448630076701704,ch_per_dm,sentinel1,
treatment_0004,P09,0.5386537791888375,0.18218531483351105,0.5600530431363682,0.665660141456066,False,True,True,0.7776692353803843,ch_per_dm,sentinel1,
treatment_0005,P09,0.41261397745059997,0.5022111836204999,0.4395974450727667,0.44983439509193,True,True,True,0.9203412056923718,ch_per_dm,sentinel1,
treatment_0006,P09,0.7010711389998715,0.3490767775096064,0.6910350814572658,1.5215556700939372,False,False,True,0.6214998750593704,ch_per_dm,sentinel1,
treatment_0007,P09,0.6236237301426923,0.3894849033544714,0.8614562948039202,0.8691268230225752,False,True,True,0.9163028659775999,ch_per_dm,sentinel1,
treatment_0008,P09,0.4553287986314915,0.35656932067629094,0.6837102767615342,0.8575318069117775,True,True,True,0.6780693890376024,ch_per_dm,sentinel1,
treatment_0009,P09,0.6023202719026398,0.38378905315116096,0.6459082016003082,0.5286767849633529,False,True,False,0.6108014001094463,ch_per_dm,sentinel1,
treatment_0010,P09,0.3677823374478853,0.29883958787591414,0.6368331087441986,0.5730362408695934,True,True,True,0.5165214990776241,ch_per_dm,sentinel1,
treatment_0001,P10,0.3705000967325618,0.33272640932989,0.34395752938649987,1.1900095181781747,True,False,True,0.5397297068973737,ch_per_dm,sentinel1,
treatment_0002,P10,0.5157199932182397,0.40895917368363227,0.4857789911582122,0.7185829038951608,True,False,True,0.9999999999999998,ch_per_dm,sentinel1,
treatment_0003,P10,0.3010473758448492,0.30754583393779505,0.5581863496069642,0.6337837409204327,True,True,True,1.0,ch_per_dm,sentinel1,
treatment_0004,P10,0.6956657960849346,0.23289299051263143,0.6502501017213436,1.162471433758712,False,False,True,0.7350002712150701,ch_per_dm,sentinel1,
treatment_0005,P10,0.6773474651119179,0.49282584357405407,0.7484576440386346,0.6403506536694865,True,True,False,0.9310137896561604,ch_per_dm,sentinel1,
treatment_0006,P10,0.3025093525657456,0.3792736039878189,0.5994331789308631,1.2806289010793743,True,True,True,0.8000921401885067,ch_per_dm,sentinel1,
treatment_0007,P10,0.4566200076116179,0.41065110374432406,0.7287253396604105,0.7138807041124936,True,True,True,1.0,ch_per_dm,sentinel1,
treatment_0008,P10,0.5395727723741267,0.36127858151965203,0.6151874199971502,1.2233176506535375,True,True,True,0.547514824707769,ch_per_dm,sentinel1,
treatment_0009,P10,0.28868696517494824,0.4051755733581376,0.5489102791167443,0.7218537590284192,True,True,True,0.6394684414870809,ch_per_dm,sentinel1,
treatment_0010,P10,0.32302470326774746,0.30371350093967436,0.7165749424859096,0.7364462635713951,True,True,True,0.6535379360550285,ch_per_dm,sentinel1,
treatment_0001,P09,0.33853198349960867,0.3857441550357949,0.25014202094279764,0.8664084818610321,True,False,True,0.5187424446743584,ch_joint_dm,sentinel1,
treatment_0002,P09,0.6184153270488488,0.45665403889699696,0.5325372324069624,0.6073838359204178,True,False,False,0.32751925990147884,ch_joint_dm,sentinel1,
treatment_0003,P09,0.6161466153916284,0.37340754037801466,0.7390414081652132,0.7368115255281361,False,True,True,0.5526461898131967,ch_joint_dm,sentinel1,
treatment_0004,P09,0.4844706837621214,0.2630838046934428,0.5600530431363682,0.665660141456066,False,True,True,0.34267865767809796,ch_joint_dm,sentinel1,
treatment_0005,P09,0.38940397276825484,0.5289988850324695,0.4395974450727667,0.44983439509193,True,True,True,0.4143814117053859,ch_joint_dm,sentinel1,
treatment_0006,P09,0.6076620972739094,0.40063565164226916,0.6910350814572658,1.5215556700939372,False,True,True,0.4534884456135955,ch_joint_dm,sentinel1,
treatment_0007,P09,0.677662922246157,0.4379946986424304,0.8614562948039202,0.8691268230225752,False,True,True,0.7147713711980582,ch_joint_dm,sentinel1,
treatment_0008,P09,0.43617728193556543,0.39191668376522687,0.6837102767615342,0.8575318069117775,True,True,True,0.3359741830272107,ch_joint_dm,sentinel1,
treatment_0009,P09,0.6190230779968573,0.392285662849816,0.6459082016003082,0.5286767849633529,False,True,False,0.49054870154753294,ch_joint_dm,sentinel1,
treatment_0010,P09,0.34431401524775884,0.3459111872060335,0.6368331087441986,0.5730362408695934,True,True,True,0.2948933040697218,ch_joint_dm,sentinel1,
treatment_0001,P10,0.372408389967028,0.38003876278580556,0.34395752938649987,1.1900095181781747,True,False,True,0.510396907338942,ch_joint_dm,sentinel1,
