fill,sensor,site,group,matched_treatment,n,m,T0,h,cv,chosen,flag
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.03162277660168379,0.10099990353437106,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.039810717055349734,0.10099750816412213,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.05011872336272722,0.10091551593780113,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.06309573444801933,0.10007034604187154,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.07943282347242814,0.09610960266995462,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.1,0.08710029064011762,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.12589254117941676,0.07693484215244385,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.15848931924611137,0.06966343732825522,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.19952623149688797,0.0650778281669426,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.251188643150958,0.061950240052644975,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.31622776601683794,0.05983730073256255,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.3981071705534973,0.05866806783905979,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.5011872336272725,0.05814364031743457,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.6309573444801934,0.05795117353807455,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.7943282347242817,0.05790289362715967,True,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.0,0.057907593889543335,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.2589254117941675,0.057926454476438224,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.584893192461114,0.05794523859186863,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.9952623149688797,0.057959985735805665,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,2.511886431509581,0.0579704846246248,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,3.1622776601683795,0.05797759521000866,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,3.981071705534973,0.05798227806275913,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,5.011872336272725,0.05798531163820559,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,6.309573444801936,0.057987257285442344,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,7.943282347242821,0.05798849752825248,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,10.0,0.05798928510522805,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.03162277660168379,0.08625176484124858,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.039810717055349734,0.08625005937688549,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.05011872336272722,0.08619121528735281,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.06309573444801933,0.08557096957753237,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.07943282347242814,0.0825872134715722,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.1,0.0757002173200666,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.12589254117941676,0.06786655408901411,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.15848931924611137,0.06218078031031125,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.19952623149688797,0.05855673108851603,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.251188643150958,0.05610699698869219,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.31622776601683794,0.05457579304838057,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.3981071705534973,0.05391318687971019,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.5011872336272725,0.053777243339480446,True,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.6309573444801934,0.05385295977213719,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.7943282347242817,0.05397993766485138,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,1.0,0.054096427349688156,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,1.2589254117941675,0.054185924539907976,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,1.584893192461114,0.05424920830918312,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,1.9952623149688797,0.054291975219052754,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,2.511886431509581,0.0543201224370327,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,3.1622776601683795,0.05433835395934466,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,3.981071705534973,0.0543500473779755,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,5.011872336272725,0.05435750168840482,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,6.309573444801936,0.05436223554800292,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,7.943282347242821,0.054365234594049294,False,interior
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,10.0,0.05436713172354016,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.03162277660168379,0.07557911049101453,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.039810717055349734,0.07557748813234683,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.05011872336272722,0.07552168165021328,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.06309573444801933,0.07493836110284975,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.07943282347242814,0.07215940990311685,False,interior
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.1,0.06579000325346644,False,interior
