fill,sensor,site,group,matched_treatment,n,m,T0,h,cv,chosen,flag
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.03162277660168379,0.10148890811610332,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.039810717055349734,0.10148654360440514,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.05011872336272722,0.10140552973743372,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.06309573444801933,0.10056802397720918,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.07943282347242814,0.09662827291664254,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.1,0.08763735304799838,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.12589254117941676,0.07745188042297502,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.15848931924611137,0.07012449692475414,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.19952623149688797,0.06548615057887225,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.251188643150958,0.06232503118067268,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.31622776601683794,0.060193542275282515,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.3981071705534973,0.05901530392536731,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.5011872336272725,0.058487844817860055,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.6309573444801934,0.05829554784503551,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.7943282347242817,0.0582486643978289,True,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.0,0.058254924608417955,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.2589254117941675,0.058275091988187006,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.584893192461114,0.058294844241775334,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,1.9952623149688797,0.058310263604636633,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,2.511886431509581,0.05832121218276984,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,3.1622776601683795,0.05832861696532502,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,3.981071705534973,0.058333489684115725,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,5.011872336272725,0.05833664476410895,False,interior
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,6.309573444801936,0.05833866776002157,False,interior
