fill,sensor,site,group,matched_treatment,n,m,T0,post_period,k,observed,valid_frac,delta_rms,delta_raw_rms,y_post_rms,l0_rms,note,delta_ch1,delta_ch2,delta_ch3,delta_ch4,delta_ch5
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,P11,1,True,0.99009900990099,0.24641570530696846,0.3075361913938134,0.6322271928679278,0.5995553073817236,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.009098477624466778,0.006787545425041511,0.018324648476012586,0.02205717383240593,0.003576841044531281
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,P12,2,True,0.99009900990099,0.28905619987487946,0.32656225946832984,0.627012967768336,0.60370929649945,,0.01568036887325139,0.02612495338458437,0.028909935962908955,-0.04944087259713309,0.0017144890677559374
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,P11,1,True,1.0,0.21137285307258638,0.26951546918254393,0.6323551050802962,0.6046693113453615,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.012612761791654077,0.0006851642672350278,0.003432504244494252,0.028348201076422313,-0.01939869474856168
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,P12,2,True,1.0,0.2782954938222721,0.31231466850271605,0.6277835216120189,0.6137020292737473,,-0.014849057641363315,0.01615444728242573,0.03385441295826935,-0.0554958739621299,-0.005470309961129013
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,P11,1,True,1.0,0.19983957391137933,0.24417026207519804,0.6163792879401045,0.5975835186448881,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.01711921857614607,-0.0020335635503070733,0.0018230886859288398,0.017357630138142493,-0.002815903753790923
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,P12,2,True,1.0,0.2529559336965168,0.2872531455631386,0.6179497887149383,0.6019499018952188,,-0.0037038238688127784,-0.01628790448421264,0.026576113280397266,-0.06708287597393056,0.05556836510963322
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,P11,1,True,1.0,0.1935851341924835,0.2382748107261478,0.6069366469100936,0.5954183776438543,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.019967987378713165,-0.014605427322178496,0.01514325616413489,0.007238799368929864,-0.02837282693668269
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,P12,2,True,1.0,0.2552666637223683,0.29360824217780257,0.6081158456825523,0.6007499264997238,,-0.026524987860519426,-0.03534517104274812,0.02064612412921004,-0.03825422722732957,0.04251039170232564
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,P11,1,True,1.0,0.2055975510824686,0.25614623020813576,0.6222365047231899,0.5869069729890267,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.01281503405707559,0.028660805817339676,-0.0025697131704210097,0.017958464093718884,-0.003084592252111884
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,P12,2,True,1.0,0.2661564779463753,0.30147552955030676,0.6208066808134276,0.5897099015413809,,0.005700481230709186,0.006402269358454727,0.03834348488504134,-0.04769449588965007,0.05219182246044
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,P11,1,True,1.0,0.21311342067024885,0.26821880376234114,0.6227021975207075,0.5931801429452005,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.015046629950091008,0.007588461826241073,0.007941401922102055,0.02298295705935236,-0.002228898356202984
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,P12,2,True,1.0,0.26877873150314097,0.3029505749623169,0.6117155949672943,0.5982561879613049,,-0.011884986024326387,-0.025146121019399226,0.03640297734767543,-0.056089548772336274,0.04690709642039965
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,2,10,P11,1,True,1.0,0.21437634599552022,0.2623270737945145,0.6348399167032861,0.6055131804548356,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0060546991059875445,0.0068450899340985,0.0227132579591842,0.022182689557155168,-0.008686474309966632
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,2,10,P12,2,True,1.0,0.2750318962308941,0.31391783796401446,0.6298868581861481,0.6098789530884736,,-0.0007015262354101539,0.016681399620480913,0.028238169729568236,-0.03885244561670496,0.009865512841259977
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,2,10,P11,1,True,1.0,0.22076107824831442,0.27080198497870234,0.6391982930180944,0.602878489966331,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.016174793195210375,0.031442456533038746,0.02612647840147398,0.019573349703788687,-0.01711042252396729
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,2,10,P12,2,True,1.0,0.2776266873596267,0.31865935487460056,0.6278731202076978,0.606307184834594,,-0.00994676070742104,0.02075525015061762,0.023611153729512786,-0.037721146382262184,0.025147115232495368
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,2,10,P11,1,True,1.0,0.19521855993675774,0.2594309233948079,0.637929901573114,0.600971067768958,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.000625379313806477,0.004499309257251175,0.025955366198098257,0.0206228016395314,0.030037676025766583
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,2,10,P12,2,True,1.0,0.2365037835500216,0.26581544516176664,0.6339919658766516,0.6027102005853452,,-0.016393087063678716,-0.00536529398879071,0.050298007298482966,0.014911336610681149,0.05167015920574495
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,2,10,P11,1,True,1.0,0.22293582024914538,0.26942910926926295,0.630536913797327,0.5937681474153415,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.006786671219978417,0.025778399239350044,0.013538779871917452,0.016851176389240396,-0.0004319636524327462
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,2,10,P12,2,True,1.0,0.2752786124116738,0.310082633450105,0.6241008594905678,0.5971559877205753,,0.00961277477211183,0.011959369902221552,0.05656344642031805,-0.05282901884785363,0.017534613727447156
chipmean,sentinel1,treatment_0025,treatment,treatment_0025,2,2,10,P11,1,True,0.99009900990099,0.2079869675795836,0.25522446077947425,0.6194980303842111,0.5928478867108666,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.005347086404410688,0.013491560560265991,0.0033100933953250644,0.019089282054199037,-0.019016297918308417
chipmean,sentinel1,treatment_0025,treatment,treatment_0025,2,2,10,P12,2,True,0.99009900990099,0.26526704924411443,0.3027976770224932,0.6202782560723344,0.5967947205939861,,-0.007902768357759018,0.003003096522571682,0.044167168352473085,-0.026593958913597327,0.016950954176893976
chipmean,sentinel1,treatment_0027,treatment,treatment_0027,2,2,10,P11,1,True,1.0,0.17151572436380014,0.21246493218854623,0.618514882982859,0.6049784675368889,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.020694619678144205,-0.008335138964555788,0.018118486751093815,0.012383410556309418,-0.00955187240314752
chipmean,sentinel1,treatment_0027,treatment,treatment_0027,2,2,10,P12,2,True,1.0,0.23792468199141661,0.2726842983724035,0.6225036844426705,0.6096071831175667,,-0.0054578233933249235,-0.018818486480206724,0.038642732046955466,-0.030818527944848132,0.009582075927890224
