fill,sensor,site,group,matched_treatment,n,m,T0,kind,step,added,mse,improvement,accepted,candidate,trial_mse,trial_w
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,path,1,1.0,0.004284711298060595,inf,True,,,
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,path,2,2.0,0.004284711298060595,0.0,False,,,
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,1.0,0.004284711298060595,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,2.0,0.009426502435307052,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,3.0,0.016402545921964478,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,4.0,0.025112492992854153,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,5.0,0.0354755240409741,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,6.0,0.047431130350097724,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,7.0,0.06094015330937386,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,2.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,3.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,4.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,5.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,6.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,7.0,0.004284711298060595,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,path,1,1.0,0.005701192348228597,inf,True,,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,path,2,2.0,0.005701192348228597,0.0,False,,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,1.0,0.005701192348228597,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,2.0,0.01205585713109198,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,3.0,0.020174644290669876,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,4.0,0.029737532688022216,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,5.0,0.04051959569525015,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,6.0,0.05240378672727401,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,7.0,0.06539921465378849,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,2.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,3.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,4.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,5.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,6.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,7.0,0.005701192348228597,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,path,1,1.0,0.004400757279666424,inf,True,,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,path,2,2.0,0.004400757279666424,0.0,False,,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,1.0,0.004400757279666424,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,2.0,0.009531731158325233,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,3.0,0.016329567985597582,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,4.0,0.024620391119582086,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,5.0,0.034266220544082016,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,6.0,0.045168432539417464,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,7.0,0.05727216976803032,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,2.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,3.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,4.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,5.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,6.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,7.0,0.004400757279666424,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,path,1,1.0,0.00414999724596836,inf,True,,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,path,2,2.0,0.00414999724596836,0.0,False,,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,1.0,0.00414999724596836,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,2.0,0.009132068462842802,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,3.0,0.015884753365819196,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,4.0,0.024297231996770505,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,5.0,0.03427119436014988,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,6.0,0.045721615975163915,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,7.0,0.058577699868024025,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,2.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,3.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,4.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,5.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,6.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,7.0,0.00414999724596836,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,path,1,1.0,0.00405201837010657,inf,True,,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,path,2,2.0,0.00405201837010657,0.0,False,,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,1.0,0.00405201837010657,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,2.0,0.00888064920114607,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,3.0,0.015386681815303324,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,4.0,0.02344510162369924,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,5.0,0.03294602995064061,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,6.0,0.04379540024687193,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,7.0,0.055915833804700235,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,2.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,3.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,4.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,5.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,6.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,7.0,0.00405201837010657,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,path,1,1.0,0.00474271521271193,inf,True,,,
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,path,2,2.0,0.00474271521271193,0.0,False,,,
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,1.0,0.00474271521271193,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,2.0,0.010269309999605339,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,3.0,0.017585490994420604,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,4.0,0.026497134097379634,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,5.0,0.0368454123315371,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,6.0,0.048510219225307946,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,1,,,,,7.0,0.061414985180380056,1.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,2.0,0.00474271521271193,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,3.0,0.00474271521271193,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,4.0,0.00474271521271193,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,5.0,0.00474271521271193,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,6.0,0.00474271521271193,1.0000 0.0000
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,candidate,2,,,0.0,,7.0,0.00474271521271193,1.0000 0.0000
