fill,sensor,site,group,matched_treatment,n,m,T0,kind,step,added,mse,improvement,accepted,candidate,trial_mse,trial_w
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,path,1,1.0,0.004266762900776133,inf,True,,,
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,path,2,2.0,0.004266762900776133,0.0,False,,,
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,1.0,0.004266762900776133,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,2.0,0.009383672052006003,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,3.0,0.016322255384938433,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,4.0,0.02498087726379964,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,5.0,0.03527759705901182,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,6.0,0.04715096834324501,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,1,,,,,7.0,0.06056110244963151,1.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,2.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,3.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,4.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,5.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,6.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,candidate,2,,,0.0,,7.0,0.004266762900776133,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,path,1,1.0,0.005889971122695721,inf,True,,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,path,2,2.0,0.005889971122695721,0.0,False,,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,1.0,0.005889971122695721,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,2.0,0.012457537368207146,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,3.0,0.020849565305806065,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,4.0,0.030734214043221162,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,5.0,0.04187669189298471,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,6.0,0.054151966691090174,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,1,,,,,7.0,0.06756272341317793,1.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,2.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,3.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,4.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,5.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,6.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,candidate,2,,,0.0,,7.0,0.005889971122695721,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,path,1,1.0,0.004386547425103756,inf,True,,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,path,2,2.0,0.004386547425103756,0.0,False,,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,1.0,0.004386547425103756,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,2.0,0.009503059330219337,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,3.0,0.01628459894897531,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,4.0,0.02455969402890934,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,5.0,0.03419284089967107,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,6.0,0.04508796755030081,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,1,,,,,7.0,0.0571928551840777,1.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,2.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,3.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,4.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,5.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,6.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,candidate,2,,,0.0,,7.0,0.004386547425103756,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,path,1,1.0,0.00407540156102511,inf,True,,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,path,2,2.0,0.00407540156102511,0.0,False,,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,1.0,0.00407540156102511,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,2.0,0.008966924730040073,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,3.0,0.015596106079397152,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,4.0,0.02385416630233985,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,5.0,0.033644939486302566,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,6.0,0.04488565020955226,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,1,,,,,7.0,0.057507859916265724,1.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,2.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,3.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,4.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,5.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,6.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,candidate,2,,,0.0,,7.0,0.00407540156102511,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,path,1,1.0,0.003964440876127087,inf,True,,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,path,2,2.0,0.003964440876127087,0.0,False,,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,1.0,0.003964440876127087,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,2.0,0.008684854575178856,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,3.0,0.015041198860616245,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,4.0,0.02290987975011816,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,5.0,0.0321826616539017,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,6.0,0.04276732856300778,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,1,,,,,7.0,0.054588549920296575,1.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,2.0,0.003964440876127087,1.0000 0.0000
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,candidate,2,,,0.0,,3.0,0.003964440876127087,1.0000 0.0000
